id,Pos,Name,BV,SV,Team,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts
573,1,Jakupovic,40,40,LEI,0,0,0,0,0,0,0,0,0,0
587,3,Lookman,60,60,LEI,49,2.051,46,2.032,50,2.201,51,2.166,50,2.009
182,3,Hernández,55,55,LEE,0,0,0,0,0,0,0,0,0,0
183,1,Casilla,45,45,LEE,0,0,0,0,0,0,0,0,0,0
184,2,Cooper,45,45,LEE,87,2.738,82,3.061,81,2.955,78,2.733,77,1.963
185,2,Ayling,44,44,LEE,0,0,0,0,0,0,0,0,0,0
186,3,Klich,55,55,LEE,79,3.919,74,4.001,78,4.054,74,3.924,70,3.045
187,4,Rodrigo,63,63,LEE,75,3.439,76,3.687,72,3.431,71,3.442,67,2.748
188,3,Dallas,53,53,LEE,88,3.036,85,3.169,83,3.032,83,3.035,80,2.566
189,4,Bamford,78,78,LEE,0,0,0,0,0,0,0,0,0,0
190,2,Llorente,45,45,LEE,72,2.716,67,2.953,68,2.913,67,2.754,62,1.864
191,3,Phillips,49,49,LEE,58,1.803,81,2.514,83,2.523,78,2.4,75,2.115
192,3,Costa,54,54,LEE,0,0,0,0,0,0,0,0,0,0
193,3,Roberts,49,49,LEE,63,2.997,56,2.891,57,2.904,54,2.766,58,2.515
194,2,Koch,43,43,LEE,0,0,0,0,0,0,0,0,0,0
195,3,Poveda,45,45,LEE,0,0,0,0,0,0,0,0,0,0
196,3,Raphinha,66,65,LEE,14,0.728,80,4.262,79,4.098,74,3.881,74,3.167
197,3,Shackleton,45,45,LEE,35,1.342,34,1.35,33,1.295,36,1.386,39,1.366
198,2,Struijk,44,44,LEE,47,1.682,44,1.806,38,1.538,43,1.662,48,1.381
199,1,Meslier,50,50,LEE,90,3.475,89,3.664,89,3.62,87,3.498,88,3.153
267,3,Harrison,58,58,LEE,83,3.648,81,3.75,75,3.462,76,3.484,70,2.744
287,3,James,60,60,LEE,68,2.853,22,1.16,23,1.194,26,1.348,34,1.478
463,2,Firpo,48,48,LEE,84,3.012,80,3.39,78,3.219,81,3.123,78,2.201
490,1,Klaesson,44,44,LEE,0,0,0,0,0,0,2,0.081,1,0.036
550,4,Greenwood,45,45,LEE,1,0.068,0,0,0,0,0,0,1,0.062
551,3,Summerville,45,45,LEE,10,0.564,3,0.17,5,0.285,7,0.407,8,0.416
552,3,Forshaw,45,45,LEE,5,0.244,5,0.249,5,0.247,7,0.342,7,0.326
562,2,Drameh,40,40,LEE,0,0,0,0,0,0,1,0.03,2,0.05
563,2,Cresswell,40,40,LEE,4,0.158,5,0.212,9,0.349,11,0.409,12,0.345
576,3,McCarron,45,45,LEE,0,0,0,0,0,0,0,0,1,0.031
577,4,Gelhardt,45,45,LEE,8,0.511,6,0.402,9,0.563,8,0.503,10,0.558
600,3,Kenneh,45,45,LEE,0,0,0,0,0,0,0,0,0,0
601,3,McKinstry,44,44,LEE,0,0,0,0,0,0,0,0,0,0
