,rank,prev_rank,name,league,off,def,spi
121,122,119,Anderlecht,Belgian Jupiler League,1.67,1.2,56.53
122,123,120,Dynamo Kiev,UEFA Champions League,1.63,1.17,56.35
123,124,107,Besiktas,Turkish Turkcell Super Lig,1.8,1.33,56.3
124,125,128,Angers,French Ligue 1,1.38,0.94,56.28
125,126,103,FC Augsburg,German Bundesliga,1.55,1.1,56.18
126,127,124,Cadiz,Spanish Primera Division,1.55,1.12,55.81
127,128,145,SK Sturm Graz,Austrian T-Mobile Bundesliga,1.71,1.28,55.36
128,129,126,Molde,Norwegian Tippeligaen,1.99,1.55,55.29
129,130,131,Ferencvaros,UEFA Europa League,1.66,1.25,55.23
130,131,132,Galatasaray,Turkish Turkcell Super Lig,1.63,1.21,55.22
131,132,136,São Paulo,Brasileiro Série A,1.27,0.88,55.1
132,133,130,Bodo/Glimt,Norwegian Tippeligaen,1.83,1.41,55.08
133,134,133,Montpellier,French Ligue 1,1.68,1.28,55.05
134,135,129,Brest,French Ligue 1,1.54,1.15,55.03
135,136,134,Cruz Azul,Mexican Primera Division Torneo Apertura,1.45,1.05,55.01
136,137,135,KAA Gent,Belgian Jupiler League,1.65,1.25,54.99
137,138,111,New York City FC,Major League Soccer,1.72,1.32,54.86
138,139,148,Lorient,French Ligue 1,1.42,1.05,54.5
139,140,139,Reims,French Ligue 1,1.34,0.99,54.21
140,141,147,Basel,Swiss Raiffeisen Super League,1.84,1.47,54.05
141,142,137,Genoa,Italy Serie A,1.59,1.24,53.85
142,143,143,SpVgg Greuther Fürth,German Bundesliga,1.56,1.21,53.77
143,144,149,Guimaraes,Portuguese Liga,1.37,1.03,53.58
144,145,142,León,Mexican Primera Division Torneo Apertura,1.52,1.19,53.5
145,146,151,Atlas,Mexican Primera Division Torneo Apertura,1.28,0.95,53.49
146,147,152,Antwerp,Belgian Jupiler League,1.73,1.4,53.4
147,148,158,PAOK Salonika,Greek Super League,1.36,1.05,53.03
148,149,154,Fortaleza,Brasileiro Série A,1.33,1.02,53.02
149,150,156,Sheffield United,English League Championship,1.51,1.21,52.76
150,151,155,Spezia,Italy Serie A,1.61,1.31,52.75
151,152,153,Empoli,Italy Serie A,1.55,1.24,52.75
152,153,144,Grêmio,Brasileiro Série A,1.27,0.97,52.64
153,154,140,Lokomotiv Moscow,Russian Premier Liga,1.33,1.04,52.6
154,155,150,Boca Juniors,Argentina Primera Division,1.26,0.97,52.58
155,156,141,St Etienne,French Ligue 1,1.43,1.14,52.42
156,157,161,Clermont Foot,French Ligue 1,1.51,1.26,51.74
157,158,159,Corinthians,Brasileiro Série A,1.18,0.93,51.62
158,159,165,Fluminense,Brasileiro Série A,1.3,1.06,51.41
159,160,157,Bragantino,Brasileiro Série A,1.33,1.1,51.31
160,161,146,Toulouse,French Ligue 2,1.59,1.35,51.23
161,162,162,Troyes,French Ligue 1,1.39,1.15,51.2
162,163,167,Santa Clara,Portuguese Liga,1.35,1.12,51.18
163,164,176,F.B.C Unione Venezia,Italy Serie A,1.41,1.18,51.17
164,165,166,Legia Warsaw,UEFA Europa League,1.44,1.21,51.04
165,166,183,FC Twente,Dutch Eredivisie,1.55,1.34,50.79
166,167,181,Dinamo Moscow,Russian Premier Liga,1.33,1.11,50.77
167,168,171,New England Revolution,Major League Soccer,1.72,1.51,50.75
168,169,180,Atlético Paranaense,Brasileiro Série A,1.31,1.1,50.63
169,170,191,Stoke City,English League Championship,1.33,1.12,50.58
170,171,173,Velez Sarsfield,Argentina Primera Division,1.26,1.06,50.44
171,172,160,Santos,Brasileiro Série A,1.23,1.03,50.32
172,173,177,Metz,French Ligue 1,1.35,1.15,50.25
173,174,164,Santos Laguna,Mexican Primera Division Torneo Apertura,1.37,1.17,50.24
174,175,170,Famalicao,Portuguese Liga,1.37,1.18,50.19
175,176,175,Kashima Antlers,Japanese J League,1.46,1.28,50.0
176,177,184,Vitesse,Dutch Eredivisie,1.5,1.32,49.99
177,178,168,Bordeaux,French Ligue 1,1.44,1.26,49.93
178,179,172,Portimonense,Portuguese Liga,1.19,1.02,49.55
179,180,163,Los Angeles FC,Major League Soccer,1.59,1.44,49.3
180,181,190,Salernitana,Italy Serie A,1.44,1.29,49.23
181,182,193,Ceará,Brasileiro Série A,1.17,1.01,49.15
182,183,187,Rosenborg,Norwegian Tippeligaen,1.68,1.54,49.12
183,184,179,Pachuca,Mexican Primera Division Torneo Apertura,1.33,1.18,49.06
184,185,178,Parma,Italy Serie B,1.49,1.35,49.04
185,186,169,Sochi,Russian Premier Liga,1.31,1.19,48.47
186,187,194,Toluca,Mexican Primera Division Torneo Apertura,1.45,1.34,48.3
187,188,174,Rubin Kazan,Russian Premier Liga,1.24,1.12,48.26
188,189,195,Estoril Praia,Portuguese Liga,1.32,1.21,48.24
189,190,188,Guadalajara,Mexican Primera Division Torneo Apertura,1.21,1.1,48.14
190,191,200,Gil Vicente,Portuguese Liga,1.27,1.17,47.9
191,192,189,Werder Bremen,German 2. Bundesliga,1.48,1.4,47.56
192,193,196,Malmo FF,Swedish Allsvenskan,1.59,1.53,47.39
193,194,208,Moreirense,Portuguese Liga,1.32,1.25,47.32
194,195,253,Luton Town,English League Championship,1.4,1.34,47.28
195,196,198,Sporting Kansas City,Major League Soccer,1.44,1.37,47.25
196,197,214,Blackburn,English League Championship,1.4,1.34,47.14
197,198,185,FC Groningen,Dutch Eredivisie,1.28,1.22,47.08
198,199,199,Schalke 04,German 2. Bundesliga,1.46,1.41,47.07
199,200,204,Philadelphia Union,Major League Soccer,1.39,1.33,47.02
200,201,182,Rapid Vienna,Austrian T-Mobile Bundesliga,1.42,1.37,46.97
201,202,192,AEK Athens,Greek Super League,1.34,1.29,46.93
202,203,205,América Mineiro,Brasileiro Série A,1.2,1.14,46.85
203,204,206,Bahía,Brasileiro Série A,1.23,1.18,46.73
204,205,222,Seattle Sounders FC,Major League Soccer,1.28,1.23,46.71
205,206,201,Pacos Ferreira,Portuguese Liga,1.28,1.24,46.57
206,207,212,FC Sheriff Tiraspol,UEFA Champions League,1.39,1.36,46.57
207,208,211,Heracles,Dutch Eredivisie,1.33,1.3,46.44
208,209,202,Queens Park Rangers,English League Championship,1.41,1.39,46.39
209,210,197,Nashville SC,Major League Soccer,1.3,1.28,46.24
210,211,237,Sivasspor,Turkish Turkcell Super Lig,1.29,1.27,45.95
211,212,207,Boavista,Portuguese Liga,1.24,1.22,45.94
212,213,219,LASK Linz,Austrian T-Mobile Bundesliga,1.36,1.36,45.92
213,214,213,Almeria,Spanish Segunda Division,1.32,1.32,45.73
214,215,203,Brondby,Danish SAS-Ligaen,1.38,1.39,45.48
215,216,186,Cardiff City,English League Championship,1.31,1.33,45.37
216,217,209,Birmingham,English League Championship,1.2,1.21,45.25
217,218,210,Heerenveen,Dutch Eredivisie,1.45,1.48,45.22
218,219,228,DC United,Major League Soccer,1.5,1.55,45.14
219,220,215,Hatayspor,Turkish Turkcell Super Lig,1.34,1.38,44.97
220,221,241,Talleres de Córdoba,Argentina Primera Division,1.21,1.24,44.85
221,222,248,KV Mechelen,Belgian Jupiler League,1.62,1.68,44.84
222,223,218,Hamburg SV,German 2. Bundesliga,1.46,1.53,44.39
223,224,227,FK Austria Vienna,Austrian T-Mobile Bundesliga,1.36,1.42,44.38
224,225,229,New York Red Bulls,Major League Soccer,1.29,1.36,44.23
225,226,224,Middlesbrough,English League Championship,1.15,1.21,44.0
226,227,235,Millwall,English League Championship,1.2,1.28,43.64
227,228,223,Willem II,Dutch Eredivisie,1.34,1.44,43.62
228,229,230,Colorado Rapids,Major League Soccer,1.27,1.37,43.47
229,230,225,Atlético San Luis,Mexican Primera Division Torneo Apertura,1.3,1.41,43.06
230,231,257,Necaxa,Mexican Primera Division Torneo Apertura,1.21,1.31,43.06
231,232,220,Sparta,Dutch Eredivisie,1.32,1.45,43.0
232,233,234,NEC,Dutch Eredivisie,1.28,1.4,42.98
233,234,221,Sporting de Charleroi,Belgian Jupiler League,1.35,1.48,42.88
234,235,226,Ludogorets,UEFA Europa League,1.33,1.47,42.81
235,236,216,CA Independiente,Argentina Primera Division,1.05,1.14,42.81
236,237,269,Eupen,Belgian Jupiler League,1.36,1.51,42.71
237,238,217,Coventry City,English League Championship,1.2,1.33,42.7
238,239,233,Preston North End,English League Championship,1.1,1.21,42.68
239,240,266,Cambuur Leeuwarden,Dutch Eredivisie,1.4,1.55,42.67
240,241,238,Guangzhou Evergrande,Chinese Super League,1.43,1.59,42.61
241,242,254,Vizela,Portuguese Liga,1.22,1.35,42.49
242,243,242,Vissel Kobe,Japanese J League,1.27,1.41,42.49
243,244,243,Real Valladolid,Spanish Segunda Division,1.21,1.34,42.44
244,245,231,Racing Club,Argentina Primera Division,0.98,1.08,42.43
245,246,232,Estudiantes,Argentina Primera Division,1.07,1.18,42.42
246,247,252,Hibernian,Scottish Premiership,1.18,1.32,42.31
247,248,256,Atlético Goianiense,Brasileiro Série A,1.03,1.15,42.24
248,249,245,FC Arouca,Portuguese Liga,1.27,1.42,42.16
249,250,244,Defensa y Justicia,Argentina Primera Division,1.01,1.13,42.1
250,251,279,Panathinaikos,Greek Super League,1.09,1.23,42.05
251,252,298,Lecce,Italy Serie B,1.27,1.43,41.96
252,253,240,AaB,Danish SAS-Ligaen,1.23,1.39,41.85
253,254,270,Pumas Unam,Mexican Primera Division Torneo Apertura,1.09,1.24,41.73
254,255,265,Brescia,Italy Serie B,1.42,1.63,41.59
255,256,262,Belenenses,Portuguese Liga,1.1,1.25,41.58
256,257,247,Union Saint Gilloise,Belgian Jupiler League,1.24,1.42,41.55
257,258,236,Barnsley,English League Championship,1.12,1.3,41.17
258,259,268,Puebla,Mexican Primera Division Torneo Apertura,1.11,1.29,41.06
259,260,267,Huddersfield Town,English League Championship,1.17,1.36,41.03
260,261,255,Lanus,Argentina Primera Division,1.26,1.47,40.96
261,262,277,Argentinos Juniors,Argentina Primera Division,0.95,1.11,40.9
262,263,280,Juventude,Brasileiro Série A,0.99,1.17,40.76
263,264,239,Minnesota United FC,Major League Soccer,1.26,1.48,40.75
264,265,250,Fatih Karagümrük,Turkish Turkcell Super Lig,1.34,1.58,40.67
265,266,249,Maritimo,Portuguese Liga,1.04,1.23,40.58
266,267,284,Urawa Red Diamonds,Japanese J League,1.05,1.25,40.46
267,268,246,Tijuana,Mexican Primera Division Torneo Apertura,1.16,1.38,40.43
268,269,290,Chicago Fire,Major League Soccer,1.35,1.6,40.39
269,270,251,Nimes,French Ligue 2,1.18,1.41,40.32
270,271,260,Rostov,Russian Premier Liga,1.18,1.41,40.31
271,272,276,Konyaspor,Turkish Turkcell Super Lig,1.18,1.41,40.3
272,273,286,Swansea City,English League Championship,1.08,1.3,40.21
273,274,275,Nagoya Grampus Eight,Japanese J League,0.92,1.11,40.2
274,275,299,Orlando City SC,Major League Soccer,1.33,1.59,40.17
275,276,258,Go Ahead Eagles,Dutch Eredivisie,1.29,1.55,40.08
276,277,274,Atlanta United FC,Major League Soccer,1.24,1.5,40.0
277,278,308,Djurgardens IF,Swedish Allsvenskan,1.2,1.45,39.87
278,279,273,Girona FC,Spanish Segunda Division,0.99,1.21,39.75
279,280,271,Wolfsberger AC,Austrian T-Mobile Bundesliga,1.41,1.71,39.71
280,281,264,Monza,Italy Serie B,1.11,1.36,39.58
281,282,328,Portland Timbers,Major League Soccer,1.47,1.78,39.55
282,283,278,Auxerre,French Ligue 2,1.09,1.34,39.55
283,284,307,Terek Grozny,Russian Premier Liga,1.12,1.37,39.5
284,285,272,Fortuna Sittard,Dutch Eredivisie,1.29,1.58,39.47
285,286,283,Tondela,Portuguese Liga,1.21,1.48,39.45
286,287,261,PEC Zwolle,Dutch Eredivisie,1.23,1.51,39.36
287,288,314,Sanfrecce Hiroshima,Japanese J League,0.99,1.22,39.31
288,289,294,Istanbul Basaksehir,Turkish Turkcell Super Lig,1.11,1.37,39.3
289,290,302,Nottingham Forest,English League Championship,1.01,1.25,39.28
290,291,263,FC Nordsjaelland,Danish SAS-Ligaen,1.37,1.68,39.27
291,292,296,Reading,English League Championship,1.23,1.52,39.25
292,293,288,IFK Norrkoping,Swedish Allsvenskan,1.35,1.66,39.22
293,294,309,KV Oostende,Belgian Jupiler League,1.31,1.61,39.12
294,295,306,Leganes,Spanish Segunda Division,1.02,1.28,39.12
295,296,259,Standard Liege,Belgian Jupiler League,1.28,1.59,39.05
296,297,293,Beijing Guoan,Chinese Super League,1.33,1.64,39.02
297,298,303,AGF Aarhus,Danish SAS-Ligaen,1.13,1.41,39.01
298,299,282,Cuiaba,Brasileiro Série A,0.99,1.25,38.95
299,300,285,Newell's Old Boys,Argentina Primera Division,1.09,1.36,38.94
300,301,349,Odense BK,Danish SAS-Ligaen,1.21,1.51,38.91
301,302,281,Derby County,English League Championship,0.99,1.26,38.8
302,303,291,Sport Recife,Brasileiro Série A,0.88,1.12,38.74
303,304,316,Viking FK,Norwegian Tippeligaen,1.56,1.94,38.74
304,305,287,Fortuna Düsseldorf,German 2. Bundesliga,1.2,1.51,38.73
305,306,304,Shanghai SIPG,Chinese Super League,1.25,1.57,38.6
306,307,300,Servette,Swiss Raiffeisen Super League,1.42,1.79,38.34
307,308,319,Alanyaspor,Turkish Turkcell Super Lig,1.17,1.5,38.33
308,309,360,SK Austria Klagenfurt,Austrian T-Mobile Bundesliga,1.21,1.54,38.29
309,310,317,Krylia Sovetov,Russian Premier Liga,1.16,1.49,38.26
310,311,292,FC Tokyo,Japanese J League,1.1,1.41,38.23
311,312,295,Chapecoense AF,Brasileiro Série A,1.12,1.45,38.04
312,313,301,Montreal Impact,Major League Soccer,1.25,1.61,37.81
313,314,289,Dijon FCO,French Ligue 2,1.16,1.51,37.79
314,315,335,FC St. Pauli,German 2. Bundesliga,1.29,1.67,37.77
315,316,323,Los Angeles Galaxy,Major League Soccer,1.27,1.65,37.66
316,317,336,Banfield,Argentina Primera Division,0.99,1.3,37.63
317,318,347,Aris Salonika,Greek Super League,1.1,1.45,37.56
318,319,313,Valerenga,Norwegian Tippeligaen,1.22,1.59,37.54
319,320,312,Hartberg,Austrian T-Mobile Bundesliga,1.29,1.68,37.45
320,321,326,Pisa,Italy Serie B,1.18,1.55,37.45
321,322,325,Huracán,Argentina Primera Division,0.87,1.16,37.35
322,323,305,FC Dallas,Major League Soccer,1.36,1.77,37.33
323,324,322,San Lorenzo,Argentina Primera Division,1.0,1.33,37.26
324,325,315,SV Darmstadt 98,German 2. Bundesliga,1.31,1.71,37.22
325,326,359,Hearts,Scottish Premiership,1.13,1.5,37.22
326,327,373,Avispa Fukuoka,Japanese J League,1.09,1.45,37.17
327,328,331,FC Juárez,Mexican Primera Division Torneo Apertura,1.04,1.4,36.97
328,329,329,Columbus Crew,Major League Soccer,1.2,1.6,36.87
329,330,311,SC Paderborn,German 2. Bundesliga,1.26,1.67,36.83
330,331,333,KV Kortrijk,Belgian Jupiler League,1.19,1.59,36.8
331,332,330,Hammarby,Swedish Allsvenskan,1.31,1.74,36.78
332,333,321,FC Zurich,Swiss Raiffeisen Super League,1.4,1.85,36.75
333,334,355,WSG Swarovski Wattens,Austrian T-Mobile Bundesliga,1.37,1.81,36.7
334,335,297,Real Salt Lake,Major League Soccer,1.29,1.72,36.7
335,336,324,RKC,Dutch Eredivisie,1.22,1.64,36.69
336,337,339,Motherwell,Scottish Premiership,1.1,1.49,36.47
337,338,346,Cremonese,Italy Serie B,1.06,1.44,36.46
338,339,332,Benevento,Italy Serie B,1.12,1.52,36.43
339,340,352,Querétaro,Mexican Primera Division Torneo Apertura,0.96,1.34,36.22
340,341,384,Godoy Cruz,Argentina Primera Division,1.15,1.57,36.21
341,342,337,Randers FC,Danish SAS-Ligaen,1.07,1.47,36.16
342,343,348,Eibar,Spanish Segunda Division,1.05,1.45,36.09
343,344,342,Melbourne City,Australian A-League,1.41,1.9,36.07
344,345,344,FC Khimki,Russian Premier Liga,1.02,1.43,35.91
345,346,362,St. Truidense,Belgian Jupiler League,1.09,1.51,35.88
346,347,310,Rosario Central,Argentina Primera Division,1.1,1.53,35.78
347,348,351,Cercle Brugge,Belgian Jupiler League,1.09,1.53,35.72
348,349,345,Frosinone,Italy Serie B,0.96,1.36,35.72
349,350,368,Bristol City,English League Championship,1.1,1.54,35.64
350,351,364,Sporting Gijón,Spanish Segunda Division,0.87,1.24,35.63
351,352,320,Kristiansund BK,Norwegian Tippeligaen,1.19,1.66,35.61
352,353,353,1. FC Heidenheim 1846,German 2. Bundesliga,1.11,1.56,35.31
353,354,338,FC Ufa,Russian Premier Liga,1.01,1.45,35.27
354,355,356,SV Zulte Waregem,Belgian Jupiler League,1.39,1.93,35.24
355,356,376,Central Córdoba Santiago del Estero,Argentina Primera Division,0.99,1.42,35.22
356,357,357,Mazatlán FC,Mexican Primera Division Torneo Apertura,1.04,1.49,35.09
357,358,341,FC Luzern,Swiss Raiffeisen Super League,1.35,1.88,35.03
358,359,354,Sochaux,French Ligue 2,0.87,1.28,35.02
359,360,370,St Gallen,Swiss Raiffeisen Super League,1.27,1.78,34.95
360,361,429,Adana Demirspor,Turkish Turkcell Super Lig,1.14,1.62,34.93
361,362,382,Holstein Kiel,German 2. Bundesliga,1.16,1.67,34.76
362,363,361,Kasimpasa,Turkish Turkcell Super Lig,1.1,1.58,34.75
363,364,365,Blackpool,English League Championship,1.04,1.51,34.71
364,365,340,FC Sion,Swiss Raiffeisen Super League,1.21,1.74,34.37
365,366,327,Sagan Tosu,Japanese J League,0.93,1.38,34.33
366,367,371,Hannover 96,German 2. Bundesliga,1.09,1.6,34.29
367,368,318,Gazisehir Gaziantep,Turkish Turkcell Super Lig,1.07,1.57,34.27
368,369,350,AIK,Swedish Allsvenskan,0.97,1.45,34.18
369,370,358,Spal,Italy Serie B,1.04,1.54,34.16
370,371,377,1. FC Nürnberg,German 2. Bundesliga,1.09,1.61,34.11
371,372,372,Cerezo Osaka,Japanese J League,1.04,1.54,34.1
372,373,375,Kayserispor,Turkish Turkcell Super Lig,1.01,1.51,34.01
373,374,379,Goztepe,Turkish Turkcell Super Lig,1.17,1.71,34.01
374,375,435,Stromsgodset,Norwegian Tippeligaen,1.16,1.71,33.94
375,376,381,Hull City,English League Championship,0.95,1.43,33.92
376,377,397,Houston Dynamo,Major League Soccer,1.12,1.66,33.9
377,378,398,OH Leuven,Belgian Jupiler League,1.19,1.75,33.76
378,379,394,SD Huesca,Spanish Segunda Division,0.96,1.46,33.75
379,380,407,Altay,Turkish Turkcell Super Lig,1.07,1.61,33.66
380,381,399,Gimnasia La Plata,Argentina Primera Division,0.82,1.28,33.65
381,382,374,St Johnstone,Scottish Premiership,0.86,1.33,33.56
382,383,427,Sunderland,English League One,1.06,1.6,33.48
383,384,408,Ural Sverdlovsk Oblast,Russian Premier Liga,0.84,1.31,33.43
384,385,363,Atlético Tucumán,Argentina Primera Division,0.97,1.48,33.38
385,386,388,Tenerife,Spanish Segunda Division,0.83,1.3,33.28
386,387,411,Toronto FC,Major League Soccer,1.19,1.78,33.28
387,388,366,FK Nizhny Novgorod,Russian Premier Liga,1.03,1.57,33.25
388,389,409,Dundee Utd,Scottish Premiership,0.87,1.36,33.23
389,390,369,Karlsruher SC,German 2. Bundesliga,1.08,1.64,33.22
390,391,405,Union Santa Fe,Argentina Primera Division,0.85,1.33,33.18
391,392,334,IF Elfsborg,Swedish Allsvenskan,1.15,1.73,33.15
392,393,395,Sheffield Wednesday,English League One,1.04,1.6,33.02
