,rank,prev_rank,name,league,off,def,spi
39,40,43,Zenit St Petersburg,Russian Premier Liga,2.11,0.93,71.3
40,41,46,Lyon,French Ligue 1,2.08,0.95,70.21
41,42,49,Mainz,German Bundesliga,1.84,0.79,69.9
42,43,37,PSV,Dutch Eredivisie,2.17,1.05,69.76
43,44,47,Valencia,Spanish Primera Division,1.88,0.83,69.61
44,45,41,Rangers,Scottish Premiership,1.99,0.92,69.57
45,46,50,Leeds United,Barclays Premier League,1.96,0.9,69.48
46,47,48,Eintracht Frankfurt,German Bundesliga,2.04,0.96,69.4
47,48,52,TSG Hoffenheim,German Bundesliga,2.06,0.98,69.37
48,49,44,Lazio,Italy Serie A,1.99,0.94,69.16
49,50,55,1. FC Union Berlin,German Bundesliga,1.84,0.84,68.79
50,51,42,Getafe,Spanish Primera Division,1.56,0.62,68.68
51,52,54,Celta Vigo,Spanish Primera Division,1.91,0.9,68.52
52,53,45,Flamengo,Brasileiro Série A,1.92,0.91,68.47
53,54,60,Young Boys,Swiss Raiffeisen Super League,2.17,1.11,68.38
54,55,53,Lille,French Ligue 1,1.65,0.71,68.22
55,56,58,Southampton,Barclays Premier League,1.81,0.84,67.97
56,57,56,Marseille,French Ligue 1,1.79,0.84,67.63
57,58,51,Celtic,Scottish Premiership,2.01,1.02,67.43
58,59,67,Brentford,Barclays Premier League,1.68,0.78,67.17
59,60,61,Osasuna,Spanish Primera Division,1.71,0.81,66.97
60,61,59,VfB Stuttgart,German Bundesliga,2.04,1.09,66.43
61,62,77,Rayo Vallecano,Spanish Primera Division,1.77,0.88,66.17
62,63,63,SC Freiburg,German Bundesliga,1.8,0.91,66.09
63,64,62,Crystal Palace,Barclays Premier League,1.74,0.87,65.89
64,65,65,FC Cologne,German Bundesliga,1.9,1.01,65.65
65,66,57,Sassuolo,Italy Serie A,1.92,1.03,65.65
66,67,66,Shakhtar Donetsk,UEFA Champions League,2.03,1.12,65.61
67,68,75,Feyenoord,Dutch Eredivisie,1.97,1.07,65.45
68,69,68,Olympiacos,Greek Super League,1.83,0.99,64.78
69,70,72,Atletico Mineiro,Brasileiro Série A,1.61,0.82,64.49
70,71,84,Stade Rennes,French Ligue 1,1.65,0.86,64.27
71,72,73,Burnley,Barclays Premier League,1.76,0.97,63.95
72,73,71,Dinamo Zagreb,UEFA Europa League,1.84,1.03,63.88
73,74,70,Fulham,English League Championship,1.82,1.03,63.73
74,75,64,AZ,Dutch Eredivisie,1.88,1.09,63.55
75,76,76,Nice,French Ligue 1,1.74,0.98,63.25
76,77,74,Espanyol,Spanish Primera Division,1.61,0.88,63.11
77,78,80,Levante,Spanish Primera Division,1.66,0.92,63.07
78,79,69,Genk,Belgian Jupiler League,1.98,1.19,63.06
79,80,79,Hertha Berlin,German Bundesliga,1.75,1.0,63.0
80,81,82,Fiorentina,Italy Serie A,1.71,0.97,62.81
81,82,101,Torino,Italy Serie A,1.69,0.97,62.36
82,83,78,Club Brugge,Belgian Jupiler League,1.9,1.16,62.29
83,84,87,Braga,Portuguese Liga,1.61,0.91,62.29
84,85,83,Sampdoria,Italy Serie A,1.67,0.96,62.17
85,86,85,Newcastle,Barclays Premier League,1.82,1.1,62.12
86,87,81,River Plate,Argentina Primera Division,1.68,0.97,62.1
87,88,88,Kawasaki Frontale,Japanese J League,1.78,1.06,62.03
88,89,90,FC Midtjylland,Danish SAS-Ligaen,1.77,1.06,61.94
89,90,91,Lens,French Ligue 1,1.64,0.97,61.4
90,91,86,Mallorca,Spanish Primera Division,1.58,0.92,61.34
91,92,98,Strasbourg,French Ligue 1,1.63,0.98,61.11
92,93,102,Monterrey,Mexican Primera Division Torneo Apertura,1.6,0.97,60.45
93,94,89,Elche,Spanish Primera Division,1.51,0.9,60.18
94,95,104,Watford,Barclays Premier League,1.61,1.0,60.15
95,96,124,Nantes,French Ligue 1,1.59,0.98,60.05
96,97,97,FC Utrecht,Dutch Eredivisie,1.77,1.14,60.03
97,98,93,Alavés,Spanish Primera Division,1.56,0.96,59.92
98,99,92,Club América,Mexican Primera Division Torneo Apertura,1.56,0.97,59.78
99,100,96,Bologna,Italy Serie A,1.77,1.18,59.24
100,101,113,Palmeiras,Brasileiro Série A,1.53,0.97,58.92
101,102,105,Arminia Bielefeld,German Bundesliga,1.56,1.01,58.82
102,103,110,FC Augsburg,German Bundesliga,1.59,1.03,58.73
103,104,115,Granada,Spanish Primera Division,1.61,1.05,58.7
104,105,100,Yokohama F. Marinos,Japanese J League,1.9,1.33,58.43
105,106,111,Internacional,Brasileiro Série A,1.45,0.93,58.24
106,107,107,Cagliari,Italy Serie A,1.71,1.17,58.02
107,108,121,AFC Bournemouth,English League Championship,1.55,1.04,57.83
108,109,118,Sparta Prague,UEFA Europa League,1.71,1.19,57.8
109,110,117,New York City FC,Major League Soccer,1.83,1.3,57.71
110,111,106,FC Copenhagen,Danish SAS-Ligaen,1.84,1.3,57.7
111,112,116,Trabzonspor,Turkish Turkcell Super Lig,1.6,1.09,57.6
112,113,103,Norwich City,Barclays Premier League,1.58,1.07,57.6
113,114,112,Verona,Italy Serie A,1.58,1.08,57.48
114,115,119,Red Star Belgrade,UEFA Europa League,1.78,1.26,57.4
115,116,108,Udinese,Italy Serie A,1.55,1.06,57.32
116,117,126,West Bromwich Albion,English League Championship,1.58,1.09,57.24
117,118,120,Tigres UANL,Mexican Primera Division Torneo Apertura,1.53,1.04,57.23
118,119,122,Anderlecht,Belgian Jupiler League,1.66,1.16,57.22
119,120,125,Dynamo Kiev,UEFA Champions League,1.63,1.15,56.85
120,121,99,Fenerbahce,Turkish Turkcell Super Lig,1.61,1.13,56.82
121,122,95,Besiktas,Turkish Turkcell Super Lig,1.81,1.33,56.59
122,123,114,VfL Bochum,German Bundesliga,1.58,1.11,56.57
123,124,143,Cadiz,Spanish Primera Division,1.55,1.09,56.42
124,125,135,FC Krasnodar,Russian Premier Liga,1.72,1.25,56.42
125,126,123,Molde,Norwegian Tippeligaen,2.02,1.53,56.4
126,127,129,CSKA Moscow,Russian Premier Liga,1.54,1.09,56.35
127,128,109,Angers,French Ligue 1,1.38,0.95,56.05
128,129,128,Brest,French Ligue 1,1.55,1.13,55.6
129,130,139,Bodo/Glimt,Norwegian Tippeligaen,1.88,1.44,55.54
130,131,134,Ferencvaros,UEFA Europa League,1.66,1.24,55.37
131,132,94,Galatasaray,Turkish Turkcell Super Lig,1.66,1.24,55.33
132,133,132,Montpellier,French Ligue 1,1.72,1.3,55.27
133,134,136,Cruz Azul,Mexican Primera Division Torneo Apertura,1.43,1.03,55.19
134,135,127,KAA Gent,Belgian Jupiler League,1.65,1.24,55.1
135,136,133,São Paulo,Brasileiro Série A,1.31,0.93,54.96
136,137,142,SpVgg Greuther Fürth,German Bundesliga,1.56,1.17,54.94
137,138,131,Genoa,Italy Serie A,1.57,1.18,54.8
138,139,137,Spartak Moscow,Russian Premier Liga,1.55,1.18,54.34
139,140,147,Reims,French Ligue 1,1.34,0.98,54.33
140,141,141,Lokomotiv Moscow,Russian Premier Liga,1.39,1.04,54.14
141,142,130,St Etienne,French Ligue 1,1.46,1.11,54.07
142,143,138,León,Mexican Primera Division Torneo Apertura,1.54,1.18,54.04
143,144,154,Grêmio,Brasileiro Série A,1.25,0.92,53.85
144,145,169,SK Sturm Graz,Austrian T-Mobile Bundesliga,1.65,1.3,53.78
145,146,158,Toulouse,French Ligue 2,1.59,1.26,53.44
146,147,151,Basel,Swiss Raiffeisen Super League,1.82,1.48,53.43
147,148,145,Lorient,French Ligue 1,1.43,1.1,53.41
148,149,150,Guimaraes,Portuguese Liga,1.33,1.01,53.39
149,150,148,Boca Juniors,Argentina Primera Division,1.3,0.98,53.29
150,151,153,Atlas,Mexican Primera Division Torneo Apertura,1.29,0.97,53.23
151,152,167,Antwerp,Belgian Jupiler League,1.76,1.44,53.07
152,153,146,Empoli,Italy Serie A,1.5,1.19,53.01
153,154,149,Fortaleza,Brasileiro Série A,1.33,1.03,52.63
154,155,156,Spezia,Italy Serie A,1.6,1.32,52.37
155,156,152,Sheffield United,English League Championship,1.52,1.23,52.3
156,157,161,Bragantino,Brasileiro Série A,1.35,1.08,52.02
157,158,157,PAOK Salonika,Greek Super League,1.34,1.08,51.96
158,159,162,Corinthians,Brasileiro Série A,1.18,0.93,51.52
159,160,165,Santos,Brasileiro Série A,1.24,0.99,51.51
160,161,140,Clermont Foot,French Ligue 1,1.5,1.25,51.49
161,162,155,Troyes,French Ligue 1,1.4,1.15,51.38
162,163,160,Los Angeles FC,Major League Soccer,1.67,1.44,51.26
163,164,163,Santos Laguna,Mexican Primera Division Torneo Apertura,1.37,1.15,50.79
164,165,166,Fluminense,Brasileiro Série A,1.28,1.07,50.7
165,166,168,Legia Warsaw,UEFA Europa League,1.44,1.23,50.7
166,167,171,Santa Clara,Portuguese Liga,1.34,1.13,50.58
167,168,186,Bordeaux,French Ligue 1,1.46,1.26,50.4
168,169,159,Sochi,Russian Premier Liga,1.35,1.16,50.3
169,170,183,Famalicao,Portuguese Liga,1.35,1.16,50.24
170,171,164,New England Revolution,Major League Soccer,1.68,1.49,50.2
171,172,172,Portimonense,Portuguese Liga,1.23,1.04,50.18
172,173,177,Velez Sarsfield,Argentina Primera Division,1.27,1.08,50.07
173,174,170,Rubin Kazan,Russian Premier Liga,1.28,1.1,49.8
174,175,180,Kashima Antlers,Japanese J League,1.45,1.28,49.76
175,176,174,F.B.C Unione Venezia,Italy Serie A,1.41,1.24,49.74
176,177,173,Metz,French Ligue 1,1.33,1.16,49.73
177,178,144,Parma,Italy Serie B,1.52,1.35,49.73
178,179,176,Pachuca,Mexican Primera Division Torneo Apertura,1.35,1.18,49.52
179,180,190,Atlético Paranaense,Brasileiro Série A,1.25,1.09,49.32
180,181,191,Dinamo Moscow,Russian Premier Liga,1.3,1.15,49.27
181,182,178,Rapid Vienna,Austrian T-Mobile Bundesliga,1.49,1.35,49.21
182,183,213,FC Twente,Dutch Eredivisie,1.49,1.35,49.04
183,184,179,Vitesse,Dutch Eredivisie,1.49,1.36,49.04
184,185,175,FC Groningen,Dutch Eredivisie,1.32,1.18,48.9
185,186,181,Cardiff City,English League Championship,1.37,1.23,48.88
186,187,196,Rosenborg,Norwegian Tippeligaen,1.65,1.52,48.87
187,188,188,Guadalajara,Mexican Primera Division Torneo Apertura,1.25,1.12,48.71
188,189,182,Werder Bremen,German 2. Bundesliga,1.5,1.39,48.53
189,190,201,Salernitana,Italy Serie A,1.43,1.31,48.44
190,191,185,Stoke City,English League Championship,1.31,1.19,48.4
191,192,184,AEK Athens,Greek Super League,1.39,1.28,48.31
192,193,187,Ceará,Brasileiro Série A,1.14,1.02,48.22
193,194,198,Toluca,Mexican Primera Division Torneo Apertura,1.43,1.33,48.21
194,195,192,Estoril Praia,Portuguese Liga,1.33,1.23,47.93
195,196,193,Malmo FF,Swedish Allsvenskan,1.54,1.47,47.46
196,197,219,Nashville SC,Major League Soccer,1.34,1.27,47.37
197,198,199,Sporting Kansas City,Major League Soccer,1.45,1.39,47.34
198,199,189,Schalke 04,German 2. Bundesliga,1.48,1.42,47.26
199,200,204,Gil Vicente,Portuguese Liga,1.24,1.18,47.05
200,201,197,Pacos Ferreira,Portuguese Liga,1.26,1.2,47.04
201,202,218,Coventry City,English League Championship,1.25,1.2,46.51
202,203,195,Brondby,Danish SAS-Ligaen,1.38,1.36,46.46
203,204,206,Philadelphia Union,Major League Soccer,1.43,1.4,46.38
204,205,210,América Mineiro,Brasileiro Série A,1.2,1.16,46.3
205,206,203,Bahía,Brasileiro Série A,1.22,1.19,46.21
206,207,209,Boavista,Portuguese Liga,1.26,1.23,46.19
207,208,194,Moreirense,Portuguese Liga,1.34,1.32,46.18
208,209,202,Queens Park Rangers,English League Championship,1.41,1.4,46.12
209,210,200,Birmingham,English League Championship,1.25,1.23,46.04
210,211,215,Heerenveen,Dutch Eredivisie,1.44,1.44,45.98
211,212,233,Heracles,Dutch Eredivisie,1.34,1.33,45.95
212,213,211,FC Sheriff Tiraspol,UEFA Champions League,1.35,1.35,45.77
213,214,223,Almeria,Spanish Segunda Division,1.32,1.32,45.73
214,215,207,Blackburn,English League Championship,1.3,1.3,45.5
215,216,225,Hatayspor,Turkish Turkcell Super Lig,1.35,1.36,45.5
216,217,205,CA Independiente,Argentina Primera Division,1.07,1.06,45.47
217,218,221,Hamburg SV,German 2. Bundesliga,1.48,1.52,44.99
218,219,217,LASK Linz,Austrian T-Mobile Bundesliga,1.31,1.35,44.93
219,220,208,Sparta,Dutch Eredivisie,1.36,1.41,44.84
220,221,214,Sporting de Charleroi,Belgian Jupiler League,1.41,1.47,44.65
221,222,212,Seattle Sounders FC,Major League Soccer,1.23,1.27,44.57
222,223,232,Willem II,Dutch Eredivisie,1.35,1.44,43.9
223,224,216,Middlesbrough,English League Championship,1.18,1.24,43.9
224,225,228,Atlético San Luis,Mexican Primera Division Torneo Apertura,1.3,1.38,43.79
225,226,227,Ludogorets,UEFA Europa League,1.38,1.48,43.68
226,227,222,FK Austria Vienna,Austrian T-Mobile Bundesliga,1.27,1.36,43.6
227,228,224,DC United,Major League Soccer,1.41,1.51,43.6
228,229,286,New York Red Bulls,Major League Soccer,1.31,1.41,43.43
229,230,226,Colorado Rapids,Major League Soccer,1.33,1.43,43.42
230,231,231,Racing Club,Argentina Primera Division,1.0,1.07,43.3
231,232,251,Vissel Kobe,Japanese J League,1.27,1.37,43.27
232,233,246,Estudiantes,Argentina Primera Division,1.1,1.18,43.15
233,234,237,Preston North End,English League Championship,1.14,1.24,43.05
234,235,230,NEC,Dutch Eredivisie,1.22,1.34,42.93
235,236,239,Millwall,English League Championship,1.2,1.31,42.9
236,237,245,Barnsley,English League Championship,1.14,1.24,42.89
237,238,247,Sivasspor,Turkish Turkcell Super Lig,1.2,1.31,42.8
238,239,243,Guangzhou Evergrande,Chinese Super League,1.43,1.59,42.61
239,240,236,Minnesota United FC,Major League Soccer,1.29,1.43,42.56
240,241,266,AaB,Danish SAS-Ligaen,1.23,1.37,42.38
241,242,250,Talleres de Córdoba,Argentina Primera Division,1.13,1.26,42.24
242,243,242,Real Valladolid,Spanish Segunda Division,1.2,1.34,42.2
243,244,240,Defensa y Justicia,Argentina Primera Division,1.02,1.13,42.18
244,245,235,FC Arouca,Portuguese Liga,1.27,1.42,42.15
245,246,252,Tijuana,Mexican Primera Division Torneo Apertura,1.22,1.37,42.14
246,247,260,Union Saint Gilloise,Belgian Jupiler League,1.25,1.41,42.11
247,248,267,KV Mechelen,Belgian Jupiler League,1.56,1.76,41.92
248,249,262,Fatih Karagümrük,Turkish Turkcell Super Lig,1.32,1.5,41.89
249,250,244,Hibernian,Scottish Premiership,1.2,1.36,41.86
250,251,264,Luton Town,English League Championship,1.24,1.41,41.78
251,252,265,Vizela,Portuguese Liga,1.23,1.41,41.75
252,253,256,Lanus,Argentina Primera Division,1.29,1.47,41.7
253,254,261,Atlético Goianiense,Brasileiro Série A,1.04,1.19,41.58
254,255,238,Maritimo,Portuguese Liga,1.09,1.24,41.53
255,256,249,Necaxa,Mexican Primera Division Torneo Apertura,1.17,1.35,41.49
256,257,284,Go Ahead Eagles,Dutch Eredivisie,1.31,1.51,41.44
257,258,253,Standard Liege,Belgian Jupiler League,1.31,1.51,41.42
258,259,234,Rostov,Russian Premier Liga,1.2,1.38,41.41
259,260,259,PEC Zwolle,Dutch Eredivisie,1.23,1.42,41.35
260,261,258,Belenenses,Portuguese Liga,1.07,1.23,41.23
261,262,254,FC Nordsjaelland,Danish SAS-Ligaen,1.38,1.6,41.17
262,263,241,Monza,Italy Serie B,1.12,1.3,41.13
263,264,263,Brescia,Italy Serie B,1.38,1.6,41.1
264,265,229,Cambuur Leeuwarden,Dutch Eredivisie,1.36,1.6,40.81
265,266,255,Huddersfield Town,English League Championship,1.16,1.36,40.81
266,267,272,Puebla,Mexican Primera Division Torneo Apertura,1.1,1.3,40.65
267,268,281,Eupen,Belgian Jupiler League,1.32,1.57,40.57
268,269,276,Pumas Unam,Mexican Primera Division Torneo Apertura,1.08,1.28,40.48
269,270,268,Wolfsberger AC,Austrian T-Mobile Bundesliga,1.46,1.72,40.47
270,271,248,Fortuna Sittard,Dutch Eredivisie,1.33,1.58,40.38
271,272,273,Girona FC,Spanish Segunda Division,1.04,1.24,40.34
272,273,220,Nimes,French Ligue 2,1.18,1.41,40.32
273,274,277,Atlanta United FC,Major League Soccer,1.28,1.53,40.3
274,275,292,Nagoya Grampus Eight,Japanese J League,0.94,1.13,40.21
275,276,288,Konyaspor,Turkish Turkcell Super Lig,1.15,1.38,40.18
276,277,274,Argentinos Juniors,Argentina Primera Division,0.95,1.14,40.12
277,278,257,Panathinaikos,Greek Super League,1.0,1.22,39.68
278,279,270,Juventude,Brasileiro Série A,0.96,1.18,39.63
279,280,289,Derby County,English League Championship,1.02,1.25,39.63
280,281,285,Cuiaba,Brasileiro Série A,1.02,1.26,39.55
281,282,271,Auxerre,French Ligue 2,1.09,1.34,39.55
282,283,275,Tondela,Portuguese Liga,1.19,1.46,39.46
283,284,303,Urawa Red Diamonds,Japanese J League,1.02,1.25,39.44
284,285,287,Newell's Old Boys,Argentina Primera Division,1.12,1.38,39.38
285,286,282,Swansea City,English League Championship,1.09,1.35,39.3
286,287,283,Fortuna Düsseldorf,German 2. Bundesliga,1.22,1.51,39.17
287,288,325,IFK Norrkoping,Swedish Allsvenskan,1.34,1.66,39.16
288,289,304,Chicago Fire,Major League Soccer,1.38,1.7,39.12
289,290,278,Sport Recife,Brasileiro Série A,0.89,1.12,39.1
290,291,331,FC Tokyo,Japanese J League,1.1,1.38,39.03
291,292,291,Beijing Guoan,Chinese Super League,1.33,1.64,39.02
292,293,312,Istanbul Basaksehir,Turkish Turkcell Super Lig,1.08,1.35,39.0
293,294,279,Chapecoense AF,Brasileiro Série A,1.13,1.41,38.98
294,295,301,Reading,English League Championship,1.27,1.58,38.97
295,296,302,Real Salt Lake,Major League Soccer,1.3,1.62,38.94
296,297,327,Lecce,Italy Serie B,1.19,1.49,38.84
297,298,293,Orlando City SC,Major League Soccer,1.27,1.59,38.73
298,299,295,Servette,Swiss Raiffeisen Super League,1.45,1.81,38.72
299,300,299,Montreal Impact,Major League Soccer,1.26,1.58,38.71
300,301,311,Nottingham Forest,English League Championship,0.98,1.24,38.64
301,302,321,AGF Aarhus,Danish SAS-Ligaen,1.14,1.45,38.64
302,303,296,Shanghai SIPG,Chinese Super League,1.25,1.57,38.6
303,304,297,FC Dallas,Major League Soccer,1.41,1.76,38.57
304,305,290,Leganes,Spanish Segunda Division,1.01,1.29,38.47
305,306,280,Terek Grozny,Russian Premier Liga,1.09,1.39,38.4
306,307,294,Djurgardens IF,Swedish Allsvenskan,1.17,1.49,38.3
307,308,316,KV Oostende,Belgian Jupiler League,1.27,1.61,38.28
308,309,306,Rosario Central,Argentina Primera Division,1.12,1.44,38.15
309,310,318,SC Paderborn,German 2. Bundesliga,1.29,1.65,38.11
310,311,308,Dijon FCO,French Ligue 2,1.16,1.51,37.79
311,312,305,Hartberg,Austrian T-Mobile Bundesliga,1.22,1.58,37.76
312,313,313,Valerenga,Norwegian Tippeligaen,1.26,1.63,37.72
313,314,339,Sanfrecce Hiroshima,Japanese J League,0.96,1.26,37.62
314,315,298,Viking FK,Norwegian Tippeligaen,1.53,1.96,37.61
315,316,344,Krylia Sovetov,Russian Premier Liga,1.15,1.5,37.57
316,317,329,Gazisehir Gaziantep,Turkish Turkcell Super Lig,1.11,1.46,37.49
317,318,366,Alanyaspor,Turkish Turkcell Super Lig,1.16,1.53,37.38
318,319,322,Kristiansund BK,Norwegian Tippeligaen,1.21,1.59,37.33
319,320,314,FC Zurich,Swiss Raiffeisen Super League,1.41,1.83,37.29
320,321,310,SV Darmstadt 98,German 2. Bundesliga,1.31,1.71,37.22
321,322,309,San Lorenzo,Argentina Primera Division,1.0,1.33,37.21
322,323,326,Los Angeles Galaxy,Major League Soccer,1.28,1.68,37.13
323,324,319,RKC,Dutch Eredivisie,1.25,1.65,37.12
324,325,333,Huracán,Argentina Primera Division,0.88,1.19,37.07
325,326,364,Pisa,Italy Serie B,1.18,1.57,37.04
326,327,307,Sagan Tosu,Japanese J League,0.97,1.31,37.0
327,328,324,Portland Timbers,Major League Soccer,1.4,1.84,36.9
328,329,317,Columbus Crew,Major League Soccer,1.21,1.61,36.87
329,330,358,Hammarby,Swedish Allsvenskan,1.33,1.76,36.76
330,331,335,FC Juárez,Mexican Primera Division Torneo Apertura,1.02,1.38,36.75
331,332,400,Benevento,Italy Serie B,1.14,1.53,36.68
332,333,346,KV Kortrijk,Belgian Jupiler League,1.17,1.58,36.64
333,334,269,IF Elfsborg,Swedish Allsvenskan,1.23,1.65,36.64
334,335,369,FC St. Pauli,German 2. Bundesliga,1.24,1.68,36.46
335,336,342,Banfield,Argentina Primera Division,0.96,1.32,36.35
336,337,354,Randers FC,Danish SAS-Ligaen,1.09,1.5,36.25
337,338,348,FC Ufa,Russian Premier Liga,1.05,1.45,36.18
338,339,363,Motherwell,Scottish Premiership,1.09,1.5,36.17
339,340,332,FC Sion,Swiss Raiffeisen Super League,1.22,1.66,36.16
340,341,340,FC Luzern,Swiss Raiffeisen Super League,1.33,1.81,36.09
341,342,338,Melbourne City,Australian A-League,1.41,1.9,36.07
342,343,372,1. FC Heidenheim 1846,German 2. Bundesliga,1.13,1.56,36.04
343,344,328,FC Khimki,Russian Premier Liga,1.07,1.48,35.92
344,345,371,Frosinone,Italy Serie B,1.0,1.4,35.9
345,346,315,Cremonese,Italy Serie B,1.07,1.49,35.88
346,347,334,Aris Salonika,Greek Super League,1.05,1.46,35.87
347,348,359,Eibar,Spanish Segunda Division,1.03,1.45,35.75
348,349,320,Odense BK,Danish SAS-Ligaen,1.12,1.57,35.64
349,350,357,AIK,Swedish Allsvenskan,0.99,1.4,35.62
350,351,330,Cercle Brugge,Belgian Jupiler League,1.09,1.53,35.58
351,352,349,Querétaro,Mexican Primera Division Torneo Apertura,0.96,1.36,35.51
352,353,300,WSG Swarovski Wattens,Austrian T-Mobile Bundesliga,1.28,1.78,35.4
353,354,345,SV Zulte Waregem,Belgian Jupiler League,1.38,1.91,35.37
354,355,343,Mazatlán FC,Mexican Primera Division Torneo Apertura,1.05,1.5,35.17
355,356,395,Sochaux,French Ligue 2,0.87,1.28,35.02
356,357,347,Spal,Italy Serie B,1.09,1.56,34.99
357,358,356,Hearts,Scottish Premiership,1.07,1.54,34.94
358,359,365,SK Austria Klagenfurt,Austrian T-Mobile Bundesliga,1.11,1.6,34.71
359,360,323,Kasimpasa,Turkish Turkcell Super Lig,1.07,1.55,34.66
360,361,367,St. Truidense,Belgian Jupiler League,1.05,1.53,34.64
361,362,355,Atlético Tucumán,Argentina Primera Division,0.99,1.45,34.61
362,363,360,Sporting Gijón,Spanish Segunda Division,0.84,1.25,34.57
363,364,387,Blackpool,English League Championship,1.04,1.52,34.55
364,365,352,FK Nizhny Novgorod,Russian Premier Liga,1.07,1.56,34.35
365,366,385,FC Arsenal Tula,Russian Premier Liga,1.11,1.61,34.32
366,367,368,Bristol City,English League Championship,1.08,1.58,34.31
367,368,386,Karlsruher SC,German 2. Bundesliga,1.09,1.59,34.3
368,369,350,St Gallen,Swiss Raiffeisen Super League,1.25,1.8,34.29
369,370,401,Hannover 96,German 2. Bundesliga,1.08,1.59,34.26
370,371,361,Cerezo Osaka,Japanese J League,1.04,1.53,34.25
371,372,370,Avispa Fukuoka,Japanese J League,1.01,1.5,34.23
372,373,391,St Johnstone,Scottish Premiership,0.89,1.34,34.2
373,374,425,Kayserispor,Turkish Turkcell Super Lig,1.01,1.51,34.03
374,375,376,Central Córdoba Santiago del Estero,Argentina Primera Division,0.95,1.43,34.0
375,376,353,1. FC Nürnberg,German 2. Bundesliga,1.07,1.59,33.99
376,377,377,Arizona United,United Soccer League,1.31,1.9,33.83
377,378,337,Goztepe,Turkish Turkcell Super Lig,1.16,1.71,33.8
378,379,379,OH Leuven,Belgian Jupiler League,1.19,1.75,33.76
379,380,378,SD Huesca,Spanish Segunda Division,0.96,1.46,33.75
380,381,428,Altay,Turkish Turkcell Super Lig,1.07,1.61,33.66
381,382,384,Cashpoint SC Rheindorf Altach,Austrian T-Mobile Bundesliga,1.02,1.54,33.61
382,383,380,Hull City,English League Championship,0.95,1.45,33.6
383,384,351,Holstein Kiel,German 2. Bundesliga,1.14,1.7,33.55
384,385,389,San Jose Earthquakes,Major League Soccer,1.2,1.77,33.54
385,386,390,Godoy Cruz,Argentina Primera Division,1.05,1.6,33.35
386,387,374,BK Hacken,Swedish Allsvenskan,1.15,1.73,33.33
387,388,381,Tenerife,Spanish Segunda Division,0.83,1.3,33.28
388,389,382,Sarmiento,Argentina Primera Division,0.92,1.43,33.28
389,390,405,Lillestrom,Norwegian Tippeligaen,1.13,1.7,33.17
390,391,399,SV Ried,Austrian T-Mobile Bundesliga,1.09,1.65,33.09
391,392,392,Haugesund,Norwegian Tippeligaen,1.25,1.87,33.07
392,393,383,Patronato,Argentina Primera Division,0.96,1.5,33.02
