id,first_name,second_name,team,Top_100,Top_1K,Top_10K,Top_100K,Top_1M,Overall
93,Matej,Vydra,4,0.0,0.0,0.0,0.0,0.0,0.3003003003003003
94,Ben,Gibson,4,0.0,0.0,0.0,0.0,0.0,0.15015015015015015
95,Robbie,Brady,4,0.0,0.0,0.0,0.0,0.0,0.0
96,Nick,Pope,4,2.5,4.316546762589928,7.837837837837839,6.266318537859007,5.714285714285714,10.36036036036036
97,Charlie,Taylor,4,3.75,0.7194244604316548,1.0810810810810811,3.91644908616188,4.1558441558441555,3.7537537537537538
98,Josh,Brownhill,4,0.0,0.0,0.0,0.0,0.0,0.0
99,Bailey,Peacock-Farrell,4,0.0,0.7194244604316548,1.3513513513513513,1.5665796344647518,0.5194805194805194,1.5015015015015014
100,Dwight,McNeil,4,0.0,0.0,0.0,0.0,0.0,0.6006006006006006
519,Jimmy,Dunne,4,0.0,0.7194244604316548,0.2702702702702703,1.3054830287206265,2.5974025974025974,3.303303303303303
520,Bobby,Thomas,4,0.0,0.0,0.0,0.0,0.0,0.45045045045045046
535,Josh,Benson,4,0.0,0.0,0.0,0.0,0.0,0.0
536,Anthony,Driscoll-Glennon,4,0.0,0.0,0.0,0.0,0.0,0.0
551,Mace,Goodridge,4,0.0,0.0,0.0,0.0,0.0,0.0
583,Will,Norris,4,0.0,0.0,0.2702702702702703,0.26109660574412535,0.0,0.0
591,Max,Thompson,4,0.0,0.0,0.0,0.26109660574412535,0.0,0.15015015015015015
592,Lewis,Richardson,4,0.0,0.0,0.0,0.0,0.0,0.3003003003003003
612,Anthony,Mancini,4,0.0,0.0,0.0,0.0,0.0,0.0
613,Joel,Mumbongo,4,0.0,0.0,0.0,0.0,0.0,0.0
658,Richard,Nartey,4,0.0,0.0,0.0,0.0,0.0,0.0
101,Willy,Caballero,5,0.0,0.0,0.0,0.0,0.0,0.0
102,César,Azpilicueta,5,0.0,0.0,0.0,0.0,0.0,1.8018018018018018
103,Olivier,Giroud,5,0.0,0.3597122302158274,0.2702702702702703,0.26109660574412535,0.2597402597402597,1.3513513513513513
104,Marcos,Alonso,5,0.0,0.0,0.0,0.0,0.0,0.7507507507507507
105,Jorge Luiz,Frello Filho,5,0.0,0.0,0.0,0.26109660574412535,0.2597402597402597,2.7027027027027026
107,Mateo,Kovacic,5,0.0,0.0,0.0,0.0,0.0,0.3003003003003003
