id,first_name,second_name,team,Top_100_in,Top_1K_in,Top_10K_in,Top_50K_in,Top_100K_in,Top_250K_in,Top_500K_in,Top_100_out,Top_1K_out,Top_10K_out,Top_50K_out,Top_100K_out,Top_250K_out,Top_500K_out
253,Jannik,Vestergaard,10,0.0,0.0,0.1,0.125,0.13999999999999999,0.08666666666666667,0.104,0.0,0.4,0.05,0.075,0.12,0.14666666666666667,0.212
254,Danny,Ward,10,0.0,0.0,0.7000000000000001,0.44999999999999996,0.6,0.44666666666666666,0.48,5.333333333333334,2.6,2.35,2.35,2.04,1.9866666666666668,2.2399999999999998
255,Jamie,Vardy,10,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.0,0.0,0.2,0.0,0.025,0.02,0.006666666666666667,0.02
256,Ricardo,Barbosa Pereira,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
257,Daniel,Amartey,10,0.0,0.0,0.0,0.05,0.0,0.02666666666666667,0.052,0.0,0.0,0.3,0.25,0.16,0.15333333333333335,0.136
258,Timothy,Castagne,10,0.0,0.0,0.1,0.1,0.1,0.16666666666666669,0.17600000000000002,0.0,1.0,1.6,1.4500000000000002,1.78,1.7533333333333334,2.04
259,Youri,Tielemans,10,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.004,0.0,0.0,0.0,0.0,0.0,0.02,0.008
260,Ayoze,Pérez,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
261,James,Maddison,10,0.0,0.0,0.2,0.025,0.02,0.08666666666666667,0.128,0.0,0.0,0.1,0.05,0.02,0.04666666666666667,0.036000000000000004
262,Kelechi,Iheanacho,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.0
263,Hamza,Choudhury,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
264,Harvey,Barnes,10,0.0,0.0,0.05,0.0,0.02,0.02,0.012,0.0,0.0,0.15,0.125,0.06,0.04666666666666667,0.08
265,Wilfred,Ndidi,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
266,Kiernan,Dewsbury-Hall,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02
267,Çaglar,Söyüncü,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268,James,Justin,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.04,0.02,0.032
269,Boubakary,Soumaré,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.004
270,Luke,Thomas,10,0.0,0.0,0.0,0.025,0.0,0.02,0.008,1.3333333333333335,0.0,0.0,0.1,0.04,0.04,0.032
271,Patson,Daka,10,0.0,0.0,0.0,0.0,0.02,0.0,0.008,0.0,0.0,0.05,0.0,0.02,0.006666666666666667,0.012
273,Lewis,Brunt,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
548,Daniel,Iversen,10,0.0,0.0,0.0,0.0,0.06,0.006666666666666667,0.016,0.0,0.8,0.0,0.25,0.4,0.2,0.292
549,Dennis,Praet,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
581,Alex,Smithies,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.0
612,Wout,Faes,10,0.0,0.0,0.0,0.0,0.0,0.013333333333333334,0.004,0.0,0.0,0.1,0.025,0.0,0.013333333333333334,0.024
639,Sammy,Braybrooke,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
645,Joe,Wormleighton,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
687,Kasey,McAteer,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
709,Victor,Kristiansen,10,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
715,Mateus,Cardoso Lemos Martins,10,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0
727,Harry,Souttar,10,0.0,0.0,0.0,0.0,0.0,0.013333333333333334,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,Liam,Cooper,11,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004
222,Luke,Ayling,11,1.3333333333333335,0.4,0.5499999999999999,0.375,0.33999999999999997,0.36,0.268,0.0,0.0,0.05,0.075,0.12,0.08,0.04
223,Mateusz,Klich,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,Adam,Forshaw,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,Rodrigo,Moreno,11,0.0,2.1999999999999997,1.8499999999999999,2.25,2.6599999999999997,2.506666666666667,2.5919999999999996,0.0,4.0,3.55,3.7249999999999996,4.36,3.726666666666666,4.312
226,Stuart,Dallas,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227,Patrick,Bamford,11,0.0,1.4000000000000001,0.44999999999999996,0.475,0.42,0.72,0.45999999999999996,0.0,0.4,0.1,0.0,0.04,0.11333333333333334,0.064
228,Diego,Llorente,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004
229,Tyler,Roberts,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,Robin,Koch,11,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.004
232,Raphael,Dias Belloli,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233,Jack,Harrison,11,0.0,0.4,0.5,0.525,0.8,0.62,0.772,0.0,0.0,0.0,0.025,0.08,0.05333333333333334,0.092
234,Jamie,Shackleton,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,Pascal,Struijk,11,0.0,0.2,0.6,0.35000000000000003,0.64,0.6266666666666667,0.516,1.3333333333333335,0.2,0.2,0.125,0.36,0.16666666666666669,0.212
