player,minute,squad,outcome,distance,body_part,notes,sca_1_player,sca_1_type,sca_2_player,sca_2_type,date,squad_h,squad_a
Roberto Firmino (pen),55.0,Liverpool,Goal,12,Right Foot,0,Mohamed Salah,Fouled,Roberto Firmino,Pass (Live),2017-08-12,Watford,Liverpool
Roberto Firmino,57.0,Liverpool,Wayward,18,Right Foot,Lob,Dejan Lovren,Pass (Live),Emre Can,Pass (Live),2017-08-12,Watford,Liverpool
Mohamed Salah,57.0,Liverpool,Goal,2,Left Foot,"Open goal, Volley",Roberto Firmino,Shot,0,0,2017-08-12,Watford,Liverpool
Alberto Moreno,64.0,Liverpool,Saved,21,Left Foot,Half volley,0,0,0,0,2017-08-12,Watford,Liverpool
Joël Matip,65.0,Liverpool,Woodwork,3,Head,0,Trent Alexander-Arnold,Pass (Dead),Alberto Moreno,Shot,2017-08-12,Watford,Liverpool
Dejan Lovren,70.0,Liverpool,Saved,6,Head,0,Trent Alexander-Arnold,Pass (Dead),0,0,2017-08-12,Watford,Liverpool
Mohamed Salah,71.0,Liverpool,Off Target,20,Left Foot,Half volley,Alberto Moreno,Pass (Live),Emre Can,Pass (Live),2017-08-12,Watford,Liverpool
José Holebas,76.0,Watford,Off Target,29,Left Foot,0,0,0,0,0,2017-08-12,Watford,Liverpool
Mohamed Salah,77.0,Liverpool,Off Target,12,Right Foot,0,Sadio Mané,Pass (Live),Emre Can,Pass (Live),2017-08-12,Watford,Liverpool
Georginio Wijnaldum,86.0,Liverpool,Off Target,16,Right Foot,0,Sadio Mané,Pass (Live),Mohamed Salah,Pass (Live),2017-08-12,Watford,Liverpool
Miguel Britos,90.3,Watford,Saved,19,Left Foot,0,Abdoulaye Doucouré,Pass (Live),Kiko Femenía,Pass (Live),2017-08-12,Watford,Liverpool
Richarlison,90.3,Watford,Saved,5,Right Foot,Half volley,0,0,0,0,2017-08-12,Watford,Liverpool
Miguel Britos,90.3,Watford,Goal,1,Head,Open goal,Richarlison,Shot,0,0,2017-08-12,Watford,Liverpool
Richarlison,90.5,Watford,Off Target,10,Head,0,Nordin Amrabat,Pass (Live),Andre Gray,Pass (Live),2017-08-12,Watford,Liverpool
Georginio Wijnaldum,90.8,Liverpool,Blocked,17,Right Foot,0,0,0,0,0,2017-08-12,Watford,Liverpool
Jay Rodriguez,3.0,West Brom,Saved,31,Right Foot,0,James McClean,Pass (Live),Sam Field,Pass (Live),2017-08-12,West Brom,Bournemouth
Matt Phillips,8.0,West Brom,Off Target,17,Right Foot,0,Jay Rodriguez,Pass (Live),Allan Nyom,Pass (Live),2017-08-12,West Brom,Bournemouth
Jay Rodriguez,9.0,West Brom,Saved,8,Right Foot,Half volley,Jake Livermore,Pass (Live),0,0,2017-08-12,West Brom,Bournemouth
Jay Rodriguez,14.0,West Brom,Saved,23,Right Foot,0,Jake Livermore,Pass (Live),Allan Nyom,Pass (Live),2017-08-12,West Brom,Bournemouth
Jay Rodriguez,15.0,West Brom,Off Target,4,Head,0,Chris Brunt,Pass (Dead),Jay Rodriguez,Shot,2017-08-12,West Brom,Bournemouth
Charlie Daniels,17.0,Bournemouth,Blocked,23,Left Foot,0,Marc Pugh,Pass (Live),Benik Afobe,Pass (Live),2017-08-12,West Brom,Bournemouth
Matt Phillips,23.0,West Brom,Blocked,30,Left Foot,0,0,0,0,0,2017-08-12,West Brom,Bournemouth
Jay Rodriguez,23.0,West Brom,Off Target,19,Right Foot,0,Chris Brunt,Pass (Live),0,0,2017-08-12,West Brom,Bournemouth
James McClean,26.0,West Brom,Off Target,19,Right Foot,0,0,0,0,0,2017-08-12,West Brom,Bournemouth
Ahmed Hegazi,31.0,West Brom,Goal,3,Head,0,Chris Brunt,Pass (Dead),Allan Nyom,Fouled,2017-08-12,West Brom,Bournemouth
Ahmed Hegazi,34.0,West Brom,Off Target,19,Right Foot,Half volley,Jay Rodriguez,Pass (Live),Sam Field,Pass (Live),2017-08-12,West Brom,Bournemouth
Ahmed Hegazi,40.0,West Brom,Wayward,5,Head,0,Matt Phillips,Pass (Dead),0,0,2017-08-12,West Brom,Bournemouth
Claudio Yacob,40.0,West Brom,Off Target,4,Right Foot,Volley,Ahmed Hegazi,Shot,0,0,2017-08-12,West Brom,Bournemouth
Andrew Surman,45.0,Bournemouth,Off Target,28,Left Foot,0,Ryan Fraser,Pass (Live),Harry Arter,Pass (Live),2017-08-12,West Brom,Bournemouth
Harry Arter,50.0,Bournemouth,Off Target,29,Left Foot,0,Andrew Surman,Pass (Live),0,0,2017-08-12,West Brom,Bournemouth
Ahmed Hegazi,53.0,West Brom,Saved,15,Head,0,James McClean,Pass (Live),Jay Rodriguez,Pass (Live),2017-08-12,West Brom,Bournemouth
Claudio Yacob,56.0,West Brom,Off Target,6,Head,0,Matt Phillips,Pass (Dead),0,0,2017-08-12,West Brom,Bournemouth
Joshua King,60.0,Bournemouth,Blocked,11,Right Foot,Half volley,Andrew Surman,Pass (Live),Ryan Fraser,Pass (Live),2017-08-12,West Brom,Bournemouth
Ryan Fraser,61.0,Bournemouth,Blocked,16,Right Foot,Half volley,0,0,0,0,2017-08-12,West Brom,Bournemouth
Joshua King,68.0,Bournemouth,Blocked,14,Right Foot,Half volley,Jermain Defoe,Pass (Live),Jordon Ibe,Pass (Live),2017-08-12,West Brom,Bournemouth
Jordon Ibe,74.0,Bournemouth,Blocked,26,Right Foot,0,Joshua King,Pass (Live),Andrew Surman,Pass (Live),2017-08-12,West Brom,Bournemouth
Nathan Aké,83.0,Bournemouth,Saved,10,Head,0,Ryan Fraser,Pass (Dead),Ryan Fraser,Fouled,2017-08-12,West Brom,Bournemouth
Hal Robson-Kanu,85.0,West Brom,Off Target,9,Left Foot,Volley,Jake Livermore,Pass (Live),0,0,2017-08-12,West Brom,Bournemouth
James McClean,85.0,West Brom,Off Target,36,Left Foot,0,Rekeem Harper,Pass (Live),0,0,2017-08-12,West Brom,Bournemouth
Salomón Rondón,90.3,West Brom,Saved,23,Right Foot,0,Rekeem Harper,Pass (Live),Claudio Yacob,Pass (Live),2017-08-12,West Brom,Bournemouth
Ryan Fraser,90.5,Bournemouth,Saved,24,Right Foot,0,Steve Cook,Pass (Live),0,0,2017-08-12,West Brom,Bournemouth
Sandro Ramírez,13.0,Everton,Off Target,20,Right Foot,0,0,0,0,0,2017-08-12,Everton,Stoke City
Joe Allen,15.0,Stoke City,Blocked,25,Right Foot,0,0,0,0,0,2017-08-12,Everton,Stoke City
Joe Allen,15.0,Stoke City,Blocked,22,Right Foot,0,Joe Allen,Shot,0,0,2017-08-12,Everton,Stoke City
Idrissa Gana Gueye,20.0,Everton,Saved,27,Right Foot,0,Idrissa Gana Gueye,Dribble,Davy Klaassen,Pass (Live),2017-08-12,Everton,Stoke City
Idrissa Gana Gueye,24.0,Everton,Off Target,20,Right Foot,0,Leighton Baines,Pass (Dead),Michael Keane,Pass (Live),2017-08-12,Everton,Stoke City
Mame Biram Diouf,35.0,Stoke City,Off Target,26,Right Foot,Half volley,Mame Biram Diouf,Dribble,0,0,2017-08-12,Everton,Stoke City
Bojan Krkić,35.0,Stoke City,Off Target,22,Left Foot,0,Saido Berahino,Pass (Live),Geoff Cameron,Pass (Live),2017-08-12,Everton,Stoke City
Wayne Rooney,45.1,Everton,Goal,10,Head,0,Dominic Calvert-Lewin,Pass (Live),Sandro Ramírez,Pass (Live),2017-08-12,Everton,Stoke City
Saido Berahino,46.0,Stoke City,Off Target,23,Right Foot,0,Bojan Krkić,Pass (Live),Erik Pieters,Pass (Live),2017-08-12,Everton,Stoke City
Dominic Calvert-Lewin,54.0,Everton,Blocked,16,Right Foot,0,Wayne Rooney,Pass (Live),0,0,2017-08-12,Everton,Stoke City
Davy Klaassen,56.0,Everton,Saved,21,Right Foot,0,Leighton Baines,Pass (Live),Wayne Rooney,Pass (Live),2017-08-12,Everton,Stoke City
Darren Fletcher,58.0,Stoke City,Off Target,28,Right Foot,0,Joe Allen,Pass (Live),0,0,2017-08-12,Everton,Stoke City
Dominic Calvert-Lewin,62.0,Everton,Off Target,14,Head,0,Cuco Martina,Pass (Live),Sandro Ramírez,Pass (Live),2017-08-12,Everton,Stoke City
Dominic Calvert-Lewin,69.0,Everton,Saved,15,Right Foot,0,Dominic Calvert-Lewin,Tackle,0,0,2017-08-12,Everton,Stoke City
Sandro Ramírez,74.0,Everton,Blocked,20,Right Foot,0,Dominic Calvert-Lewin,Pass (Live),Idrissa Gana Gueye,Pass (Live),2017-08-12,Everton,Stoke City
Mame Biram Diouf,75.0,Stoke City,Wayward,11,Right Foot,Overhead kick,Peter Crouch,Pass (Live),Joe Allen,Pass (Live),2017-08-12,Everton,Stoke City
Peter Crouch,86.0,Stoke City,Blocked,16,Left Foot,0,Mame Biram Diouf,Pass (Live),Darren Fletcher,Pass (Live),2017-08-12,Everton,Stoke City
Xherdan Shaqiri,90.3,Stoke City,Saved,27,Left Foot,0,Eric Maxim Choupo-Moting,Pass (Live),0,0,2017-08-12,Everton,Stoke City
Manolo Gabbiadini,2.0,Southampton,Woodwork,7,Head,0,Ryan Bertrand,Pass (Dead),0,0,2017-08-12,Southampton,Swansea City
Dušan Tadić,4.0,Southampton,Off Target,5,Right Foot,0,Ryan Bertrand,Pass (Live),Nathan Redmond,Pass (Live),2017-08-12,Southampton,Swansea City
Ryan Bertrand,7.0,Southampton,Off Target,29,Left Foot,0,Oriol Romeu,Pass (Live),Dušan Tadić,Pass (Live),2017-08-12,Southampton,Swansea City
Tammy Abraham,10.0,Swansea City,Off Target,9,Head,0,Wayne Routledge,Pass (Live),Kyle Naughton,Pass (Live),2017-08-12,Southampton,Swansea City
Manolo Gabbiadini,18.0,Southampton,Off Target,7,Left Foot,Volley,Ryan Bertrand,Pass (Live),Dušan Tadić,Pass (Live),2017-08-12,Southampton,Swansea City
James Ward-Prowse,20.0,Southampton,Blocked,12,Left Foot,0,Nathan Redmond,Pass (Live),Dušan Tadić,Pass (Live),2017-08-12,Southampton,Swansea City
Nathan Redmond,21.0,Southampton,Off Target,18,Right Foot,0,0,0,0,0,2017-08-12,Southampton,Swansea City
Nathan Redmond,24.0,Southampton,Off Target,25,Left Foot,0,Oriol Romeu,Pass (Live),James Ward-Prowse,Pass (Live),2017-08-12,Southampton,Swansea City
James Ward-Prowse,25.0,Southampton,Saved,26,Right Foot,0,Steven Davis,Pass (Live),Nathan Redmond,Pass (Live),2017-08-12,Southampton,Swansea City
James Ward-Prowse,35.0,Southampton,Blocked,16,Left Foot,0,Oriol Romeu,Pass (Live),Steven Davis,Pass (Live),2017-08-12,Southampton,Swansea City
Cédric Soares,35.0,Southampton,Blocked,21,Right Foot,0,0,0,0,0,2017-08-12,Southampton,Swansea City
Steven Davis,36.0,Southampton,Blocked,28,Right Foot,Half volley,James Ward-Prowse,Pass (Live),Ryan Bertrand,Pass (Live),2017-08-12,Southampton,Swansea City
Maya Yoshida,37.0,Southampton,Off Target,10,Right Foot,Overhead kick,Jack Stephens,Pass (Live),Dušan Tadić,Pass (Live),2017-08-12,Southampton,Swansea City
Tammy Abraham,44.0,Swansea City,Blocked,22,Right Foot,0,Tom Carroll,Pass (Live),Tom Carroll,Interception,2017-08-12,Southampton,Swansea City
Tammy Abraham,46.0,Swansea City,Blocked,13,Left Foot,0,Tammy Abraham,Dribble,Leroy Fer,Pass (Live),2017-08-12,Southampton,Swansea City
Leroy Fer,47.0,Swansea City,Off Target,15,Right Foot,Half volley,Tammy Abraham,Shot,0,0,2017-08-12,Southampton,Swansea City
Dušan Tadić,48.0,Southampton,Blocked,20,Left Foot,0,0,0,0,0,2017-08-12,Southampton,Swansea City
Nathan Redmond,48.0,Southampton,Blocked,24,Right Foot,0,Ryan Bertrand,Pass (Live),Dušan Tadić,Shot,2017-08-12,Southampton,Swansea City
Manolo Gabbiadini,51.0,Southampton,Off Target,12,Left Foot,0,Dušan Tadić,Pass (Live),Oriol Romeu,Pass (Live),2017-08-12,Southampton,Swansea City
Nathan Redmond,61.0,Southampton,Blocked,12,Head,0,Dušan Tadić,Pass (Live),Cédric Soares,Pass (Live),2017-08-12,Southampton,Swansea City
Manolo Gabbiadini,62.0,Southampton,Off Target,20,Right Foot,0,Nathan Redmond,Pass (Live),Oriol Romeu,Pass (Live),2017-08-12,Southampton,Swansea City
Manolo Gabbiadini,68.0,Southampton,Wayward,17,Left Foot,0,James Ward-Prowse,Pass (Live),James Ward-Prowse,Tackle,2017-08-12,Southampton,Swansea City
Maya Yoshida,69.0,Southampton,Blocked,7,Head,0,James Ward-Prowse,Pass (Dead),0,0,2017-08-12,Southampton,Swansea City
Steven Davis,70.0,Southampton,Blocked,21,Right Foot,Half volley,0,0,0,0,2017-08-12,Southampton,Swansea City
Dušan Tadić,79.0,Southampton,Saved,32,Left Foot,0,Nathan Redmond,Pass (Live),Oriol Romeu,Pass (Live),2017-08-12,Southampton,Swansea City
Maya Yoshida,79.0,Southampton,Off Target,6,Head,0,Oriol Romeu,Pass (Live),Steven Davis,Pass (Live),2017-08-12,Southampton,Swansea City
Dušan Tadić,83.0,Southampton,Off Target,18,Left Foot,0,Steven Davis,Pass (Live),Nathan Redmond,Pass (Live),2017-08-12,Southampton,Swansea City
Jack Stephens,85.0,Southampton,Blocked,12,Right Foot,Volley,Nathan Redmond,Pass (Live),Dušan Tadić,Pass (Live),2017-08-12,Southampton,Swansea City
Cédric Soares,87.0,Southampton,Off Target,30,Right Foot,0,Maya Yoshida,Pass (Live),Maya Yoshida,Tackle,2017-08-12,Southampton,Swansea City
Sofiane Boufal,89.0,Southampton,Blocked,23,Right Foot,0,Sofiane Boufal,Dribble,Sam McQueen,Pass (Live),2017-08-12,Southampton,Swansea City
Maya Yoshida,90.2,Southampton,Off Target,28,Right Foot,Free kick,Oriol Romeu,Fouled,Cédric Soares,Pass (Live),2017-08-12,Southampton,Swansea City
Charlie Austin,90.3,Southampton,Off Target,16,Right Foot,0,Nathan Redmond,Pass (Live),0,0,2017-08-12,Southampton,Swansea City
Ben Mee,3.0,Burnley,Saved,11,Head,0,Robbie Brady,Pass (Dead),Matthew Lowton,Fouled,2017-08-12,Chelsea,Burnley
Antonio Rüdiger,11.0,Chelsea,Blocked,30,Right Foot,0,Cesc Fàbregas,Pass (Live),N'Golo Kanté,Pass (Live),2017-08-12,Chelsea,Burnley
Sam Vokes,24.0,Burnley,Goal,13,Right Foot,Volley,Matthew Lowton,Pass (Live),Robbie Brady,Pass (Live),2017-08-12,Chelsea,Burnley
Marcos Alonso,33.0,Chelsea,Blocked,21,Right Foot,0,Willian,Pass (Live),N'Golo Kanté,Pass (Live),2017-08-12,Chelsea,Burnley
Stephen Ward,39.0,Burnley,Goal,17,Left Foot,Half volley,Stephen Ward,Dribble,Jack Cork,Pass (Live),2017-08-12,Chelsea,Burnley
David Luiz,41.0,Chelsea,Off Target,27,Left Foot,Volley,0,0,0,0,2017-08-12,Chelsea,Burnley
Sam Vokes,43.0,Burnley,Goal,6,Head,0,Steven Defour,Pass (Live),Robbie Brady,Pass (Dead),2017-08-12,Chelsea,Burnley
N'Golo Kanté,45.0,Chelsea,Blocked,25,Right Foot,0,Marcos Alonso,Pass (Live),Antonio Rüdiger,Pass (Live),2017-08-12,Chelsea,Burnley
N'Golo Kanté,45.0,Chelsea,Blocked,23,Right Foot,0,0,0,0,0,2017-08-12,Chelsea,Burnley
Robbie Brady,45.3,Burnley,Off Target,19,Left Foot,Half volley,Jeff Hendrick,Pass (Live),0,0,2017-08-12,Chelsea,Burnley
Antonio Rüdiger,48.0,Chelsea,Off Target,40,Right Foot,0,Cesc Fàbregas,Pass (Live),N'Golo Kanté,Pass (Live),2017-08-12,Chelsea,Burnley
Marcos Alonso,49.0,Chelsea,Saved,30,Left Foot,0,Cesc Fàbregas,Pass (Live),Michy Batshuayi,Pass (Live),2017-08-12,Chelsea,Burnley
Michy Batshuayi,53.0,Chelsea,Saved,19,Right Foot,0,N'Golo Kanté,Pass (Live),Marcos Alonso,Pass (Live),2017-08-12,Chelsea,Burnley
Sam Vokes,57.0,Burnley,Off Target,8,Head,0,Robbie Brady,Pass (Dead),0,0,2017-08-12,Chelsea,Burnley
Álvaro Morata,59.0,Chelsea,Off Target,35,Right Foot,0,Marcos Alonso,Pass (Live),Antonio Rüdiger,Pass (Live),2017-08-12,Chelsea,Burnley
Marcos Alonso,61.0,Chelsea,Saved,30,Left Foot,Free kick,Willian,Fouled,Willian,Dribble,2017-08-12,Chelsea,Burnley
Marcos Alonso,62.0,Chelsea,Blocked,13,Left Foot,Half volley,Marcos Alonso,Dribble,0,0,2017-08-12,Chelsea,Burnley
David Luiz,64.0,Chelsea,Off Target,10,Right Foot,Volley,Cesc Fàbregas,Pass (Dead),Álvaro Morata,Fouled,2017-08-12,Chelsea,Burnley
Robbie Brady,66.0,Burnley,Off Target,8,Head,0,Jóhann Berg Guðmundsson,Pass (Live),0,0,2017-08-12,Chelsea,Burnley
N'Golo Kanté,68.0,Chelsea,Blocked,18,Right Foot,0,Willian,Pass (Dead),Cesc Fàbregas,Pass (Live),2017-08-12,Chelsea,Burnley
Álvaro Morata,69.0,Chelsea,Goal,7,Head,Diving header,Willian,Pass (Live),N'Golo Kanté,Pass (Live),2017-08-12,Chelsea,Burnley
Ben Mee,76.0,Burnley,Saved,9,Head,0,Robbie Brady,Pass (Dead),0,0,2017-08-12,Chelsea,Burnley
N'Golo Kanté,80.0,Chelsea,Off Target,26,Right Foot,0,Andreas Christensen,Pass (Live),0,0,2017-08-12,Chelsea,Burnley
Álvaro Morata,85.0,Chelsea,Saved,21,Left Foot,0,César Azpilicueta,Pass (Live),0,0,2017-08-12,Chelsea,Burnley
Willian,87.0,Chelsea,Blocked,16,Right Foot,0,Marcos Alonso,Pass (Live),0,0,2017-08-12,Chelsea,Burnley
David Luiz,88.0,Chelsea,Goal,10,Left Foot,Volley,Álvaro Morata,Pass (Live),César Azpilicueta,Pass (Live),2017-08-12,Chelsea,Burnley
Robbie Brady,90.0,Burnley,Woodwork,18,Left Foot,Free kick,Sam Vokes,Fouled,Jack Cork,Pass (Dead),2017-08-12,Chelsea,Burnley
Robbie Brady,90.0,Burnley,Blocked,17,Left Foot,Half volley,Robbie Brady,Shot,0,0,2017-08-12,Chelsea,Burnley
Marcos Alonso,90.5,Chelsea,Blocked,10,Left Foot,Half volley,0,0,0,0,2017-08-12,Chelsea,Burnley
Tom Ince,2.0,Huddersfield,Saved,13,Left Foot,Volley,0,0,0,0,2017-08-12,Crystal Palace,Huddersfield
Kasey Palmer,17.0,Huddersfield,Saved,24,Left Foot,0,Kasey Palmer,Dribble,Tommy Smith,Pass (Dead),2017-08-12,Crystal Palace,Huddersfield
Philip Billing,20.0,Huddersfield,Saved,32,Left Foot,0,0,0,0,0,2017-08-12,Crystal Palace,Huddersfield
Mathias Jørgensen,23.0,Huddersfield,Wayward,0,Right Foot,"Open goal, Volley",Christopher Schindler,Pass (Live),Aaron Mooy,Pass (Dead),2017-08-12,Crystal Palace,Huddersfield
Steve Mounié,26.0,Huddersfield,Goal,7,Head,0,Aaron Mooy,Pass (Live),Chris Löwe,Pass (Live),2017-08-12,Crystal Palace,Huddersfield
Ruben Loftus-Cheek,28.0,Crystal Palace,Blocked,19,Right Foot,0,0,0,0,0,2017-08-12,Crystal Palace,Huddersfield
Mathias Jørgensen,32.0,Huddersfield,Off Target,6,Head,0,Aaron Mooy,Pass (Dead),0,0,2017-08-12,Crystal Palace,Huddersfield
Wilfried Zaha,37.0,Crystal Palace,Off Target,15,Right Foot,0,Wilfried Zaha,Dribble,Wilfried Zaha,Dribble,2017-08-12,Crystal Palace,Huddersfield
Wilfried Zaha,42.0,Crystal Palace,Saved,18,Right Foot,Deflected,Wilfried Zaha,Dribble,Wilfried Zaha,Interception,2017-08-12,Crystal Palace,Huddersfield
Christian Benteke,44.0,Crystal Palace,Off Target,10,Head,0,Patrick van Aanholt,Pass (Dead),0,0,2017-08-12,Crystal Palace,Huddersfield
Jason Puncheon,45.2,Crystal Palace,Off Target,24,Right Foot,0,0,0,0,0,2017-08-12,Crystal Palace,Huddersfield
Chris Löwe,48.0,Huddersfield,Saved,39,Left Foot,0,Aaron Mooy,Pass (Live),Steve Mounié,Pass (Live),2017-08-12,Crystal Palace,Huddersfield
Steve Mounié,48.0,Huddersfield,Off Target,7,Right Foot,Half volley,Chris Löwe,Shot,0,0,2017-08-12,Crystal Palace,Huddersfield
Christian Benteke,55.0,Crystal Palace,Saved,8,Head,0,Patrick van Aanholt,Pass (Dead),0,0,2017-08-12,Crystal Palace,Huddersfield
Wilfried Zaha,58.0,Crystal Palace,Saved,9,Left Foot,0,Ruben Loftus-Cheek,Pass (Live),Ruben Loftus-Cheek,Interception,2017-08-12,Crystal Palace,Huddersfield
Patrick van Aanholt,69.0,Crystal Palace,Blocked,18,Right Foot,0,Wilfried Zaha,Pass (Live),0,0,2017-08-12,Crystal Palace,Huddersfield
