player,minute,squad,outcome,distance,body_part,notes,sca_1_player,sca_1_type,sca_2_player,sca_2_type,date,squad_h,squad_a
Teemu Pukki,64.0,Norwich City,Goal,11,Right Foot,0,Emi Buendía,Pass (Live),Max Aarons,Pass (Dead),2019-08-09,Liverpool,Norwich City
Roberto Firmino,71.0,Liverpool,Blocked,17,Right Foot,0,Mohamed Salah,Pass (Live),Fabinho,Pass (Live),2019-08-09,Liverpool,Norwich City
Trent Alexander-Arnold,73.0,Liverpool,Off Target,33,Right Foot,0,Joe Gomez,Pass (Live),0,0,2019-08-09,Liverpool,Norwich City
Onel Hernández,79.0,Norwich City,Saved,17,Right Foot,0,Moritz Leitner,Pass (Live),Max Aarons,Pass (Live),2019-08-09,Liverpool,Norwich City
Emi Buendía,80.0,Norwich City,Saved,29,Right Foot,Free kick,Teemu Pukki,Fouled,0,0,2019-08-09,Liverpool,Norwich City
Trent Alexander-Arnold,85.0,Liverpool,Saved,20,Right Foot,Free kick,Roberto Firmino,Fouled,Roberto Firmino,Dribble,2019-08-09,Liverpool,Norwich City
Ben Godfrey,90.1,Norwich City,Saved,28,Right Foot,0,Jamal Lewis,Pass (Live),Onel Hernández,Pass (Live),2019-08-09,Liverpool,Norwich City
Onel Hernández,90.1,Norwich City,Blocked,10,Left Foot,0,Ben Godfrey,Shot,0,0,2019-08-09,Liverpool,Norwich City
Riyad Mahrez,9.0,Manchester City,Saved,26,Left Foot,0,Kyle Walker,Pass (Live),John Stones,Pass (Live),2019-08-10,West Ham,Manchester City
David Silva,15.0,Manchester City,Off Target,20,Left Foot,0,Riyad Mahrez,Pass (Live),David Silva,Pass (Live),2019-08-10,West Ham,Manchester City
Riyad Mahrez,19.0,Manchester City,Blocked,16,Right Foot,0,Kevin De Bruyne,Pass (Live),Gabriel Jesus,Pass (Live),2019-08-10,West Ham,Manchester City
Riyad Mahrez,21.0,Manchester City,Off Target,11,Left Foot,0,Riyad Mahrez,Dribble,Kevin De Bruyne,Pass (Live),2019-08-10,West Ham,Manchester City
Gabriel Jesus,25.0,Manchester City,Goal,5,Left Foot,Half volley,Kyle Walker,Pass (Live),Riyad Mahrez,Pass (Live),2019-08-10,West Ham,Manchester City
David Silva,28.0,Manchester City,Off Target,8,Left Foot,Volley,Kevin De Bruyne,Pass (Live),Kyle Walker,Pass (Live),2019-08-10,West Ham,Manchester City
Sébastien Haller,35.0,West Ham,Saved,12,Right Foot,Half volley,Michail Antonio,Pass (Live),Ryan Fredericks,Pass (Dead),2019-08-10,West Ham,Manchester City
Kevin De Bruyne,38.0,Manchester City,Saved,18,Right Foot,0,David Silva,Pass (Live),Kevin De Bruyne,Pass (Live),2019-08-10,West Ham,Manchester City
Gabriel Jesus,45.1,Manchester City,Saved,19,Right Foot,Half volley,0,0,0,0,2019-08-10,West Ham,Manchester City
Raheem Sterling,50.0,Manchester City,Saved,11,Head,0,Oleksandr Zinchenko,Pass (Live),David Silva,Pass (Live),2019-08-10,West Ham,Manchester City
Raheem Sterling,51.0,Manchester City,Goal,13,Left Foot,0,Kevin De Bruyne,Pass (Live),Riyad Mahrez,Pass (Live),2019-08-10,West Ham,Manchester City
Oleksandr Zinchenko,57.0,Manchester City,Off Target,23,Left Foot,0,David Silva,Pass (Live),Kevin De Bruyne,Pass (Live),2019-08-10,West Ham,Manchester City
Issa Diop,60.0,West Ham,Off Target,4,Head,0,Robert Snodgrass,Pass (Dead),Aaron Cresswell,Fouled,2019-08-10,West Ham,Manchester City
Javier Hernández,73.0,West Ham,Saved,6,Left Foot,Volley,Pablo Fornals,Pass (Live),Javier Hernández,Pass (Live),2019-08-10,West Ham,Manchester City
Manuel Lanzini,73.0,West Ham,Saved,8,Head,0,Javier Hernández,Shot,0,0,2019-08-10,West Ham,Manchester City
Raheem Sterling,75.0,Manchester City,Goal,8,Right Foot,Lob,Riyad Mahrez,Pass (Live),Raheem Sterling,Pass (Live),2019-08-10,West Ham,Manchester City
Sergio Agüero (pen),86.0,Manchester City,Goal,12,Right Foot,0,Riyad Mahrez,Fouled,0,0,2019-08-10,West Ham,Manchester City
Raheem Sterling,90.2,Manchester City,Goal,13,Right Foot,0,Riyad Mahrez,Pass (Live),İlkay Gündoğan,Tackle,2019-08-10,West Ham,Manchester City
Javier Hernández,90.4,West Ham,Off Target,28,Right Foot,Free kick,Robert Snodgrass,Fouled,Manuel Lanzini,Pass (Live),2019-08-10,West Ham,Manchester City
Gerard Deulofeu,3.0,Watford,Off Target,23,Left Foot,0,Abdoulaye Doucouré,Pass (Live),Andre Gray,Pass (Live),2019-08-10,Watford,Brighton
Jürgen Locadia,9.0,Brighton,Saved,14,Right Foot,Half volley,Martín Montoya,Pass (Live),Pascal Groß,Pass (Live),2019-08-10,Watford,Brighton
Troy Deeney,10.0,Watford,Saved,21,Right Foot,0,0,0,0,0,2019-08-10,Watford,Brighton
Davy Pröpper,13.0,Brighton,Off Target,30,Left Foot,0,Dale Stephens,Pass (Live),Jürgen Locadia,Pass (Live),2019-08-10,Watford,Brighton
Will Hughes,29.0,Watford,Off Target,15,Left Foot,0,Abdoulaye Doucouré,Pass (Live),Gerard Deulofeu,Pass (Live),2019-08-10,Watford,Brighton
Étienne Capoue,32.0,Watford,Off Target,34,Right Foot,0,0,0,0,0,2019-08-10,Watford,Brighton
Kiko Femenía,35.0,Watford,Off Target,32,Right Foot,Half volley,0,0,0,0,2019-08-10,Watford,Brighton
Andre Gray,54.0,Watford,Saved,11,Right Foot,0,Kiko Femenía,Pass (Live),Kiko Femenía,Tackle,2019-08-10,Watford,Brighton
Roberto Pereyra,59.0,Watford,Blocked,24,Right Foot,Free kick,Will Hughes,Fouled,Kiko Femenía,Pass (Live),2019-08-10,Watford,Brighton
Florin Andone,65.0,Brighton,Goal,7,Right Foot,Half volley,Davy Pröpper,Pass (Live),Martín Montoya,Pass (Live),2019-08-10,Watford,Brighton
Craig Dawson,67.0,Watford,Saved,7,Head,0,Kiko Femenía,Pass (Live),Roberto Pereyra,Pass (Dead),2019-08-10,Watford,Brighton
Neal Maupay,77.0,Brighton,Goal,13,Left Foot,0,Neal Maupay,Dribble,Lewis Dunk,Pass (Live),2019-08-10,Watford,Brighton
Roberto Pereyra,90.0,Watford,Blocked,25,Right Foot,Free kick,Roberto Pereyra,Fouled,Will Hughes,Pass (Live),2019-08-10,Watford,Brighton
Roberto Pereyra,90.0,Watford,Blocked,21,Left Foot,Half volley,Roberto Pereyra,Shot,0,0,2019-08-10,Watford,Brighton
Craig Dawson,90.0,Watford,Blocked,15,Right Foot,Half volley,Troy Deeney,Pass (Live),Kiko Femenía,Pass (Live),2019-08-10,Watford,Brighton
Che Adams,2.0,Southampton,Off Target,6,Right Foot,Volley,Yan Valery,Pass (Live),Nathan Redmond,Pass (Live),2019-08-10,Burnley,Southampton
Oriol Romeu,9.0,Southampton,Off Target,22,Left Foot,Half volley,0,0,0,0,2019-08-10,Burnley,Southampton
Che Adams,12.0,Southampton,Blocked,25,Right Foot,0,0,0,0,0,2019-08-10,Burnley,Southampton
James Ward-Prowse,13.0,Southampton,Saved,29,Right Foot,0,0,0,0,0,2019-08-10,Burnley,Southampton
James Ward-Prowse,21.0,Southampton,Blocked,21,Right Foot,Volley,0,0,0,0,2019-08-10,Burnley,Southampton
Jóhann Berg Guðmundsson,27.0,Burnley,Off Target,24,Left Foot,0,Matthew Lowton,Pass (Live),Jack Cork,Pass (Live),2019-08-10,Burnley,Southampton
Nathan Redmond,43.0,Southampton,Saved,15,Right Foot,0,Oriol Romeu,Pass (Live),Che Adams,Dribble,2019-08-10,Burnley,Southampton
Oriol Romeu,44.0,Southampton,Wayward,10,Head,0,James Ward-Prowse,Pass (Dead),Nathan Redmond,Shot,2019-08-10,Burnley,Southampton
Ashley Barnes,45.1,Burnley,Off Target,13,Left Foot,Half volley,0,0,0,0,2019-08-10,Burnley,Southampton
Erik Pieters,48.0,Burnley,Off Target,34,Left Foot,0,Ashley Westwood,Pass (Live),0,0,2019-08-10,Burnley,Southampton
Ryan Bertrand,53.0,Southampton,Off Target,20,Left Foot,Free kick,Nathan Redmond,Fouled,Nathan Redmond,Dribble,2019-08-10,Burnley,Southampton
Chris Wood,54.0,Burnley,Off Target,20,Right Foot,Half volley,Nick Pope,Pass (Dead),0,0,2019-08-10,Burnley,Southampton
James Tarkowski,58.0,Burnley,Blocked,9,Head,0,Ashley Westwood,Pass (Dead),0,0,2019-08-10,Burnley,Southampton
Nathan Redmond,59.0,Southampton,Off Target,21,Right Foot,0,Danny Ings,Pass (Live),0,0,2019-08-10,Burnley,Southampton
Ashley Barnes,63.0,Burnley,Goal,16,Right Foot,Half volley,Erik Pieters,Pass (Live),James Tarkowski,Pass (Live),2019-08-10,Burnley,Southampton
Oriol Romeu,67.0,Southampton,Blocked,24,Right Foot,0,0,0,0,0,2019-08-10,Burnley,Southampton
Ashley Barnes,70.0,Burnley,Goal,6,Right Foot,Volley,Erik Pieters,Pass (Live),Ashley Westwood,Pass (Live),2019-08-10,Burnley,Southampton
Jóhann Berg Guðmundsson,75.0,Burnley,Goal,14,Left Foot,0,Jóhann Berg Guðmundsson,Tackle,0,0,2019-08-10,Burnley,Southampton
Ashley Barnes,79.0,Burnley,Saved,6,Left Foot,0,Ashley Barnes,Dribble,Ashley Barnes,Interception,2019-08-10,Burnley,Southampton
Jannik Vestergaard,82.0,Southampton,Saved,6,Right Foot,0,Jan Bednarek,Pass (Live),0,0,2019-08-10,Burnley,Southampton
Jan Bednarek,90.0,Southampton,Off Target,14,Right Foot,0,Sofiane Boufal,Pass (Live),James Ward-Prowse,Pass (Dead),2019-08-10,Burnley,Southampton
David McGoldrick,1.0,Sheffield Utd,Saved,22,Right Foot,Half volley,John Lundstram,Pass (Live),Enda Stevens,Pass (Dead),2019-08-10,Bournemouth,Sheffield Utd
Jefferson Lerma,5.0,Bournemouth,Off Target,32,Right Foot,Half volley,Jefferson Lerma,Dribble,Nathan Aké,Pass (Live),2019-08-10,Bournemouth,Sheffield Utd
Callum Robinson,21.0,Sheffield Utd,Saved,26,Right Foot,0,John Fleck,Pass (Live),Jack O'Connell,Pass (Live),2019-08-10,Bournemouth,Sheffield Utd
Philip Billing,26.0,Bournemouth,Off Target,31,Left Foot,0,Diego Rico,Pass (Live),Ryan Fraser,Pass (Live),2019-08-10,Bournemouth,Sheffield Utd
John Lundstram,42.0,Sheffield Utd,Off Target,29,Left Foot,0,John Fleck,Pass (Live),0,0,2019-08-10,Bournemouth,Sheffield Utd
Chris Mepham,45.0,Bournemouth,Off Target,13,Right Foot,0,Philip Billing,Pass (Live),Philip Billing,Tackle,2019-08-10,Bournemouth,Sheffield Utd
Callum Robinson,45.2,Sheffield Utd,Blocked,13,Left Foot,0,Oliver Norwood,Pass (Live),John Lundstram,Pass (Live),2019-08-10,Bournemouth,Sheffield Utd
George Baldock,47.0,Sheffield Utd,Off Target,24,Right Foot,Half volley,0,0,0,0,2019-08-10,Bournemouth,Sheffield Utd
David McGoldrick,49.0,Sheffield Utd,Off Target,23,Right Foot,Half volley,John Lundstram,Pass (Live),Chris Basham,Pass (Live),2019-08-10,Bournemouth,Sheffield Utd
Jefferson Lerma,53.0,Bournemouth,Blocked,25,Right Foot,0,Joshua King,Pass (Live),Ryan Fraser,Pass (Live),2019-08-10,Bournemouth,Sheffield Utd
Joshua King,56.0,Bournemouth,Blocked,16,Right Foot,Volley,0,0,0,0,2019-08-10,Bournemouth,Sheffield Utd
Philip Billing,59.0,Bournemouth,Saved,26,Left Foot,0,0,0,0,0,2019-08-10,Bournemouth,Sheffield Utd
Nathan Aké,61.0,Bournemouth,Wayward,12,Head,0,Ryan Fraser,Pass (Dead),Philip Billing,Shot,2019-08-10,Bournemouth,Sheffield Utd
Nathan Aké,62.0,Bournemouth,Blocked,7,Left Foot,Overhead kick,Philip Billing,Pass (Live),Ryan Fraser,Pass (Dead),2019-08-10,Bournemouth,Sheffield Utd
Callum Wilson,62.0,Bournemouth,Saved,3,Left Foot,Volley,Nathan Aké,Shot,0,0,2019-08-10,Bournemouth,Sheffield Utd
Chris Mepham,62.0,Bournemouth,Goal,5,Right Foot,Half volley,Callum Wilson,Shot,0,0,2019-08-10,Bournemouth,Sheffield Utd
Steve Cook,76.0,Bournemouth,Wayward,17,Right Foot,Overhead kick,0,0,0,0,2019-08-10,Bournemouth,Sheffield Utd
Diego Rico,78.0,Bournemouth,Off Target,29,Left Foot,Half volley,0,0,0,0,2019-08-10,Bournemouth,Sheffield Utd
Oliver McBurnie,88.0,Sheffield Utd,Wayward,8,Right Foot,0,George Baldock,Pass (Live),Oliver Norwood,Pass (Dead),2019-08-10,Bournemouth,Sheffield Utd
Billy Sharp,88.0,Sheffield Utd,Goal,5,Left Foot,Half volley,Oliver McBurnie,Shot,0,0,2019-08-10,Bournemouth,Sheffield Utd
Ryan Fraser,90.3,Bournemouth,Off Target,21,Right Foot,Free kick,Dominic Solanke,Fouled,0,0,2019-08-10,Bournemouth,Sheffield Utd
Gylfi Sigurðsson,2.0,Everton,Off Target,14,Right Foot,Half volley,0,0,0,0,2019-08-10,Crystal Palace,Everton
Richarlison,14.0,Everton,Blocked,12,Left Foot,0,Gylfi Sigurðsson,Pass (Dead),0,0,2019-08-10,Crystal Palace,Everton
Christian Benteke,28.0,Crystal Palace,Blocked,18,Right Foot,0,Luka Milivojević,Pass (Dead),Jordan Ayew,Fouled,2019-08-10,Crystal Palace,Everton
Max Meyer,29.0,Crystal Palace,Blocked,16,Left Foot,0,Jordan Ayew,Pass (Live),0,0,2019-08-10,Crystal Palace,Everton
Lucas Digne,31.0,Everton,Blocked,16,Left Foot,0,Morgan Schneiderlin,Pass (Live),Bernard,Pass (Live),2019-08-10,Crystal Palace,Everton
Séamus Coleman,31.0,Everton,Saved,7,Right Foot,0,Lucas Digne,Shot,0,0,2019-08-10,Crystal Palace,Everton
Dominic Calvert-Lewin,31.0,Everton,Off Target,6,Head,0,Bernard,Pass (Live),Séamus Coleman,Shot,2019-08-10,Crystal Palace,Everton
Gylfi Sigurðsson,38.0,Everton,Blocked,24,Right Foot,0,André Gomes,Pass (Live),0,0,2019-08-10,Crystal Palace,Everton
Max Meyer,40.0,Crystal Palace,Blocked,11,Right Foot,0,Luka Milivojević,Pass (Dead),Andros Townsend,Fouled,2019-08-10,Crystal Palace,Everton
Scott Dann,42.0,Crystal Palace,Blocked,3,Head,0,Luka Milivojević,Pass (Dead),0,0,2019-08-10,Crystal Palace,Everton
Gylfi Sigurðsson,52.0,Everton,Blocked,7,Right Foot,Volley,Lucas Digne,Pass (Live),Dominic Calvert-Lewin,Pass (Live),2019-08-10,Crystal Palace,Everton
Richarlison,54.0,Everton,Blocked,27,Left Foot,0,Dominic Calvert-Lewin,Pass (Live),Séamus Coleman,Pass (Live),2019-08-10,Crystal Palace,Everton
Jordan Ayew,56.0,Crystal Palace,Saved,16,Right Foot,0,Christian Benteke,Pass (Live),Christian Benteke,Tackle,2019-08-10,Crystal Palace,Everton
Max Meyer,57.0,Crystal Palace,Saved,10,Left Foot,0,Andros Townsend,Pass (Live),Christian Benteke,Pass (Live),2019-08-10,Crystal Palace,Everton
Gylfi Sigurðsson,62.0,Everton,Saved,24,Left Foot,0,Richarlison,Pass (Live),Morgan Schneiderlin,Pass (Live),2019-08-10,Crystal Palace,Everton
Richarlison,68.0,Everton,Off Target,18,Left Foot,0,0,0,0,0,2019-08-10,Crystal Palace,Everton
Wilfried Zaha,74.0,Crystal Palace,Blocked,14,Left Foot,0,0,0,0,0,2019-08-10,Crystal Palace,Everton
Lucas Moura,1.0,Tottenham,Off Target,22,Right Foot,0,Lucas Moura,Fouled,Lucas Moura,Tackle,2019-08-10,Tottenham,Aston Villa
Lucas Moura,5.0,Tottenham,Saved,7,Head,0,Danny Rose,Pass (Live),Moussa Sissoko,Pass (Live),2019-08-10,Tottenham,Aston Villa
Érik Lamela,8.0,Tottenham,Off Target,24,Left Foot,Free kick,Kyle Walker-Peters,Fouled,Lucas Moura,Pass (Live),2019-08-10,Tottenham,Aston Villa
John McGinn,9.0,Aston Villa,Goal,10,Left Foot,0,John McGinn,Dribble,Tyrone Mings,Pass (Live),2019-08-10,Tottenham,Aston Villa
Trézéguet,21.0,Aston Villa,Blocked,12,Left Foot,0,John McGinn,Pass (Live),Conor Hourihane,Pass (Live),2019-08-10,Tottenham,Aston Villa
Trézéguet,32.0,Aston Villa,Saved,16,Right Foot,0,Jack Grealish,Pass (Live),0,0,2019-08-10,Tottenham,Aston Villa
Harry Kane,34.0,Tottenham,Off Target,21,Left Foot,0,Davinson Sánchez,Pass (Live),0,0,2019-08-10,Tottenham,Aston Villa
Wesley Moraes,36.0,Aston Villa,Saved,13,Head,0,Trézéguet,Pass (Live),Jack Grealish,Pass (Live),2019-08-10,Tottenham,Aston Villa
Harry Winks,39.0,Tottenham,Off Target,27,Left Foot,0,Lucas Moura,Pass (Live),Tanguy Ndombele,Pass (Live),2019-08-10,Tottenham,Aston Villa
Moussa Sissoko,42.0,Tottenham,Off Target,31,Right Foot,0,Danny Rose,Pass (Live),Harry Winks,Pass (Live),2019-08-10,Tottenham,Aston Villa
Anwar El Ghazi,43.0,Aston Villa,Saved,28,Right Foot,0,Conor Hourihane,Pass (Live),Jack Grealish,Tackle,2019-08-10,Tottenham,Aston Villa
Harry Kane,45.0,Tottenham,Off Target,5,Head,0,Tanguy Ndombele,Pass (Live),Kyle Walker-Peters,Pass (Live),2019-08-10,Tottenham,Aston Villa
Érik Lamela,46.0,Tottenham,Blocked,10,Left Foot,0,0,0,0,0,2019-08-10,Tottenham,Aston Villa
Moussa Sissoko,50.0,Tottenham,Wayward,8,Right Foot,0,Érik Lamela,Pass (Live),Harry Kane,Pass (Live),2019-08-10,Tottenham,Aston Villa
Harry Kane,55.0,Tottenham,Blocked,19,Left Foot,0,Érik Lamela,Pass (Live),Lucas Moura,Pass (Live),2019-08-10,Tottenham,Aston Villa
Tanguy Ndombele,58.0,Tottenham,Off Target,31,Right Foot,0,Harry Winks,Pass (Live),Kyle Walker-Peters,Pass (Live),2019-08-10,Tottenham,Aston Villa
Kyle Walker-Peters,64.0,Tottenham,Blocked,22,Right Foot,0,Toby Alderweireld,Pass (Live),Lucas Moura,Pass (Live),2019-08-10,Tottenham,Aston Villa
Toby Alderweireld,65.0,Tottenham,Off Target,8,Head,0,Érik Lamela,Pass (Dead),Kyle Walker-Peters,Shot,2019-08-10,Tottenham,Aston Villa
Harry Kane,65.0,Tottenham,Blocked,16,Right Foot,0,0,0,0,0,2019-08-10,Tottenham,Aston Villa
Érik Lamela,67.0,Tottenham,Blocked,37,Left Foot,Half volley,Érik Lamela,Pass (Live),0,0,2019-08-10,Tottenham,Aston Villa
Christian Eriksen,69.0,Tottenham,Off Target,19,Right Foot,0,Harry Kane,Pass (Live),Érik Lamela,Pass (Live),2019-08-10,Tottenham,Aston Villa
Christian Eriksen,72.0,Tottenham,Blocked,26,Left Foot,0,Kyle Walker-Peters,Pass (Live),Moussa Sissoko,Pass (Live),2019-08-10,Tottenham,Aston Villa
Moussa Sissoko,72.0,Tottenham,Blocked,15,Right Foot,0,Toby Alderweireld,Tackle,0,0,2019-08-10,Tottenham,Aston Villa
Davinson Sánchez,73.0,Tottenham,Saved,7,Right Foot,Half volley,Christian Eriksen,Pass (Live),Moussa Sissoko,Pass (Live),2019-08-10,Tottenham,Aston Villa
Tanguy Ndombele,73.0,Tottenham,Goal,24,Right Foot,Deflected,Lucas Moura,Pass (Live),Lucas Moura,Dribble,2019-08-10,Tottenham,Aston Villa
Harry Kane,74.0,Tottenham,Blocked,14,Right Foot,0,Christian Eriksen,Pass (Live),Érik Lamela,Interception,2019-08-10,Tottenham,Aston Villa
Christian Eriksen,78.0,Tottenham,Saved,23,Right Foot,Free kick,Danny Rose,Fouled,0,0,2019-08-10,Tottenham,Aston Villa
Davinson Sánchez,78.0,Tottenham,Wayward,5,Right Foot,Overhead kick,Tanguy Ndombele,Pass (Live),Christian Eriksen,Pass (Live),2019-08-10,Tottenham,Aston Villa
Toby Alderweireld,80.0,Tottenham,Saved,18,Left Foot,"Deflected, Half volley",Danny Rose,Pass (Live),Lucas Moura,Pass (Live),2019-08-10,Tottenham,Aston Villa
Moussa Sissoko,84.0,Tottenham,Blocked,21,Right Foot,0,Harry Kane,Pass (Live),Lucas Moura,Pass (Live),2019-08-10,Tottenham,Aston Villa
Érik Lamela,86.0,Tottenham,Blocked,25,Left Foot,0,Érik Lamela,Tackle,0,0,2019-08-10,Tottenham,Aston Villa
Harry Kane,86.0,Tottenham,Goal,11,Left Foot,0,Érik Lamela,Shot,0,0,2019-08-10,Tottenham,Aston Villa
Anwar El Ghazi,88.0,Aston Villa,Off Target,38,Right Foot,0,Jack Grealish,Tackle,0,0,2019-08-10,Tottenham,Aston Villa
Lucas Moura,89.0,Tottenham,Off Target,20,Right Foot,0,0,0,0,0,2019-08-10,Tottenham,Aston Villa
Harry Kane,90.0,Tottenham,Goal,18,Right Foot,0,Moussa Sissoko,Pass (Live),0,0,2019-08-10,Tottenham,Aston Villa
John McGinn,90.2,Aston Villa,Off Target,18,Left Foot,0,0,0,0,0,2019-08-10,Tottenham,Aston Villa
Georges-Kévin N'Koudou,90.3,Tottenham,Blocked,21,Right Foot,0,Harry Kane,Pass (Live),Lucas Moura,Pass (Live),2019-08-10,Tottenham,Aston Villa
Joelinton,17.0,Newcastle Utd,Off Target,8,Head,0,Matt Ritchie,Pass (Live),Miguel Almirón,Pass (Live),2019-08-11,Newcastle Utd,Arsenal
Jonjo Shelvey,20.0,Newcastle Utd,Woodwork,22,Right Foot,Half volley,Matt Ritchie,Pass (Dead),0,0,2019-08-11,Newcastle Utd,Arsenal
Jonjo Shelvey,22.0,Newcastle Utd,Blocked,22,Right Foot,Half volley,0,0,0,0,2019-08-11,Newcastle Utd,Arsenal
Henrikh Mkhitaryan,23.0,Arsenal,Off Target,15,Left Foot,0,Nacho Monreal,Pass (Live),Granit Xhaka,Pass (Live),2019-08-11,Newcastle Utd,Arsenal
Joelinton,26.0,Newcastle Utd,Saved,15,Left Foot,0,Joelinton,Dribble,Isaac Hayden,Pass (Live),2019-08-11,Newcastle Utd,Arsenal
Granit Xhaka,30.0,Arsenal,Off Target,21,Head,0,Reiss Nelson,Pass (Dead),Joe Willock,Fouled,2019-08-11,Newcastle Utd,Arsenal
Pierre-Emerick Aubameyang,31.0,Arsenal,Saved,14,Left Foot,Half volley,Henrikh Mkhitaryan,Pass (Live),Reiss Nelson,Pass (Live),2019-08-11,Newcastle Utd,Arsenal
Miguel Almirón,39.0,Newcastle Utd,Off Target,29,Left Foot,0,Javier Manquillo,Pass (Live),Fabian Schär,Pass (Live),2019-08-11,Newcastle Utd,Arsenal
Pierre-Emerick Aubameyang,52.0,Arsenal,Blocked,11,Left Foot,0,Granit Xhaka,Pass (Live),Reiss Nelson,Pass (Live),2019-08-11,Newcastle Utd,Arsenal
Granit Xhaka,52.0,Arsenal,Off Target,9,Head,0,Reiss Nelson,Pass (Dead),Pierre-Emerick Aubameyang,Shot,2019-08-11,Newcastle Utd,Arsenal
Pierre-Emerick Aubameyang,55.0,Arsenal,Blocked,18,Right Foot,0,Mattéo Guendouzi,Pass (Live),Henrikh Mkhitaryan,Pass (Live),2019-08-11,Newcastle Utd,Arsenal
Pierre-Emerick Aubameyang,58.0,Arsenal,Goal,10,Right Foot,Lob,Ainsley Maitland-Niles,Pass (Live),Ainsley Maitland-Niles,Interception,2019-08-11,Newcastle Utd,Arsenal
Miguel Almirón,68.0,Newcastle Utd,Blocked,13,Left Foot,0,Matt Ritchie,Pass (Dead),0,0,2019-08-11,Newcastle Utd,Arsenal
Allan Saint-Maximin,84.0,Newcastle Utd,Saved,22,Right Foot,0,Jetro Willems,Pass (Live),Joelinton,Pass (Live),2019-08-11,Newcastle Utd,Arsenal
Fabian Schär,86.0,Newcastle Utd,Off Target,38,Right Foot,0,Matt Ritchie,Pass (Live),Isaac Hayden,Pass (Live),2019-08-11,Newcastle Utd,Arsenal
Joelinton,89.0,Newcastle Utd,Off Target,23,Left Foot,0,Miguel Almirón,Pass (Live),0,0,2019-08-11,Newcastle Utd,Arsenal
Joelinton,90.3,Newcastle Utd,Blocked,10,Head,0,Jamaal Lascelles,Pass (Live),Martin Dúbravka,Pass (Dead),2019-08-11,Newcastle Utd,Arsenal
Leander Dendoncker,2.0,Wolves,Off Target,19,Right Foot,0,Diogo Jota,Pass (Live),Jonny Castro,Tackle,2019-08-11,Leicester City,Wolves
