Player,Nation,Age,Min,SoTA,GA,Shot Stopping Saves,Shot Stopping Save%,Shot Stopping PSxG,Launched Cmp,Launched Att,Launched Cmp%,Passes Att,Passes Thr,Passes Launch%,Passes AvgLen,Goal Kicks Att,Goal Kicks Launch%,Goal Kicks AvgLen,Crosses Opp,Crosses Stp,Crosses Stp%,Sweeper #OPA,Sweeper AvgDist,home,date,squad_h,squad_a
Łukasz Fabiański,pl POL,32-228,90.0,3,2,1,33.3,1.3,7,18,38.9,26,7,53.8,42.0,6,66.7,49.7,8,2,25.0,0,16.7,0.0,2017-12-02,Stoke City,Swansea City
Petr Čech,cz CZE,35-196,90.0,4,3,0,25.0,3.0,5,7,71.4,20,5,25.0,30.8,3,66.7,46.7,0,0,,1,16.5,1.0,2017-12-02,Arsenal,Manchester Utd
David de Gea,es ESP,27-025,90.0,14,1,12,92.9,3.7,8,27,29.6,18,2,94.4,64.7,10,100.0,70.1,13,0,0.0,0,7.2,0.0,2017-12-02,Arsenal,Manchester Utd
Asmir Begović,ba BIH,30-166,90.0,3,1,2,66.7,0.3,4,20,20.0,21,9,38.1,38.4,12,100.0,65.6,12,2,16.7,0,14.0,1.0,2017-12-03,Bournemouth,Southampton
Fraser Forster,eng ENG,29-261,90.0,5,1,4,80.0,2.1,10,18,55.6,17,5,58.8,47.3,8,100.0,65.4,9,0,0.0,0,11.0,0.0,2017-12-03,Bournemouth,Southampton
Ederson,br BRA,24-108,90.0,4,1,3,75.0,0.6,5,7,71.4,22,4,22.7,29.2,6,33.3,41.8,7,0,0.0,2,21.3,1.0,2017-12-03,Manchester City,West Ham
Adrián,es ESP,30-334,90.0,8,2,6,75.0,3.3,12,31,38.7,18,1,94.4,55.8,15,93.3,61.8,13,1,7.7,1,12.8,0.0,2017-12-03,Manchester City,West Ham
Adrián,es ESP,30-340,90.0,2,0,2,100.0,0.4,7,28,25.0,20,3,85.0,55.9,11,100.0,65.3,14,2,14.3,0,9.1,1.0,2017-12-09,West Ham,Chelsea
Thibaut Courtois,be BEL,25-212,90.0,2,1,1,50.0,0.8,8,9,88.9,28,8,28.6,31.2,5,20.0,30.6,7,0,0.0,1,14.0,0.0,2017-12-09,West Ham,Chelsea
Nick Pope,eng ENG,25-234,90.0,2,0,2,100.0,0.1,17,30,56.7,25,2,80.0,55.5,10,100.0,78.6,9,0,0.0,0,12.8,1.0,2017-12-09,Burnley,Watford
Heurelho Gomes,br BRA,36-297,90.0,5,1,4,80.0,1.2,9,31,29.0,34,4,76.5,51.0,5,100.0,70.2,13,2,15.4,1,15.9,0.0,2017-12-09,Burnley,Watford
