Player,Nation,Age,Min,SoTA,GA,Shot Stopping Saves,Shot Stopping Save%,Shot Stopping PSxG,Launched Cmp,Launched Att,Launched Cmp%,Passes Att,Passes Thr,Passes Launch%,Passes AvgLen,Goal Kicks Att,Goal Kicks Launch%,Goal Kicks AvgLen,Crosses Opp,Crosses Stp,Crosses Stp%,Sweeper #OPA,Sweeper AvgDist,home,date,squad_h,squad_a
Vicente Guaita,es ESP,32-247,90.0,5,4,2,20.0,1.6,7,24,29.2,30,6,50.0,37.2,11,81.8,56.5,13,2,15.4,0,9.7,0.0,2019-09-14,Tottenham,Crystal Palace
Rui Patrício,pt POR,31-211,90.0,6,5,1,16.7,3.2,5,12,41.7,11,3,36.4,36.2,10,80.0,52.8,7,0,0.0,1,32.0,1.0,2019-09-14,Wolves,Chelsea
Kepa Arrizabalaga,es ESP,24-346,90.0,4,2,3,50.0,1.0,9,16,56.3,37,7,32.4,35.7,7,57.1,45.0,12,0,0.0,0,14.3,0.0,2019-09-14,Wolves,Chelsea
Dean Henderson,eng ENG,22-186,90.0,7,1,6,85.7,2.1,4,21,19.0,22,7,68.2,52.9,6,100.0,74.8,3,1,33.3,0,11.5,1.0,2019-09-14,Sheffield Utd,Southampton
Angus Gunn,eng ENG,23-235,90.0,4,0,4,100.0,0.5,5,18,27.8,21,3,47.6,41.0,10,80.0,64.7,12,0,0.0,0,12.7,0.0,2019-09-14,Sheffield Utd,Southampton
Mathew Ryan,au AUS,27-159,90.0,1,1,0,0.0,0.3,5,16,31.3,25,1,52.0,42.6,8,37.5,35.9,8,0,0.0,0,5.3,1.0,2019-09-14,Brighton,Burnley
Nick Pope,eng ENG,27-148,90.0,5,1,4,80.0,1.0,6,29,20.7,26,3,76.9,54.7,12,75.0,56.3,15,1,6.7,4,22.3,0.0,2019-09-14,Brighton,Burnley
Tim Krul,nl NED,31-164,90.0,8,2,6,75.0,1.9,2,25,8.0,30,5,56.7,48.6,12,66.7,53.2,14,1,7.1,0,10.4,1.0,2019-09-14,Norwich City,Manchester City
Ederson,br BRA,26-028,90.0,3,3,0,0.0,2.2,4,5,80.0,19,3,21.1,29.3,2,50.0,42.5,1,1,100.0,3,45.5,0.0,2019-09-14,Norwich City,Manchester City
Aaron Ramsdale,eng ENG,21-124,90.0,5,1,4,80.0,1.6,7,19,36.8,24,6,50.0,40.8,13,53.8,49.5,13,2,15.4,1,17.4,1.0,2019-09-15,Bournemouth,Everton
Jordan Pickford,eng ENG,25-192,90.0,5,3,2,40.0,2.0,12,26,46.2,35,4,71.4,48.3,3,33.3,35.3,6,0,0.0,2,16.8,0.0,2019-09-15,Bournemouth,Everton
Ben Foster,eng ENG,36-165,90.0,4,2,2,50.0,1.7,7,11,63.6,8,5,62.5,43.6,6,100.0,72.0,2,0,0.0,1,16.5,1.0,2019-09-15,Watford,Arsenal
Bernd Leno,de GER,27-195,90.0,9,2,8,88.9,2.1,1,8,12.5,16,8,18.8,31.4,16,31.3,28.0,13,0,0.0,0,4.0,0.0,2019-09-15,Watford,Arsenal
Tom Heaton,eng ENG,33-154,90.0,1,0,1,100.0,0.0,2,10,20.0,17,4,41.2,38.7,8,37.5,39.9,9,0,0.0,0,6.3,1.0,2019-09-16,Aston Villa,West Ham
Łukasz Fabiański,pl POL,34-151,90.0,4,0,4,100.0,0.3,13,25,52.0,24,4,70.8,48.2,8,100.0,69.4,12,0,0.0,0,8.0,0.0,2019-09-16,Aston Villa,West Ham
Angus Gunn,eng ENG,23-241,90.0,3,3,0,0.0,2.5,1,10,10.0,14,2,35.7,33.9,6,83.3,58.0,1,0,0.0,2,14.3,1.0,2019-09-20,Southampton,Bournemouth
Aaron Ramsdale,eng ENG,21-129,90.0,6,1,6,100.0,2.0,6,22,27.3,19,6,52.6,45.4,15,80.0,60.4,14,0,0.0,1,12.3,0.0,2019-09-20,Southampton,Bournemouth
Kasper Schmeichel,dk DEN,32-320,90.0,5,1,4,80.0,1.0,12,20,60.0,28,9,57.1,43.5,9,44.4,41.8,15,0,0.0,0,10.1,1.0,2019-09-21,Leicester City,Tottenham
Paulo Gazzaniga,ar ARG,27-262,90.0,7,2,5,71.4,2.1,1,7,14.3,15,3,33.3,35.3,11,18.2,27.5,5,0,0.0,1,13.3,0.0,2019-09-21,Leicester City,Tottenham
Jordan Pickford,eng ENG,25-198,90.0,1,2,0,-100.0,0.1,6,12,50.0,23,3,34.8,40.1,5,80.0,50.6,6,0,0.0,0,12.3,1.0,2019-09-21,Everton,Sheffield Utd
Dean Henderson,eng ENG,22-193,90.0,3,0,3,100.0,0.4,8,27,29.6,16,4,81.3,62.1,14,100.0,83.1,19,0,0.0,0,8.5,0.0,2019-09-21,Everton,Sheffield Utd
Nick Pope,eng ENG,27-155,90.0,2,0,2,100.0,0.5,5,14,35.7,11,3,63.6,54.8,7,100.0,86.7,6,1,16.7,2,19.7,1.0,2019-09-21,Burnley,Norwich City
Tim Krul,nl NED,31-171,90.0,6,2,4,66.7,2.9,6,22,27.3,35,6,51.4,43.3,8,50.0,37.9,13,3,23.1,0,11.7,0.0,2019-09-21,Burnley,Norwich City
Ederson,br BRA,26-035,90.0,4,0,4,100.0,0.5,2,3,66.7,28,6,7.1,24.5,1,100.0,76.0,2,0,0.0,1,15.5,1.0,2019-09-21,Manchester City,Watford
Ben Foster,eng ENG,36-171,90.0,11,8,4,36.4,6.3,3,28,10.7,28,5,67.9,49.4,9,100.0,72.8,14,0,0.0,0,9.0,0.0,2019-09-21,Manchester City,Watford
Martin Dúbravka,sk SVK,30-249,90.0,2,0,2,100.0,0.6,5,20,25.0,19,3,63.2,52.9,10,80.0,59.3,13,1,7.7,0,7.3,1.0,2019-09-21,Newcastle Utd,Brighton
Mathew Ryan,au AUS,27-166,90.0,4,0,4,100.0,1.2,7,11,63.6,43,13,23.3,27.4,8,12.5,22.1,7,0,0.0,1,17.9,0.0,2019-09-21,Newcastle Utd,Brighton
Łukasz Fabiański,pl POL,34-157,90.0,4,0,4,100.0,0.5,5,23,21.7,21,1,81.0,54.6,6,100.0,72.7,7,0,0.0,0,11.4,1.0,2019-09-22,West Ham,Manchester Utd
David de Gea,es ESP,28-319,90.0,6,2,4,66.7,1.6,3,3,100.0,13,5,23.1,28.1,10,0.0,16.7,8,0,0.0,0,16.3,0.0,2019-09-22,West Ham,Manchester Utd
Vicente Guaita,es ESP,32-255,90.0,4,1,3,75.0,1.3,4,18,22.2,19,2,63.2,48.0,6,100.0,77.8,12,1,8.3,0,2.5,1.0,2019-09-22,Crystal Palace,Wolves
Rui Patrício,pt POR,31-219,90.0,4,1,4,75.0,0.5,2,10,20.0,19,5,26.3,30.3,9,55.6,51.2,2,0,0.0,0,9.6,0.0,2019-09-22,Crystal Palace,Wolves
Bernd Leno,de GER,27-202,90.0,9,2,7,77.8,1.9,2,9,22.2,25,10,36.0,33.9,8,0.0,14.4,18,1,5.6,1,36.0,1.0,2019-09-22,Arsenal,Aston Villa
Tom Heaton,eng ENG,33-160,90.0,4,3,2,50.0,2.2,6,18,33.3,16,7,62.5,44.9,12,66.7,51.9,11,1,9.1,0,10.5,0.0,2019-09-22,Arsenal,Aston Villa
Kepa Arrizabalaga,es ESP,24-354,90.0,3,2,1,33.3,1.7,8,20,40.0,31,5,51.6,38.0,5,80.0,50.4,11,1,9.1,0,14.4,1.0,2019-09-22,Chelsea,Liverpool
Adrián,es ESP,32-262,90.0,2,1,1,50.0,0.9,5,21,23.8,25,4,52.0,45.3,11,72.7,46.9,21,0,0.0,0,11.1,0.0,2019-09-22,Chelsea,Liverpool
Dean Henderson,eng ENG,22-200,90.0,4,1,3,75.0,1.3,6,29,20.7,20,2,85.0,58.9,12,100.0,78.2,6,0,0.0,0,11.1,1.0,2019-09-28,Sheffield Utd,Liverpool
Adrián,es ESP,32-268,90.0,2,0,2,100.0,0.1,8,15,53.3,27,6,48.1,41.9,9,22.2,29.6,8,0,0.0,2,12.5,0.0,2019-09-28,Sheffield Utd,Liverpool
Vicente Guaita,es ESP,32-261,90.0,3,0,3,100.0,0.5,6,21,28.6,17,2,82.4,63.2,7,100.0,69.7,2,0,0.0,2,17.5,1.0,2019-09-28,Crystal Palace,Norwich City
Ralf Fährmann,de GER,31-001,21.0,1,1,1,100.0,1.1,1,3,33.3,7,2,42.9,29.9,3,0.0,15.3,4,0,0.0,0,7.0,0.0,2019-09-28,Crystal Palace,Norwich City
Michael McGovern,nir NIR,35-078,69.0,1,1,0,0.0,0.7,3,15,20.0,20,3,60.0,42.7,5,60.0,43.2,8,0,0.0,1,20.0,0.0,2019-09-28,Crystal Palace,Norwich City
Tom Heaton,eng ENG,33-166,90.0,3,2,1,33.3,1.2,3,15,20.0,14,3,42.9,37.1,9,100.0,71.6,4,0,0.0,2,23.8,1.0,2019-09-28,Aston Villa,Burnley
Nick Pope,eng ENG,27-162,90.0,3,2,1,33.3,1.0,12,31,38.7,22,2,86.4,60.3,13,92.3,75.1,17,1,5.9,0,11.0,0.0,2019-09-28,Aston Villa,Burnley
Rui Patrício,pt POR,31-225,90.0,5,0,5,100.0,0.8,3,13,23.1,8,4,37.5,40.5,12,83.3,54.1,13,0,0.0,0,17.5,1.0,2019-09-28,Wolves,Watford
Ben Foster,eng ENG,36-178,90.0,2,2,1,0.0,1.0,4,16,25.0,22,3,45.5,38.0,6,100.0,71.0,8,0,0.0,2,13.4,0.0,2019-09-28,Wolves,Watford
Hugo Lloris,fr FRA,32-276,90.0,6,1,5,83.3,2.7,8,18,44.4,27,7,48.1,39.9,8,62.5,48.6,13,2,15.4,2,13.1,1.0,2019-09-28,Tottenham,Southampton
Angus Gunn,eng ENG,23-249,90.0,4,2,2,50.0,1.4,4,7,57.1,9,1,55.6,43.2,6,33.3,34.5,4,0,0.0,1,40.0,0.0,2019-09-28,Tottenham,Southampton
Kepa Arrizabalaga,es ESP,24-360,90.0,1,0,1,100.0,0.0,1,11,9.1,33,2,15.2,29.0,9,66.7,48.8,10,1,10.0,0,13.8,1.0,2019-09-28,Chelsea,Brighton
Mathew Ryan,au AUS,27-173,90.0,9,2,8,88.9,3.3,4,10,40.0,39,10,25.6,28.7,5,0.0,11.4,9,1,11.1,0,10.7,0.0,2019-09-28,Chelsea,Brighton
Aaron Ramsdale,eng ENG,21-137,90.0,6,2,4,66.7,1.4,0,11,0.0,25,7,36.0,35.0,4,50.0,41.8,8,0,0.0,0,9.9,1.0,2019-09-28,Bournemouth,West Ham
Łukasz Fabiański,pl POL,34-163,33.0,1,1,0,0.0,0.5,3,9,33.3,9,1,77.8,55.3,2,100.0,74.5,5,0,0.0,0,12.5,0.0,2019-09-28,Bournemouth,West Ham
Roberto,es ESP,33-230,57.0,4,1,3,75.0,1.8,1,19,5.3,18,1,88.9,59.3,3,100.0,68.7,2,0,0.0,0,11.3,0.0,2019-09-28,Bournemouth,West Ham
Jordan Pickford,eng ENG,25-205,90.0,10,3,7,70.0,3.1,8,20,40.0,28,2,57.1,47.1,11,36.4,43.6,11,1,9.1,2,16.9,1.0,2019-09-28,Everton,Manchester City
Ederson,br BRA,26-042,90.0,6,1,5,83.3,1.9,3,9,33.3,27,9,29.6,38.5,5,20.0,26.0,8,0,0.0,0,13.8,0.0,2019-09-28,Everton,Manchester City
Kasper Schmeichel,dk DEN,32-328,90.0,0,0,0,,0.0,1,3,33.3,16,3,18.8,27.1,6,0.0,19.0,6,0,0.0,0,14.4,1.0,2019-09-29,Leicester City,Newcastle Utd
Martin Dúbravka,sk SVK,30-257,90.0,5,5,1,0.0,2.7,9,15,60.0,16,4,50.0,45.1,8,87.5,57.8,15,0,0.0,0,11.3,0.0,2019-09-29,Leicester City,Newcastle Utd
David de Gea,es ESP,28-327,90.0,5,1,4,80.0,2.3,4,9,44.4,20,7,30.0,35.4,8,37.5,36.8,10,1,10.0,0,6.7,1.0,2019-09-30,Manchester Utd,Arsenal
Bernd Leno,de GER,27-210,90.0,4,1,3,75.0,1.5,9,23,39.1,24,2,54.2,48.7,11,90.9,62.7,7,0,0.0,0,6.0,0.0,2019-09-30,Manchester Utd,Arsenal
Mathew Ryan,au AUS,27-180,90.0,3,0,3,100.0,0.4,10,19,52.6,39,8,38.5,37.2,4,100.0,56.5,4,0,0.0,1,16.4,1.0,2019-10-05,Brighton,Tottenham
Hugo Lloris,fr FRA,32-283,7.0,1,1,0,0.0,0.9,0,0,,0,0,,,0,,,1,0,0.0,0,2.0,0.0,2019-10-05,Brighton,Tottenham
Paulo Gazzaniga,ar ARG,27-276,83.0,5,2,3,60.0,1.3,2,6,33.3,28,7,17.9,25.7,7,14.3,23.0,16,0,0.0,1,11.8,0.0,2019-10-05,Brighton,Tottenham
Michael McGovern,nir NIR,35-085,90.0,10,5,5,50.0,4.2,6,14,42.9,17,7,47.1,33.4,9,66.7,47.2,8,0,0.0,0,11.6,1.0,2019-10-05,Norwich City,Aston Villa
Tom Heaton,eng ENG,33-173,90.0,4,1,3,75.0,1.3,9,26,34.6,22,5,77.3,53.4,10,90.0,62.6,8,0,0.0,0,12.8,0.0,2019-10-05,Norwich City,Aston Villa
Nick Pope,eng ENG,27-169,90.0,2,0,2,100.0,0.4,4,18,22.2,19,5,68.4,52.2,6,83.3,67.5,9,0,0.0,1,24.5,1.0,2019-10-05,Burnley,Everton
Jordan Pickford,eng ENG,25-212,90.0,3,1,2,66.7,0.7,8,24,33.3,31,7,51.6,45.0,8,100.0,78.5,7,1,14.3,1,11.9,0.0,2019-10-05,Burnley,Everton
Adrián,es ESP,32-275,90.0,1,1,0,0.0,0.1,9,17,52.9,27,6,59.3,42.5,1,100.0,42.0,9,1,11.1,0,10.0,1.0,2019-10-05,Liverpool,Leicester City
Kasper Schmeichel,dk DEN,32-334,90.0,7,2,6,85.7,2.7,13,24,54.2,31,7,54.8,40.3,9,77.8,63.6,10,0,0.0,2,16.2,0.0,2019-10-05,Liverpool,Leicester City
Ben Foster,eng ENG,36-185,90.0,2,0,2,100.0,0.1,9,25,36.0,24,3,83.3,56.3,7,71.4,56.0,16,2,12.5,3,21.3,1.0,2019-10-05,Watford,Sheffield Utd
Dean Henderson,eng ENG,22-207,90.0,2,0,2,100.0,0.5,6,21,28.6,21,3,71.4,52.7,6,100.0,71.3,10,1,10.0,1,14.8,0.0,2019-10-05,Watford,Sheffield Utd
Roberto,es ESP,33-237,90.0,2,2,1,50.0,1.6,11,20,55.0,20,1,70.0,47.7,6,100.0,68.3,8,0,0.0,1,13.3,1.0,2019-10-05,West Ham,Crystal Palace
Vicente Guaita,es ESP,32-268,90.0,4,1,3,75.0,1.7,7,24,29.2,28,1,75.0,50.2,3,100.0,67.3,10,0,0.0,0,18.0,0.0,2019-10-05,West Ham,Crystal Palace
Bernd Leno,de GER,27-216,90.0,2,0,2,100.0,0.5,4,23,17.4,24,2,50.0,44.0,11,100.0,73.0,8,1,12.5,0,16.3,1.0,2019-10-06,Arsenal,Bournemouth
Aaron Ramsdale,eng ENG,21-145,90.0,2,1,1,50.0,1.0,3,10,30.0,18,5,33.3,35.3,10,40.0,39.0,8,1,12.5,1,13.6,0.0,2019-10-06,Arsenal,Bournemouth
Ederson,br BRA,26-050,90.0,2,2,0,0.0,1.2,7,7,100.0,19,2,31.6,41.0,2,50.0,49.0,4,0,0.0,0,13.5,1.0,2019-10-06,Manchester City,Wolves
Rui Patrício,pt POR,31-233,90.0,2,0,2,100.0,0.2,10,23,43.5,17,1,82.4,54.4,11,81.8,52.6,17,0,0.0,0,6.4,0.0,2019-10-06,Manchester City,Wolves
Angus Gunn,eng ENG,23-257,90.0,7,4,3,42.9,2.4,5,26,19.2,27,2,77.8,51.9,5,100.0,64.2,6,0,0.0,0,16.2,1.0,2019-10-06,Southampton,Chelsea
Kepa Arrizabalaga,es ESP,25-003,90.0,2,1,1,50.0,0.7,6,17,35.3,30,3,40.0,37.9,7,71.4,54.4,3,0,0.0,0,13.3,0.0,2019-10-06,Southampton,Chelsea
Martin Dúbravka,sk SVK,30-264,90.0,2,0,2,100.0,0.4,9,21,42.9,16,4,68.8,46.2,10,100.0,71.7,12,3,25.0,1,36.0,1.0,2019-10-06,Newcastle Utd,Manchester Utd
David de Gea,es ESP,28-333,90.0,1,1,0,0.0,0.7,3,4,75.0,16,5,12.5,25.9,8,25.0,34.0,5,0,0.0,1,18.5,0.0,2019-10-06,Newcastle Utd,Manchester Utd
Jordan Pickford,eng ENG,25-226,90.0,4,0,4,100.0,1.2,11,21,52.4,24,3,75.0,55.9,7,42.9,40.3,4,0,0.0,1,23.0,1.0,2019-10-19,Everton,West Ham
Roberto,es ESP,33-251,90.0,10,2,8,80.0,2.9,10,28,35.7,31,7,71.0,52.2,6,100.0,68.2,10,0,0.0,0,8.9,0.0,2019-10-19,Everton,West Ham
Aaron Ramsdale,eng ENG,21-158,90.0,1,0,1,100.0,0.2,7,13,53.8,22,3,40.9,38.4,6,66.7,50.5,5,0,0.0,1,19.7,1.0,2019-10-19,Bournemouth,Norwich City
Tim Krul,nl NED,31-199,90.0,2,0,2,100.0,0.3,14,30,46.7,38,2,52.6,43.2,11,90.9,62.5,15,1,6.7,0,7.3,0.0,2019-10-19,Bournemouth,Norwich City
Tom Heaton,eng ENG,33-187,90.0,6,1,5,83.3,1.6,2,10,20.0,16,6,37.5,35.1,9,44.4,48.4,9,1,11.1,0,12.4,1.0,2019-10-19,Aston Villa,Brighton
Mathew Ryan,au AUS,27-194,90.0,8,2,6,75.0,2.0,8,12,66.7,27,8,33.3,31.6,12,25.0,26.1,17,1,5.9,0,10.5,0.0,2019-10-19,Aston Villa,Brighton
Kepa Arrizabalaga,es ESP,25-016,90.0,0,0,0,,0.0,3,4,75.0,17,6,5.9,26.9,5,60.0,49.2,10,2,20.0,0,12.0,1.0,2019-10-19,Chelsea,Newcastle Utd
Martin Dúbravka,sk SVK,30-277,90.0,7,1,6,85.7,1.0,10,22,45.5,17,3,64.7,49.4,11,100.0,69.7,9,1,11.1,1,18.8,0.0,2019-10-19,Chelsea,Newcastle Utd
Rui Patrício,pt POR,31-246,90.0,5,1,4,80.0,1.3,5,9,55.6,15,4,33.3,32.5,9,44.4,42.3,6,0,0.0,1,21.0,1.0,2019-10-19,Wolves,Southampton
Angus Gunn,eng ENG,23-270,90.0,0,1,0,,0.9,4,21,19.0,20,3,75.0,54.1,7,85.7,60.0,8,2,25.0,1,15.0,0.0,2019-10-19,Wolves,Southampton
Paulo Gazzaniga,ar ARG,27-290,90.0,2,1,1,50.0,0.8,4,6,66.7,16,1,18.8,27.1,4,75.0,60.8,2,0,0.0,3,28.7,1.0,2019-10-19,Tottenham,Watford
Ben Foster,eng ENG,36-199,90.0,3,1,1,66.7,1.0,6,37,16.2,31,2,93.5,61.3,8,100.0,72.5,20,1,5.0,1,14.9,0.0,2019-10-19,Tottenham,Watford
Kasper Schmeichel,dk DEN,32-348,90.0,4,1,3,75.0,1.8,6,12,50.0,28,6,32.1,37.1,6,50.0,48.0,6,0,0.0,1,18.6,1.0,2019-10-19,Leicester City,Burnley
Nick Pope,eng ENG,27-183,90.0,3,2,1,33.3,1.8,8,13,61.5,6,1,50.0,46.0,10,100.0,76.3,7,0,0.0,0,2.0,0.0,2019-10-19,Leicester City,Burnley
Wayne Hennessey,wls WAL,32-268,90.0,9,2,7,77.8,2.5,9,27,33.3,20,3,80.0,58.7,11,100.0,79.0,10,3,30.0,0,11.5,1.0,2019-10-19,Crystal Palace,Manchester City
Ederson,br BRA,26-063,90.0,2,0,1,100.0,0.1,6,9,66.7,20,1,30.0,31.5,5,60.0,41.4,6,1,16.7,0,16.0,0.0,2019-10-19,Crystal Palace,Manchester City
David de Gea,es ESP,28-347,90.0,4,1,3,75.0,1.4,4,20,20.0,22,7,59.1,44.9,8,87.5,63.8,13,0,0.0,0,12.0,1.0,2019-10-20,Manchester Utd,Liverpool
Alisson,br BRA,27-018,90.0,2,1,1,50.0,0.7,6,8,75.0,33,5,18.2,31.6,4,50.0,40.3,9,0,0.0,0,10.0,0.0,2019-10-20,Manchester Utd,Liverpool
Dean Henderson,eng ENG,22-223,90.0,3,0,3,100.0,0.6,10,21,47.6,18,0,94.4,65.6,4,100.0,84.0,12,2,16.7,0,11.0,1.0,2019-10-21,Sheffield Utd,Arsenal
Bernd Leno,de GER,27-231,90.0,2,1,1,50.0,0.7,3,9,33.3,32,4,21.9,28.7,7,28.6,30.9,11,1,9.1,0,14.8,0.0,2019-10-21,Sheffield Utd,Arsenal
Angus Gunn,eng ENG,23-276,90.0,15,9,7,46.7,5.6,4,21,19.0,15,0,100.0,71.2,6,100.0,66.3,11,3,27.3,0,7.5,1.0,2019-10-25,Southampton,Leicester City
Kasper Schmeichel,dk DEN,32-354,90.0,3,0,3,100.0,0.3,4,5,80.0,15,6,26.7,31.3,7,14.3,23.0,4,1,25.0,0,21.5,0.0,2019-10-25,Southampton,Leicester City
Ederson,br BRA,26-070,90.0,5,0,4,100.0,0.5,6,9,66.7,23,5,30.4,30.1,4,50.0,46.8,9,0,0.0,0,14.5,1.0,2019-10-26,Manchester City,Aston Villa
Tom Heaton,eng ENG,33-194,90.0,10,3,7,70.0,1.8,10,18,55.6,27,6,37.0,37.2,12,66.7,51.4,8,1,12.5,1,13.2,0.0,2019-10-26,Manchester City,Aston Villa
Roberto,es ESP,33-258,90.0,4,1,3,75.0,1.5,3,21,14.3,25,1,72.0,50.8,3,100.0,71.0,8,2,25.0,1,10.8,1.0,2019-10-26,West Ham,Sheffield Utd
Dean Henderson,eng ENG,22-228,90.0,4,1,3,75.0,1.1,5,23,21.7,20,2,85.0,61.5,7,85.7,69.6,14,1,7.1,0,12.0,0.0,2019-10-26,West Ham,Sheffield Utd
Mathew Ryan,au AUS,27-201,90.0,6,2,5,66.7,0.9,3,6,50.0,44,12,13.6,23.7,7,0.0,16.3,5,0,0.0,0,13.0,1.0,2019-10-26,Brighton,Everton
Jordan Pickford,eng ENG,25-233,90.0,3,3,2,33.3,1.5,5,19,26.3,34,6,50.0,47.7,5,40.0,39.2,8,2,25.0,0,11.0,0.0,2019-10-26,Brighton,Everton
Ben Foster,eng ENG,36-206,90.0,5,0,5,100.0,1.2,7,26,26.9,28,4,78.6,55.4,4,100.0,69.3,9,2,22.2,0,16.4,1.0,2019-10-26,Watford,Bournemouth
Aaron Ramsdale,eng ENG,21-165,90.0,3,0,3,100.0,0.3,4,12,33.3,31,11,29.0,32.2,7,42.9,47.0,10,2,20.0,0,17.4,0.0,2019-10-26,Watford,Bournemouth
Nick Pope,eng ENG,27-190,90.0,7,4,3,42.9,2.3,6,19,31.6,23,4,69.6,48.7,3,100.0,79.3,6,0,0.0,0,10.0,1.0,2019-10-26,Burnley,Chelsea
Kepa Arrizabalaga,es ESP,25-023,90.0,5,2,3,60.0,1.0,7,17,41.2,25,4,36.0,33.2,11,72.7,50.9,10,0,0.0,0,10.8,0.0,2019-10-26,Burnley,Chelsea
Martin Dúbravka,sk SVK,30-285,90.0,5,1,4,80.0,1.2,9,18,50.0,24,1,45.8,42.1,8,87.5,61.6,12,0,0.0,0,7.8,1.0,2019-10-27,Newcastle Utd,Wolves
Rui Patrício,pt POR,31-254,90.0,2,1,1,50.0,0.5,4,9,44.4,9,5,33.3,38.0,8,75.0,51.8,11,1,9.1,0,8.0,0.0,2019-10-27,Newcastle Utd,Wolves
Bernd Leno,de GER,27-237,90.0,3,2,2,66.7,1.8,1,5,20.0,16,5,31.3,33.8,4,0.0,19.3,9,0,0.0,1,17.0,1.0,2019-10-27,Arsenal,Crystal Palace
Wayne Hennessey,wls WAL,32-276,90.0,6,2,4,66.7,2.8,13,29,44.8,23,1,82.6,51.8,12,83.3,61.0,12,0,0.0,0,18.0,0.0,2019-10-27,Arsenal,Crystal Palace
Tim Krul,nl NED,31-207,90.0,9,3,6,66.7,5.0,4,12,33.3,21,4,47.6,37.1,8,25.0,29.4,8,1,12.5,1,16.0,1.0,2019-10-27,Norwich City,Manchester Utd
David de Gea,es ESP,28-354,90.0,3,1,2,66.7,0.8,5,12,41.7,13,1,53.8,44.2,5,100.0,66.8,4,0,0.0,0,11.0,0.0,2019-10-27,Norwich City,Manchester Utd
Alisson,br BRA,27-025,90.0,4,1,3,75.0,1.2,6,14,42.9,28,3,39.3,38.5,9,33.3,33.3,6,0,0.0,1,16.2,1.0,2019-10-27,Liverpool,Tottenham
Paulo Gazzaniga,ar ARG,27-298,90.0,12,2,11,91.7,3.6,5,22,22.7,25,5,56.0,46.8,8,100.0,79.9,21,2,9.5,0,8.0,0.0,2019-10-27,Liverpool,Tottenham
Aaron Ramsdale,eng ENG,21-172,90.0,4,0,4,100.0,0.1,6,25,24.0,26,3,65.4,52.1,8,100.0,75.9,8,0,0.0,2,20.0,1.0,2019-11-02,Bournemouth,Manchester Utd
David de Gea,es ESP,28-360,90.0,6,1,5,83.3,1.4,2,17,11.8,19,1,73.7,57.8,7,42.9,37.7,5,0,0.0,0,17.0,0.0,2019-11-02,Bournemouth,Manchester Utd
Dean Henderson,eng ENG,22-235,90.0,1,0,1,100.0,0.3,4,35,11.4,31,2,90.3,65.4,7,100.0,81.6,5,0,0.0,0,18.1,1.0,2019-11-02,Sheffield Utd,Burnley
Nick Pope,eng ENG,27-197,90.0,5,3,2,40.0,2.4,9,29,31.0,31,7,64.5,55.5,10,90.0,69.1,10,1,10.0,1,18.7,0.0,2019-11-02,Sheffield Utd,Burnley
Mathew Ryan,au AUS,27-208,90.0,0,0,0,,0.0,4,8,50.0,32,5,21.9,30.7,4,25.0,27.8,0,0,,1,15.4,1.0,2019-11-02,Brighton,Norwich City
Tim Krul,nl NED,31-213,90.0,5,2,3,60.0,2.1,3,20,15.0,22,4,54.5,48.2,15,53.3,50.1,12,0,0.0,0,10.3,0.0,2019-11-02,Brighton,Norwich City
Ederson,br BRA,26-077,90.0,3,1,2,66.7,0.9,5,7,71.4,22,2,31.8,31.2,2,0.0,22.5,2,1,50.0,4,35.3,1.0,2019-11-02,Manchester City,Southampton
Alex McCarthy,eng ENG,29-334,90.0,4,2,2,50.0,1.5,8,30,26.7,21,1,85.7,62.4,13,92.3,64.3,30,3,10.0,0,5.4,0.0,2019-11-02,Manchester City,Southampton
Tom Heaton,eng ENG,33-201,90.0,6,2,4,66.7,1.7,12,37,32.4,24,2,83.3,60.2,18,94.4,70.3,18,1,5.6,0,9.8,1.0,2019-11-02,Aston Villa,Liverpool
Alisson,br BRA,27-031,90.0,2,1,1,50.0,0.4,2,4,50.0,12,1,25.0,25.9,4,25.0,30.3,9,0,0.0,2,27.7,0.0,2019-11-02,Aston Villa,Liverpool
Bernd Leno,de GER,27-243,90.0,8,1,7,87.5,1.1,3,10,30.0,24,6,33.3,35.3,5,40.0,37.0,9,0,0.0,0,12.3,1.0,2019-11-02,Arsenal,Wolves
Rui Patrício,pt POR,31-260,90.0,4,1,3,75.0,2.4,8,15,53.3,14,4,57.1,47.4,8,87.5,52.5,15,1,6.7,0,9.8,0.0,2019-11-02,Arsenal,Wolves
Roberto,es ESP,33-265,90.0,9,3,6,66.7,2.3,3,8,37.5,20,5,35.0,34.3,3,33.3,38.7,7,0,0.0,1,17.7,1.0,2019-11-02,West Ham,Newcastle Utd
Martin Dúbravka,sk SVK,30-291,90.0,6,2,4,66.7,2.2,9,26,34.6,17,2,88.2,58.0,11,100.0,65.5,20,0,0.0,1,12.5,0.0,2019-11-02,West Ham,Newcastle Utd
Ben Foster,eng ENG,36-213,90.0,10,2,7,80.0,3.0,6,18,33.3,20,5,60.0,47.8,6,100.0,74.3,2,0,0.0,0,14.7,1.0,2019-11-02,Watford,Chelsea
Kepa Arrizabalaga,es ESP,25-030,90.0,2,1,2,100.0,1.2,5,10,50.0,28,2,25.0,31.1,8,37.5,34.8,7,0,0.0,0,10.5,0.0,2019-11-02,Watford,Chelsea
