date,time,squad_h,squad_a,stadium,referee,attendance
2021-09-18,17:30 ,Aston Villa,Everton,Villa Park,Craig Pawson,41888
2021-09-19,14:00 ,West Ham,Manchester Utd,London Stadium,Martin Atkinson,60000
2021-09-19,14:00 ,Brighton,Leicester City,The American Express Community Stadium,Stuart Attwell,31078
2021-09-19,16:30 ,Tottenham,Chelsea,Tottenham Hotspur Stadium,Paul Tierney,60059
2021-09-25,12:30 ,Manchester Utd,Aston Villa,Old Trafford,Mike Dean,72922
2021-09-25,12:30 ,Chelsea,Manchester City,Stamford Bridge,Michael Oliver,40036
2021-09-25,15:00 ,Leeds United,West Ham,Elland Road,Kevin Friend,36417
2021-09-25,15:00 ,Leicester City,Burnley,King Power Stadium,Chris Kavanagh,31650
2021-09-25,15:00 ,Watford,Newcastle Utd,Vicarage Road Stadium,Jarred Gillett,20650
2021-09-25,15:00 ,Everton,Norwich City,Goodison Park,David Coote,38821
2021-09-25,17:30 ,Brentford,Liverpool,Brentford Community Stadium,Stuart Attwell,16876
2021-09-26,14:00 ,Southampton,Wolves,St. Mary's Stadium,Andy Madley,28002
2021-09-26,16:30 ,Arsenal,Tottenham,Emirates Stadium,Craig Pawson,59919
2021-09-27,20:00 ,Crystal Palace,Brighton,Selhurst Park,Andre Marriner,22975
2021-10-02,12:30 ,Manchester Utd,Everton,Old Trafford,Michael Oliver,73128
2021-10-02,15:00 ,Leeds United,Watford,Elland Road,Simon Hooper,36261
2021-10-02,15:00 ,Burnley,Norwich City,Turf Moor,Kevin Friend,17427
2021-10-02,15:00 ,Chelsea,Southampton,Stamford Bridge,Martin Atkinson,40109
2021-10-02,15:00 ,Wolves,Newcastle Utd,Molineux Stadium,Graham Scott,30483
2021-10-02,17:30 ,Brighton,Arsenal,The American Express Community Stadium,Jonathan Moss,31266
2021-10-03,14:00 ,West Ham,Brentford,London Stadium,Peter Bankes,49940
2021-10-03,14:00 ,Crystal Palace,Leicester City,Selhurst Park,Anthony Taylor,25000
2021-10-03,14:00 ,Tottenham,Aston Villa,Tottenham Hotspur Stadium,Chris Kavanagh,53076
2021-10-03,16:30 ,Liverpool,Manchester City,Anfield,Paul Tierney,53102
2021-10-16,12:30 ,Watford,Liverpool,Vicarage Road Stadium,Jonathan Moss,21085
2021-10-16,15:00 ,Norwich City,Brighton,Carrow Road,Peter Bankes,26777
2021-10-16,15:00 ,Leicester City,Manchester Utd,King Power Stadium,Craig Pawson,32219
2021-10-16,15:00 ,Southampton,Leeds United,St. Mary's Stadium,David Coote,30506
2021-10-16,15:00 ,Manchester City,Burnley,Etihad Stadium,Martin Atkinson,52711
2021-10-16,15:00 ,Aston Villa,Wolves,Villa Park,Michael Oliver,41951
2021-10-16,17:30 ,Brentford,Chelsea,Brentford Community Stadium,Anthony Taylor,16940
2021-10-17,14:00 ,Everton,West Ham,Goodison Park,Stuart Attwell,39132
2021-10-17,16:30 ,Newcastle Utd,Tottenham,St. James' Park,Andre Marriner,52214
2021-10-18,20:00 ,Arsenal,Crystal Palace,Emirates Stadium,Mike Dean,59475
2021-10-22,20:00 ,Arsenal,Aston Villa,Emirates Stadium,Craig Pawson,59496
2021-10-23,12:30 ,Chelsea,Norwich City,Stamford Bridge,Andy Madley,40113
2021-10-23,15:00 ,Leeds United,Wolves,Elland Road,Robert Jones,36475
2021-10-23,15:00 ,Southampton,Burnley,St. Mary's Stadium,Chris Kavanagh,29145
2021-10-23,15:00 ,Everton,Watford,Goodison Park,Graham Scott,38834
2021-10-23,15:00 ,Crystal Palace,Newcastle Utd,Selhurst Park,Darren England,24609
2021-10-23,17:30 ,Brighton,Manchester City,The American Express Community Stadium,Kevin Friend,31215
2021-10-24,14:00 ,West Ham,Tottenham,London Stadium,Paul Tierney,59924
2021-10-24,14:00 ,Brentford,Leicester City,Brentford Community Stadium,Simon Hooper,16814
2021-10-24,16:30 ,Manchester Utd,Liverpool,Old Trafford,Anthony Taylor,73088
2021-10-30,12:30 ,Leicester City,Arsenal,King Power Stadium,Michael Oliver,32209
2021-10-30,15:00 ,Manchester City,Crystal Palace,Etihad Stadium,Andre Marriner,53014
2021-10-30,15:00 ,Burnley,Brentford,Turf Moor,Jonathan Moss,18821
2021-10-30,15:00 ,Newcastle Utd,Chelsea,St. James' Park,Paul Tierney,52208
2021-10-30,15:00 ,Liverpool,Brighton,Anfield,Mike Dean,52598
2021-10-30,15:00 ,Watford,Southampton,Vicarage Road Stadium,Peter Bankes,20869
2021-10-30,17:30 ,Tottenham,Manchester Utd,Tottenham Hotspur Stadium,Stuart Attwell,60356
2021-10-31,14:00 ,Norwich City,Leeds United,Carrow Road,Anthony Taylor,26913
2021-10-31,16:30 ,Aston Villa,West Ham,Villa Park,Chris Kavanagh,41874
2021-11-01,20:00 ,Wolves,Everton,Molineux Stadium,Martin Atkinson,30617
2021-11-05,20:00 ,Southampton,Aston Villa,St. Mary's Stadium,Andy Madley,30178
2021-11-06,12:30 ,Manchester Utd,Manchester City,Old Trafford,Michael Oliver,73086
2021-11-06,15:00 ,Brentford,Norwich City,Brentford Community Stadium,Jarred Gillett,16837
2021-11-06,15:00 ,Crystal Palace,Wolves,Selhurst Park,Graham Scott,24390
2021-11-06,15:00 ,Chelsea,Burnley,Stamford Bridge,Andre Marriner,39798
2021-11-06,17:30 ,Brighton,Newcastle Utd,The American Express Community Stadium,David Coote,31267
2021-11-07,14:00 ,Leeds United,Leicester City,Elland Road,Darren England,36478
2021-11-07,14:00 ,Arsenal,Watford,Emirates Stadium,Kevin Friend,59833
2021-11-07,14:00 ,Everton,Tottenham,Goodison Park,Chris Kavanagh,39059
2021-11-07,16:30 ,West Ham,Liverpool,London Stadium,Craig Pawson,59909
2021-11-20,12:30 ,Leicester City,Chelsea,King Power Stadium,Paul Tierney,35497
2021-11-20,15:00 ,Burnley,Crystal Palace,Turf Moor,Simon Hooper,18028
2021-11-20,15:00 ,Aston Villa,Brighton,Villa Park,Anthony Taylor,41925
2021-11-20,15:00 ,Wolves,West Ham,Molineux Stadium,Mike Dean,30667
2021-11-20,15:00 ,Norwich City,Southampton,Carrow Road,Martin Atkinson,26885
2021-11-20,15:00 ,Newcastle Utd,Brentford,St. James' Park,Robert Jones,52131
2021-11-20,15:00 ,Watford,Manchester Utd,Vicarage Road Stadium,Jonathan Moss,21087
2021-11-20,17:30 ,Liverpool,Arsenal,Anfield,Michael Oliver,53092
2021-11-21,14:00 ,Manchester City,Everton,Etihad Stadium,Stuart Attwell,52571
2021-11-21,16:30 ,Tottenham,Leeds United,Tottenham Hotspur Stadium,Andre Marriner,58989
2021-11-27,12:30 ,Arsenal,Newcastle Utd,Emirates Stadium,Stuart Attwell,59886
2021-11-27,15:00 ,Crystal Palace,Aston Villa,Selhurst Park,Michael Salisbury,25203
2021-11-27,15:00 ,Liverpool,Southampton,Anfield,Andre Marriner,0
2021-11-27,15:00 ,Norwich City,Wolves,Carrow Road,Simon Hooper,26911
2021-11-27,17:30 ,Brighton,Leeds United,The American Express Community Stadium,Craig Pawson,31166
2021-11-28,14:00 ,Brentford,Everton,Brentford Community Stadium,Darren England,0
2021-11-28,14:00 ,Leicester City,Watford,King Power Stadium,Andy Madley,34310
2021-11-28,14:00 ,Manchester City,West Ham,Etihad Stadium,Michael Oliver,0
2021-11-28,16:30 ,Chelsea,Manchester Utd,Stamford Bridge,Anthony Taylor,40041
