player,nationality,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,season
Alex McCarthy,eng ENG,Southampton,27,1989,18.0,18.0,1620.0,26.0,1.44,67.0,41.0,62.7,3.0,8.0,7.0,4.0,22.2,1.0,1.0,0.0,0.0,0.0,4.0,0.0,21.8,0.32,-4.2,-0.23,105.0,357.0,29.4,306.0,55.0,68.6,51.6,156.0,94.2,67.0,205.0,19.0,9.3,5.0,0.28,12.6,2017
Simon Mignolet,be BEL,Liverpool,29,1988,19.0,19.0,1710.0,24.0,1.26,55.0,32.0,60.0,10.0,7.0,2.0,7.0,36.8,3.0,2.0,1.0,0.0,0.0,3.0,0.0,20.9,0.34,-3.1,-0.16,69.0,212.0,32.5,502.0,97.0,33.3,34.7,100.0,45.0,41.4,138.0,17.0,12.3,16.0,0.84,15.0,2017
Boaz Myhill,wls WAL,West Brom,34,1982,1.0,1.0,90.0,1.0,1.0,3.0,2.0,66.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.32,0.0,-0.03,8.0,19.0,42.1,13.0,0.0,84.6,52.6,9.0,88.9,60.7,15.0,0.0,0.0,0.0,0.0,6.5,2017
David Ospina,co COL,Arsenal,28,1988,5.0,4.0,381.0,3.0,0.71,13.0,10.0,76.9,3.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.9,0.3,0.9,0.21,28.0,61.0,45.9,115.0,28.0,33.9,34.7,28.0,78.6,53.0,47.0,6.0,12.8,2.0,0.47,12.4,2017
Jordan Pickford,eng ENG,Everton,23,1994,38.0,38.0,3420.0,58.0,1.53,175.0,119.0,68.6,13.0,10.0,15.0,10.0,26.3,5.0,3.0,1.0,1.0,0.0,7.0,0.0,59.6,0.33,1.6,0.04,322.0,985.0,32.7,991.0,155.0,67.9,54.1,339.0,92.0,72.5,367.0,24.0,6.5,32.0,0.84,15.1,2017
Nick Pope,eng ENG,Burnley,25,1992,35.0,34.0,3115.0,35.0,1.01,147.0,114.0,78.2,13.0,11.0,11.0,11.0,32.4,5.0,3.0,1.0,1.0,0.0,3.0,1.0,44.0,0.28,10.0,0.29,365.0,1023.0,35.7,915.0,118.0,80.3,58.9,300.0,96.0,72.7,394.0,45.0,11.4,22.0,0.64,14.8,2017
Sergio Romero,ar ARG,Manchester Utd,30,1987,1.0,1.0,90.0,0.0,0.0,4.0,4.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.37,1.5,1.49,8.0,16.0,50.0,18.0,4.0,55.6,42.9,7.0,85.7,62.3,7.0,1.0,14.3,0.0,0.0,14.0,2017
Mathew Ryan,au AUS,Brighton,25,1992,38.0,38.0,3420.0,54.0,1.42,171.0,121.0,69.0,9.0,13.0,16.0,10.0,26.3,3.0,1.0,2.0,0.0,1.0,15.0,5.0,56.1,0.32,7.1,0.19,376.0,913.0,41.2,821.0,118.0,70.9,50.4,352.0,94.0,63.5,383.0,19.0,5.0,15.0,0.39,12.6,2017
Kasper Schmeichel,dk DEN,Leicester City,30,1986,33.0,33.0,2965.0,47.0,1.43,137.0,91.0,66.4,11.0,10.0,12.0,8.0,24.2,3.0,1.0,2.0,0.0,3.0,11.0,1.0,39.1,0.27,-6.9,-0.21,326.0,838.0,38.9,860.0,101.0,67.4,50.7,276.0,93.5,69.7,302.0,23.0,7.6,37.0,1.12,16.7,2017
Julián Speroni,ar ARG,Crystal Palace,38,1979,11.0,11.0,990.0,14.0,1.27,40.0,27.0,67.5,3.0,5.0,3.0,2.0,18.2,1.0,1.0,0.0,0.0,0.0,4.0,0.0,9.4,0.22,-4.6,-0.42,88.0,248.0,35.5,222.0,17.0,73.0,51.7,90.0,95.6,61.2,124.0,6.0,4.8,6.0,0.55,12.0,2017
Michel Vorm,nl NED,Tottenham,33,1983,1.0,1.0,90.0,1.0,1.0,4.0,4.0,75.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.04,0.2,0.17,4.0,7.0,57.1,19.0,7.0,26.3,29.3,9.0,22.2,34.1,12.0,0.0,0.0,1.0,1.0,20.5,2017
Alisson,br BRA,Liverpool,28,1992,36.0,36.0,3240.0,24.0,0.67,97.0,73.0,75.3,27.0,7.0,2.0,20.0,55.6,0.0,0.0,0.0,0.0,0.0,4.0,1.0,27.1,0.28,4.1,0.11,187.0,345.0,54.2,1189.0,195.0,22.5,29.9,171.0,45.6,40.0,221.0,21.0,9.5,63.0,1.75,18.1,2021
Alphonse Areola,fr FRA,West Ham,28,1993,1.0,1.0,90.0,1.0,1.0,3.0,2.0,66.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.39,0.2,0.17,8.0,28.0,28.6,27.0,3.0,66.7,49.7,14.0,71.4,53.2,13.0,1.0,7.7,0.0,0.0,7.0,2021
