player,minute,squad,outcome,distance,body_part,notes,sca_1_player,sca_1_type,sca_2_player,sca_2_type,date,squad_h,squad_a
Demarai Gray,75.0,Leicester City,Saved,8,Right Foot,Volley,Jamie Vardy,Pass (Live),Jamie Vardy,Tackle,2018-08-10,Manchester Utd,Leicester City
Demarai Gray,76.0,Leicester City,Off Target,32,Right Foot,0,0,0,0,0,2018-08-10,Manchester Utd,Leicester City
Romelu Lukaku,77.0,Manchester Utd,Saved,12,Left Foot,0,Alexis Sánchez,Pass (Live),0,0,2018-08-10,Manchester Utd,Leicester City
Scott McTominay,78.0,Manchester Utd,Wayward,11,Head,0,Andreas Pereira,Pass (Dead),Romelu Lukaku,Shot,2018-08-10,Manchester Utd,Leicester City
Luke Shaw,82.0,Manchester Utd,Goal,8,Left Foot,Half volley,Luke Shaw,Dribble,Juan Mata,Pass (Live),2018-08-10,Manchester Utd,Leicester City
Kelechi Iheanacho,89.0,Leicester City,Blocked,21,Left Foot,0,Wilfred Ndidi,Pass (Live),Vicente Iborra,Dribble,2018-08-10,Manchester Utd,Leicester City
Demarai Gray,90.0,Leicester City,Blocked,27,Right Foot,0,Ben Chilwell,Pass (Live),Harry Maguire,Pass (Live),2018-08-10,Manchester Utd,Leicester City
Jamie Vardy,90.0,Leicester City,Off Target,10,Right Foot,Volley,Ricardo Pereira,Pass (Live),Kelechi Iheanacho,Pass (Live),2018-08-10,Manchester Utd,Leicester City
Jamie Vardy,90.1,Leicester City,Goal,2,Head,Open goal,Wilfred Ndidi,Pass (Live),Kelechi Iheanacho,Pass (Live),2018-08-10,Manchester Utd,Leicester City
Kasper Schmeichel,90.4,Leicester City,Off Target,10,Head,0,Ben Chilwell,Pass (Dead),Rachid Ghezzal,Pass (Live),2018-08-10,Manchester Utd,Leicester City
Ben Davies,2.0,Tottenham,Blocked,18,Left Foot,0,Christian Eriksen,Pass (Dead),Moussa Sissoko,Fouled,2018-08-11,Newcastle Utd,Tottenham
Joselu,3.0,Newcastle Utd,Blocked,13,Right Foot,0,Ayoze Pérez,Pass (Live),Jonjo Shelvey,Pass (Live),2018-08-11,Newcastle Utd,Tottenham
Matt Ritchie,4.0,Newcastle Utd,Off Target,23,Left Foot,Half volley,0,0,0,0,2018-08-11,Newcastle Utd,Tottenham
Lucas Moura,6.0,Tottenham,Blocked,13,Right Foot,0,Harry Kane,Pass (Live),0,0,2018-08-11,Newcastle Utd,Tottenham
Christian Eriksen,8.0,Tottenham,Saved,31,Left Foot,0,0,0,0,0,2018-08-11,Newcastle Utd,Tottenham
Davinson Sánchez,8.0,Tottenham,Wayward,8,Head,0,Christian Eriksen,Pass (Dead),Christian Eriksen,Shot,2018-08-11,Newcastle Utd,Tottenham
Jan Vertonghen,8.0,Tottenham,Goal,2,Head,Open goal,Davinson Sánchez,Shot,0,0,2018-08-11,Newcastle Utd,Tottenham
Joselu,11.0,Newcastle Utd,Goal,6,Head,0,Matt Ritchie,Pass (Live),DeAndre Yedlin,Pass (Live),2018-08-11,Newcastle Utd,Tottenham
Dele Alli,18.0,Tottenham,Goal,5,Head,0,Serge Aurier,Pass (Live),0,0,2018-08-11,Newcastle Utd,Tottenham
Ciaran Clark,28.0,Newcastle Utd,Blocked,8,Head,0,Matt Ritchie,Pass (Dead),0,0,2018-08-11,Newcastle Utd,Tottenham
Paul Dummett,28.0,Newcastle Utd,Off Target,25,Left Foot,0,0,0,0,0,2018-08-11,Newcastle Utd,Tottenham
Serge Aurier,29.0,Tottenham,Off Target,21,Left Foot,0,Ben Davies,Pass (Live),Eric Dier,Pass (Live),2018-08-11,Newcastle Utd,Tottenham
Matt Ritchie,35.0,Newcastle Utd,Blocked,24,Left Foot,0,Joselu,Pass (Live),Kenedy,Pass (Live),2018-08-11,Newcastle Utd,Tottenham
Harry Kane,37.0,Tottenham,Blocked,13,Right Foot,0,Ben Davies,Pass (Live),Christian Eriksen,Pass (Live),2018-08-11,Newcastle Utd,Tottenham
Davinson Sánchez,38.0,Tottenham,Off Target,6,Head,0,Christian Eriksen,Pass (Dead),Harry Kane,Shot,2018-08-11,Newcastle Utd,Tottenham
Paul Dummett,39.0,Newcastle Utd,Off Target,14,Left Foot,Volley,0,0,0,0,2018-08-11,Newcastle Utd,Tottenham
Mohamed Diamé,47.0,Newcastle Utd,Woodwork,11,Left Foot,Half volley,Jonjo Shelvey,Pass (Live),0,0,2018-08-11,Newcastle Utd,Tottenham
Harry Kane,50.0,Tottenham,Wayward,14,Right Foot,Volley,Christian Eriksen,Pass (Live),Christian Eriksen,Interception,2018-08-11,Newcastle Utd,Tottenham
Dele Alli,50.0,Tottenham,Saved,9,Other,0,Harry Kane,Shot,0,0,2018-08-11,Newcastle Utd,Tottenham
Moussa Sissoko,56.0,Tottenham,Saved,10,Left Foot,Half volley,Ben Davies,Pass (Live),Harry Kane,Pass (Live),2018-08-11,Newcastle Utd,Tottenham
Davinson Sánchez,57.0,Tottenham,Off Target,5,Right Foot,Volley,Serge Aurier,Dribble,Ben Davies,Pass (Live),2018-08-11,Newcastle Utd,Tottenham
Ayoze Pérez,60.0,Newcastle Utd,Saved,8,Right Foot,0,0,0,0,0,2018-08-11,Newcastle Utd,Tottenham
Kenedy,62.0,Newcastle Utd,Off Target,24,Left Foot,0,0,0,0,0,2018-08-11,Newcastle Utd,Tottenham
DeAndre Yedlin,64.0,Newcastle Utd,Off Target,31,Right Foot,0,0,0,0,0,2018-08-11,Newcastle Utd,Tottenham
Mousa Dembélé,71.0,Tottenham,Off Target,26,Left Foot,0,Christian Eriksen,Pass (Live),Christian Eriksen,Tackle,2018-08-11,Newcastle Utd,Tottenham
Christian Atsu,76.0,Newcastle Utd,Wayward,23,Left Foot,Half volley,0,0,0,0,2018-08-11,Newcastle Utd,Tottenham
Salomón Rondón,78.0,Newcastle Utd,Saved off Target,11,Right Foot,Volley,Christian Atsu,Pass (Live),0,0,2018-08-11,Newcastle Utd,Tottenham
Christian Eriksen,81.0,Tottenham,Saved,38,Right Foot,Free kick,Dele Alli,Fouled,Mousa Dembélé,Pass (Live),2018-08-11,Newcastle Utd,Tottenham
Salomón Rondón,85.0,Newcastle Utd,Woodwork,17,Right Foot,Deflected,Jonjo Shelvey,Pass (Live),Kenedy,Pass (Live),2018-08-11,Newcastle Utd,Tottenham
Yoshinori Mutō,87.0,Newcastle Utd,Blocked,12,Left Foot,0,Mohamed Diamé,Pass (Live),0,0,2018-08-11,Newcastle Utd,Tottenham
Andre Gray,9.0,Watford,Saved,15,Right Foot,0,Ben Foster,Pass (Dead),0,0,2018-08-11,Watford,Brighton
José Holebas,12.0,Watford,Blocked,24,Left Foot,Free kick,Will Hughes,Fouled,0,0,2018-08-11,Watford,Brighton
Will Hughes,14.0,Watford,Blocked,22,Left Foot,0,Abdoulaye Doucouré,Pass (Live),0,0,2018-08-11,Watford,Brighton
Roberto Pereyra,17.0,Watford,Blocked,14,Right Foot,0,Andre Gray,Pass (Live),Étienne Capoue,Pass (Live),2018-08-11,Watford,Brighton
Roberto Pereyra,17.0,Watford,Blocked,15,Right Foot,0,Roberto Pereyra,Shot,0,0,2018-08-11,Watford,Brighton
Troy Deeney,17.0,Watford,Saved,9,Right Foot,0,Roberto Pereyra,Shot,0,0,2018-08-11,Watford,Brighton
Étienne Capoue,17.0,Watford,Off Target,19,Right Foot,Volley,0,0,0,0,2018-08-11,Watford,Brighton
Dale Stephens,21.0,Brighton,Off Target,14,Right Foot,Volley,Bruno,Pass (Live),Anthony Knockaert,Pass (Live),2018-08-11,Watford,Brighton
Will Hughes,27.0,Watford,Off Target,14,Left Foot,Half volley,Andre Gray,Pass (Live),Roberto Pereyra,Pass (Live),2018-08-11,Watford,Brighton
Daryl Janmaat,28.0,Watford,Blocked,27,Right Foot,Half volley,0,0,0,0,2018-08-11,Watford,Brighton
Anthony Knockaert,33.0,Brighton,Blocked,19,Left Foot,0,Dale Stephens,Pass (Live),Solly March,Pass (Live),2018-08-11,Watford,Brighton
Roberto Pereyra,35.0,Watford,Goal,15,Right Foot,Volley,José Holebas,Pass (Live),Abdoulaye Doucouré,Pass (Dead),2018-08-11,Watford,Brighton
Glenn Murray,45.0,Brighton,Off Target,13,Head,0,Pascal Groß,Pass (Live),Bernardo,Pass (Live),2018-08-11,Watford,Brighton
Andre Gray,45.2,Watford,Wayward,14,Head,0,José Holebas,Pass (Dead),Roberto Pereyra,Fouled,2018-08-11,Watford,Brighton
Will Hughes,45.3,Watford,Wayward,10,Head,0,José Holebas,Pass (Dead),0,0,2018-08-11,Watford,Brighton
Christian Kabasele,45.3,Watford,Blocked,11,Right Foot,0,0,0,0,0,2018-08-11,Watford,Brighton
Christian Kabasele,49.0,Watford,Off Target,8,Head,0,José Holebas,Pass (Dead),Étienne Capoue,Fouled,2018-08-11,Watford,Brighton
Roberto Pereyra,54.0,Watford,Goal,8,Right Foot,0,José Holebas,Pass (Live),0,0,2018-08-11,Watford,Brighton
Yves Bissouma,65.0,Brighton,Off Target,31,Right Foot,Free kick,Yves Bissouma,Fouled,Dale Stephens,Pass (Live),2018-08-11,Watford,Brighton
Troy Deeney,69.0,Watford,Off Target,21,Right Foot,Half volley,Abdoulaye Doucouré,Pass (Live),0,0,2018-08-11,Watford,Brighton
Yves Bissouma,71.0,Brighton,Off Target,16,Right Foot,0,Yves Bissouma,Dribble,Yves Bissouma,Dribble,2018-08-11,Watford,Brighton
Étienne Capoue,75.0,Watford,Saved,31,Right Foot,"Free kick, Deflected",Troy Deeney,Fouled,0,0,2018-08-11,Watford,Brighton
Davy Pröpper,77.0,Brighton,Off Target,8,Head,0,Alireza Jahanbakhsh,Pass (Dead),0,0,2018-08-11,Watford,Brighton
Daryl Janmaat,84.0,Watford,Blocked,14,Right Foot,0,Isaac Success,Pass (Live),Ken Sema,Pass (Live),2018-08-11,Watford,Brighton
Étienne Capoue,84.0,Watford,Off Target,31,Left Foot,0,Isaac Success,Pass (Live),Roberto Pereyra,Pass (Live),2018-08-11,Watford,Brighton
Alex Pritchard,20.0,Huddersfield,Saved,24,Right Foot,0,Chris Löwe,Pass (Live),Christopher Schindler,Pass (Live),2018-08-11,Huddersfield,Chelsea
Steve Mounié,26.0,Huddersfield,Off Target,31,Right Foot,Half volley,0,0,0,0,2018-08-11,Huddersfield,Chelsea
N'Golo Kanté,34.0,Chelsea,Goal,10,Left Foot,Volley,Willian,Pass (Live),Pedro,Pass (Live),2018-08-11,Huddersfield,Chelsea
Steve Mounié,38.0,Huddersfield,Woodwork,6,Head,0,Mathias Jørgensen,Pass (Live),Aaron Mooy,Pass (Dead),2018-08-11,Huddersfield,Chelsea
Ross Barkley,38.0,Chelsea,Blocked,19,Right Foot,0,Pedro,Pass (Live),Willian,Pass (Live),2018-08-11,Huddersfield,Chelsea
Jorginho (pen),45.0,Chelsea,Goal,12,Right Foot,0,Marcos Alonso,Fouled,Ross Barkley,Pass (Live),2018-08-11,Huddersfield,Chelsea
Marcos Alonso,49.0,Chelsea,Blocked,29,Left Foot,Half volley,0,0,0,0,2018-08-11,Huddersfield,Chelsea
Álvaro Morata,57.0,Chelsea,Blocked,6,Right Foot,Volley,Marcos Alonso,Pass (Live),0,0,2018-08-11,Huddersfield,Chelsea
Antonio Rüdiger,57.0,Chelsea,Saved,10,Head,0,Willian,Pass (Dead),Álvaro Morata,Shot,2018-08-11,Huddersfield,Chelsea
Antonio Rüdiger,58.0,Chelsea,Wayward,11,Head,0,Willian,Pass (Dead),Antonio Rüdiger,Shot,2018-08-11,Huddersfield,Chelsea
Marcos Alonso,58.0,Chelsea,Woodwork,4,Left Foot,Overhead kick,Antonio Rüdiger,Shot,0,0,2018-08-11,Huddersfield,Chelsea
Willian,62.0,Chelsea,Blocked,19,Right Foot,0,Ross Barkley,Pass (Live),Jorginho,Pass (Live),2018-08-11,Huddersfield,Chelsea
Marcos Alonso,65.0,Chelsea,Off Target,28,Left Foot,Free kick,Álvaro Morata,Fouled,Antonio Rüdiger,Pass (Live),2018-08-11,Huddersfield,Chelsea
Philip Billing,72.0,Huddersfield,Blocked,17,Left Foot,0,Laurent Depoitre,Pass (Live),Adama Diakhaby,Tackle,2018-08-11,Huddersfield,Chelsea
Philip Billing,72.0,Huddersfield,Woodwork,10,Head,0,Aaron Mooy,Pass (Dead),Jonathan Hogg,Fouled,2018-08-11,Huddersfield,Chelsea
Laurent Depoitre,75.0,Huddersfield,Off Target,14,Right Foot,0,Florent Hadergjonaj,Pass (Live),Philip Billing,Pass (Dead),2018-08-11,Huddersfield,Chelsea
Laurent Depoitre,80.0,Huddersfield,Saved,11,Head,0,Terence Kongolo,Pass (Live),Philip Billing,Pass (Live),2018-08-11,Huddersfield,Chelsea
Pedro,80.0,Chelsea,Goal,15,Right Foot,Lob,Eden Hazard,Pass (Live),Eden Hazard,Fouled,2018-08-11,Huddersfield,Chelsea
Eden Hazard,84.0,Chelsea,Blocked,21,Right Foot,Free kick,Eden Hazard,Fouled,Eden Hazard,Dribble,2018-08-11,Huddersfield,Chelsea
Álvaro Morata,90.1,Chelsea,Blocked,16,Right Foot,0,Victor Moses,Pass (Live),0,0,2018-08-11,Huddersfield,Chelsea
Callum Wilson,11.0,Bournemouth,Off Target,13,Right Foot,0,Callum Wilson,Dribble,Callum Wilson,Dribble,2018-08-11,Bournemouth,Cardiff City
Bobby Reid,12.0,Cardiff City,Off Target,17,Right Foot,0,Callum Paterson,Pass (Live),Nathaniel Mendez-Laing,Pass (Live),2018-08-11,Bournemouth,Cardiff City
Ryan Fraser,24.0,Bournemouth,Goal,7,Right Foot,0,Callum Wilson,Pass (Live),Joshua King,Pass (Live),2018-08-11,Bournemouth,Cardiff City
Callum Wilson,30.0,Bournemouth,Blocked,17,Right Foot,0,Andrew Surman,Pass (Live),Ryan Fraser,Pass (Live),2018-08-11,Bournemouth,Cardiff City
Callum Wilson (pen),34.0,Bournemouth,Saved,12,Right Foot,0,Callum Wilson,Fouled,Charlie Daniels,Pass (Live),2018-08-11,Bournemouth,Cardiff City
Nathaniel Mendez-Laing,40.0,Cardiff City,Off Target,3,Right Foot,Half volley,Joe Ralls,Pass (Live),Junior Hoilett,Pass (Live),2018-08-11,Bournemouth,Cardiff City
Nathaniel Mendez-Laing,45.0,Cardiff City,Off Target,7,Head,0,Junior Hoilett,Pass (Live),0,0,2018-08-11,Bournemouth,Cardiff City
Steve Cook,45.2,Bournemouth,Wayward,9,Head,0,Ryan Fraser,Pass (Dead),Andrew Surman,Pass (Live),2018-08-11,Bournemouth,Cardiff City
Callum Paterson,60.0,Cardiff City,Blocked,11,Left Foot,Half volley,Bobby Reid,Pass (Live),Junior Hoilett,Pass (Live),2018-08-11,Bournemouth,Cardiff City
David Brooks,62.0,Bournemouth,Wayward,5,Head,Open goal,Ryan Fraser,Pass (Live),0,0,2018-08-11,Bournemouth,Cardiff City
Andrew Surman,62.0,Bournemouth,Off Target,23,Left Foot,0,Charlie Daniels,Pass (Live),0,0,2018-08-11,Bournemouth,Cardiff City
Josh Murphy,65.0,Cardiff City,Blocked,9,Right Foot,Overhead kick,Sean Morrison,Pass (Live),Junior Hoilett,Pass (Dead),2018-08-11,Bournemouth,Cardiff City
Sean Morrison,65.0,Cardiff City,Saved,1,Right Foot,"Open goal, Half volley",Josh Murphy,Shot,0,0,2018-08-11,Bournemouth,Cardiff City
Bobby Reid,67.0,Cardiff City,Blocked,17,Right Foot,0,Bobby Reid,Dribble,Josh Murphy,Pass (Live),2018-08-11,Bournemouth,Cardiff City
Joe Ralls,67.0,Cardiff City,Blocked,30,Left Foot,0,Bobby Reid,Shot,0,0,2018-08-11,Bournemouth,Cardiff City
Bobby Reid,68.0,Cardiff City,Off Target,22,Right Foot,Free kick,Joe Ralls,Fouled,0,0,2018-08-11,Bournemouth,Cardiff City
Josh Murphy,72.0,Cardiff City,Blocked,13,Left Foot,0,Bobby Reid,Pass (Live),Joe Bennett,Pass (Live),2018-08-11,Bournemouth,Cardiff City
Callum Wilson,79.0,Bournemouth,Saved,10,Head,0,Ryan Fraser,Pass (Dead),Ryan Fraser,Fouled,2018-08-11,Bournemouth,Cardiff City
Dan Gosling,82.0,Bournemouth,Off Target,28,Left Foot,Volley,0,0,0,0,2018-08-11,Bournemouth,Cardiff City
Ryan Fraser,83.0,Bournemouth,Off Target,20,Right Foot,Half volley,Joshua King,Pass (Live),0,0,2018-08-11,Bournemouth,Cardiff City
Callum Wilson,90.0,Bournemouth,Blocked,18,Right Foot,0,Adam Smith,Pass (Live),Callum Wilson,Pass (Live),2018-08-11,Bournemouth,Cardiff City
Callum Wilson,90.1,Bournemouth,Goal,12,Right Foot,0,Simon Francis,Pass (Live),0,0,2018-08-11,Bournemouth,Cardiff City
Aleksandar Mitrović,3.0,Fulham,Blocked,22,Right Foot,0,Jean Seri,Pass (Live),Ryan Sessegnon,Pass (Live),2018-08-11,Fulham,Crystal Palace
Cyrus Christie,3.0,Fulham,Saved,29,Right Foot,0,Tom Cairney,Pass (Live),Jean Seri,Pass (Live),2018-08-11,Fulham,Crystal Palace
James Tomkins,8.0,Crystal Palace,Saved,14,Head,0,Luka Milivojević,Pass (Dead),Wilfried Zaha,Fouled,2018-08-11,Fulham,Crystal Palace
Aleksandar Mitrović,13.0,Fulham,Saved,11,Right Foot,Half volley,Aleksandar Mitrović,Dribble,André Schürrle,Pass (Live),2018-08-11,Fulham,Crystal Palace
Aleksandar Mitrović,13.0,Fulham,Off Target,6,Head,0,Ryan Sessegnon,Pass (Dead),Aleksandar Mitrović,Shot,2018-08-11,Fulham,Crystal Palace
Andros Townsend,15.0,Crystal Palace,Saved,28,Left Foot,0,James McArthur,Pass (Live),Christian Benteke,Pass (Live),2018-08-11,Fulham,Crystal Palace
Aleksandar Mitrović,18.0,Fulham,Blocked,26,Right Foot,Free kick,André Schürrle,Fouled,Ryan Sessegnon,Pass (Live),2018-08-11,Fulham,Crystal Palace
Aleksandar Mitrović,18.0,Fulham,Wayward,26,Right Foot,Volley,Aleksandar Mitrović,Shot,0,0,2018-08-11,Fulham,Crystal Palace
Jean Seri,25.0,Fulham,Blocked,21,Right Foot,0,0,0,0,0,2018-08-11,Fulham,Crystal Palace
Christian Benteke,30.0,Crystal Palace,Saved to Post,6,Head,0,Andros Townsend,Pass (Live),Aaron Wan-Bissaka,Pass (Live),2018-08-11,Fulham,Crystal Palace
Aleksandar Mitrović,38.0,Fulham,Saved,23,Right Foot,0,0,0,0,0,2018-08-11,Fulham,Crystal Palace
Jeffrey Schlupp,41.0,Crystal Palace,Goal,11,Left Foot,0,Patrick van Aanholt,Pass (Live),Andros Townsend,Pass (Live),2018-08-11,Fulham,Crystal Palace
Wilfried Zaha,44.0,Crystal Palace,Blocked,18,Right Foot,0,Patrick van Aanholt,Pass (Live),Christian Benteke,Pass (Live),2018-08-11,Fulham,Crystal Palace
Patrick van Aanholt,53.0,Crystal Palace,Saved,22,Left Foot,0,Christian Benteke,Pass (Live),Wilfried Zaha,Pass (Live),2018-08-11,Fulham,Crystal Palace
Kevin McDonald,61.0,Fulham,Blocked,27,Right Foot,0,0,0,0,0,2018-08-11,Fulham,Crystal Palace
Wilfried Zaha,63.0,Crystal Palace,Saved,9,Right Foot,Half volley,Christian Benteke,Pass (Live),Wayne Hennessey,Pass (Dead),2018-08-11,Fulham,Crystal Palace
Christian Benteke,63.0,Crystal Palace,Blocked,9,Head,0,Luka Milivojević,Pass (Dead),0,0,2018-08-11,Fulham,Crystal Palace
Aleksandar Mitrović,64.0,Fulham,Saved,9,Head,0,Joe Bryan,Pass (Live),Ryan Sessegnon,Pass (Live),2018-08-11,Fulham,Crystal Palace
Christian Benteke,75.0,Crystal Palace,Saved,24,Right Foot,Half volley,0,0,0,0,2018-08-11,Fulham,Crystal Palace
Aboubakar Kamara,77.0,Fulham,Off Target,28,Right Foot,0,Luciano Vietto,Pass (Live),Jean Seri,Pass (Live),2018-08-11,Fulham,Crystal Palace
Tom Cairney,79.0,Fulham,Blocked,26,Left Foot,0,Aboubakar Kamara,Pass (Live),Cyrus Christie,Pass (Live),2018-08-11,Fulham,Crystal Palace
Wilfried Zaha,80.0,Crystal Palace,Goal,18,Right Foot,0,Aaron Wan-Bissaka,Pass (Live),Aaron Wan-Bissaka,Dribble,2018-08-11,Fulham,Crystal Palace
Andros Townsend,87.0,Crystal Palace,Saved,24,Left Foot,0,0,0,0,0,2018-08-11,Fulham,Crystal Palace
Ryan Sessegnon,89.0,Fulham,Saved,9,Head,0,Cyrus Christie,Pass (Live),Stefan Johansen,Pass (Live),2018-08-11,Fulham,Crystal Palace
Aboubakar Kamara,90.1,Fulham,Saved,6,Right Foot,0,Aboubakar Kamara,Dribble,Luciano Vietto,Pass (Live),2018-08-11,Fulham,Crystal Palace
Luciano Vietto,90.2,Fulham,Wayward,15,Head,0,Aboubakar Kamara,Pass (Live),Tom Cairney,Pass (Live),2018-08-11,Fulham,Crystal Palace
Cheikhou Kouyaté,90.3,Crystal Palace,Saved,17,Right Foot,0,Alexander Sørloth,Pass (Live),Cheikhou Kouyaté,Tackle,2018-08-11,Fulham,Crystal Palace
Séamus Coleman,11.0,Everton,Saved,17,Left Foot,0,0,0,0,0,2018-08-11,Wolves,Everton
Richarlison,17.0,Everton,Goal,6,Right Foot,Half volley,0,0,0,0,2018-08-11,Wolves,Everton
João Moutinho,22.0,Wolves,Off Target,24,Right Foot,Half volley,0,0,0,0,2018-08-11,Wolves,Everton
Hélder Costa,37.0,Wolves,Off Target,22,Left Foot,Volley,0,0,0,0,2018-08-11,Wolves,Everton
Hélder Costa,39.0,Wolves,Saved,27,Left Foot,0,Raúl Jiménez,Pass (Live),0,0,2018-08-11,Wolves,Everton
Rúben Neves,44.0,Wolves,Goal,20,Right Foot,Free kick,Diogo Jota,Fouled,0,0,2018-08-11,Wolves,Everton
Michael Keane,45.4,Everton,Saved,8,Head,0,Leighton Baines,Pass (Dead),0,0,2018-08-11,Wolves,Everton
Rúben Neves,58.0,Wolves,Off Target,34,Right Foot,0,0,0,0,0,2018-08-11,Wolves,Everton
Cenk Tosun,58.0,Everton,Saved,22,Right Foot,0,Cenk Tosun,Tackle,0,0,2018-08-11,Wolves,Everton
Michael Keane,59.0,Everton,Wayward,10,Head,0,Leighton Baines,Pass (Dead),Cenk Tosun,Shot,2018-08-11,Wolves,Everton
Cenk Tosun,59.0,Everton,Off Target,3,Head,0,Michael Keane,Shot,0,0,2018-08-11,Wolves,Everton
Raúl Jiménez,60.0,Wolves,Saved,13,Right Foot,0,Ryan Bennett,Pass (Live),João Moutinho,Pass (Live),2018-08-11,Wolves,Everton
Theo Walcott,65.0,Everton,Wayward,8,Right Foot,Half volley,Richarlison,Pass (Live),Cenk Tosun,Pass (Live),2018-08-11,Wolves,Everton
Rúben Neves,66.0,Wolves,Blocked,32,Right Foot,0,0,0,0,0,2018-08-11,Wolves,Everton
Richarlison,67.0,Everton,Goal,18,Right Foot,0,Cenk Tosun,Pass (Live),Leighton Baines,Pass (Live),2018-08-11,Wolves,Everton
Jonny Castro,75.0,Wolves,Off Target,24,Right Foot,Volley,0,0,0,0,2018-08-11,Wolves,Everton
Raúl Jiménez,77.0,Wolves,Blocked,9,Right Foot,Volley,Matt Doherty,Pass (Live),João Moutinho,Pass (Live),2018-08-11,Wolves,Everton
Raúl Jiménez,80.0,Wolves,Goal,7,Head,0,Rúben Neves,Pass (Live),Rúben Vinagre,Pass (Live),2018-08-11,Wolves,Everton
Diogo Jota,90.5,Wolves,Off Target,29,Right Foot,Half volley,Ryan Bennett,Pass (Live),Matt Doherty,Pass (Live),2018-08-11,Wolves,Everton
Chris Wood,2.0,Burnley,Saved,14,Head,0,Jack Cork,Pass (Live),0,0,2018-08-12,Southampton,Burnley
Matthew Lowton,5.0,Burnley,Off Target,34,Right Foot,0,Jeff Hendrick,Pass (Live),Stephen Ward,Pass (Dead),2018-08-12,Southampton,Burnley
Aaron Lennon,11.0,Burnley,Saved,14,Right Foot,Half volley,Jeff Hendrick,Pass (Live),Ashley Westwood,Pass (Live),2018-08-12,Southampton,Burnley
Jóhann Berg Guðmundsson,13.0,Burnley,Off Target,31,Left Foot,Free kick,Jóhann Berg Guðmundsson,Fouled,Aaron Lennon,Pass (Live),2018-08-12,Southampton,Burnley
Wesley Hoedt,16.0,Southampton,Off Target,38,Left Foot,0,Jack Stephens,Pass (Live),Mario Lemina,Pass (Live),2018-08-12,Southampton,Burnley
Mario Lemina,18.0,Southampton,Saved,13,Head,0,Ryan Bertrand,Pass (Live),0,0,2018-08-12,Southampton,Burnley
Jóhann Berg Guðmundsson,20.0,Burnley,Blocked,15,Left Foot,0,Jack Cork,Pass (Live),Jeff Hendrick,Pass (Live),2018-08-12,Southampton,Burnley
Ashley Westwood,20.0,Burnley,Off Target,23,Left Foot,Half volley,Jack Cork,Pass (Live),Jóhann Berg Guðmundsson,Shot,2018-08-12,Southampton,Burnley
Ashley Westwood,23.0,Burnley,Blocked,28,Right Foot,0,Jóhann Berg Guðmundsson,Pass (Live),Jeff Hendrick,Pass (Live),2018-08-12,Southampton,Burnley
Mario Lemina,35.0,Southampton,Off Target,30,Right Foot,0,Ryan Bertrand,Pass (Live),Mario Lemina,Pass (Live),2018-08-12,Southampton,Burnley
Ryan Bertrand,37.0,Southampton,Blocked,34,Left Foot,0,Charlie Austin,Pass (Live),Nathan Redmond,Pass (Live),2018-08-12,Southampton,Burnley
Oriol Romeu,41.0,Southampton,Blocked,31,Left Foot,0,Stuart Armstrong,Pass (Live),Cédric Soares,Pass (Live),2018-08-12,Southampton,Burnley
Jannik Vestergaard,42.0,Southampton,Off Target,9,Head,0,Stuart Armstrong,Pass (Dead),Oriol Romeu,Shot,2018-08-12,Southampton,Burnley
