player,minute,squad,outcome,distance,body_part,notes,sca_1_player,sca_1_type,sca_2_player,sca_2_type,date,squad_h,squad_a
Emile Smith-Rowe,51.0,Arsenal,Saved,17,Right Foot,0,Kieran Tierney,Pass (Live),Ben White,Interception,2021-08-13,Brentford,Arsenal
Albert Sambi Lokonga,60.0,Arsenal,Saved,26,Left Foot,0,Nicolas Pépé,Pass (Live),Albert Sambi Lokonga,Pass (Live),2021-08-13,Brentford,Arsenal
Kieran Tierney,64.0,Arsenal,Blocked,18,Right Foot,Half volley,Bukayo Saka,Pass (Live),Albert Sambi Lokonga,Pass (Live),2021-08-13,Brentford,Arsenal
Martinelli,65.0,Arsenal,Wayward,5,Head,0,Nicolas Pépé,Pass (Dead),Kieran Tierney,Shot,2021-08-13,Brentford,Arsenal
Sergi Canós,66.0,Brentford,Saved,16,Right Foot,0,Bryan Mbeumo,Pass (Live),Vitaly Janelt,Pass (Live),2021-08-13,Brentford,Arsenal
Calum Chambers,68.0,Arsenal,Blocked,20,Right Foot,0,Granit Xhaka,Pass (Live),Bukayo Saka,Pass (Live),2021-08-13,Brentford,Arsenal
Granit Xhaka,70.0,Arsenal,Off Target,14,Left Foot,Half volley,Calum Chambers,Pass (Live),Nicolas Pépé,Pass (Live),2021-08-13,Brentford,Arsenal
Christian Nørgaard,73.0,Brentford,Goal,3,Head,0,0,0,0,0,2021-08-13,Brentford,Arsenal
Kieran Tierney,76.0,Arsenal,Off Target,16,Left Foot,Volley,Emile Smith-Rowe,Pass (Live),Kieran Tierney,Pass (Live),2021-08-13,Brentford,Arsenal
Nicolas Pépé,77.0,Arsenal,Off Target,25,Left Foot,Free kick,Kieran Tierney,Fouled,Bukayo Saka,Pass (Live),2021-08-13,Brentford,Arsenal
Christian Nørgaard,80.0,Brentford,Off Target,3,Head,0,Sergi Canós,Pass (Dead),Rico Henry,Pass (Live),2021-08-13,Brentford,Arsenal
Nuno Tavares,83.0,Arsenal,Off Target,27,Left Foot,0,Albert Sambi Lokonga,Pass (Live),Reiss Nelson,Pass (Live),2021-08-13,Brentford,Arsenal
Granit Xhaka,86.0,Arsenal,Off Target,27,Left Foot,0,Albert Sambi Lokonga,Pass (Live),Bukayo Saka,Pass (Live),2021-08-13,Brentford,Arsenal
Nicolas Pépé,87.0,Arsenal,Saved,14,Left Foot,0,Kieran Tierney,Pass (Live),Emile Smith-Rowe,Pass (Live),2021-08-13,Brentford,Arsenal
Pablo Marí,87.0,Arsenal,Off Target,4,Head,0,Emile Smith-Rowe,Pass (Live),Nicolas Pépé,Pass (Dead),2021-08-13,Brentford,Arsenal
Albert Sambi Lokonga,90.1,Arsenal,Off Target,31,Right Foot,0,Kieran Tierney,Pass (Live),Granit Xhaka,Pass (Live),2021-08-13,Brentford,Arsenal
Reiss Nelson,90.2,Arsenal,Blocked,18,Left Foot,Half volley,Kieran Tierney,Pass (Live),Kieran Tierney,Dribble,2021-08-13,Brentford,Arsenal
Emile Smith-Rowe,90.2,Arsenal,Off Target,17,Right Foot,0,Reiss Nelson,Pass (Live),Reiss Nelson,Shot,2021-08-13,Brentford,Arsenal
Scott McTominay,2.0,Manchester Utd,Blocked,13,Right Foot,0,Bruno Fernandes,Pass (Live),Daniel James,Pass (Live),2021-08-14,Manchester Utd,Leeds United
Mason Greenwood,6.0,Manchester Utd,Saved,25,Left Foot,0,Scott McTominay,Pass (Live),Bruno Fernandes,Pass (Live),2021-08-14,Manchester Utd,Leeds United
Mateusz Klich,9.0,Leeds United,Blocked,19,Right Foot,0,Jack Harrison,Pass (Live),Raphael Dias Belloli,Pass (Dead),2021-08-14,Manchester Utd,Leeds United
Harry Maguire,11.0,Manchester Utd,Off Target,13,Head,0,Luke Shaw,Pass (Dead),0,0,2021-08-14,Manchester Utd,Leeds United
Paul Pogba,12.0,Manchester Utd,Off Target,15,Left Foot,0,Mason Greenwood,Pass (Live),Mason Greenwood,Dribble,2021-08-14,Manchester Utd,Leeds United
Daniel James,15.0,Manchester Utd,Blocked,17,Left Foot,Half volley,0,0,0,0,2021-08-14,Manchester Utd,Leeds United
Jack Harrison,16.0,Leeds United,Saved,24,Left Foot,Half volley,0,0,0,0,2021-08-14,Manchester Utd,Leeds United
Mateusz Klich,16.0,Leeds United,Saved,24,Right Foot,0,Jack Harrison,Pass (Live),Mateusz Klich,Pass (Live),2021-08-14,Manchester Utd,Leeds United
Patrick Bamford,26.0,Leeds United,Off Target,11,Head,0,Raphael Dias Belloli,Pass (Dead),Jack Harrison,Fouled,2021-08-14,Manchester Utd,Leeds United
Paul Pogba,27.0,Manchester Utd,Saved,33,Right Foot,0,Bruno Fernandes,Pass (Live),Mason Greenwood,Pass (Live),2021-08-14,Manchester Utd,Leeds United
Bruno Fernandes,30.0,Manchester Utd,Goal,13,Left Foot,Half volley,Paul Pogba,Pass (Live),Scott McTominay,Pass (Live),2021-08-14,Manchester Utd,Leeds United
Luke Shaw,33.0,Manchester Utd,Off Target,18,Left Foot,0,Bruno Fernandes,Pass (Live),Luke Shaw,Pass (Live),2021-08-14,Manchester Utd,Leeds United
Raphael Dias Belloli,34.0,Leeds United,Blocked,21,Left Foot,0,Patrick Bamford,Pass (Live),Stuart Dallas,Pass (Live),2021-08-14,Manchester Utd,Leeds United
Daniel James,36.0,Manchester Utd,Off Target,16,Right Foot,0,Luke Shaw,Pass (Live),0,0,2021-08-14,Manchester Utd,Leeds United
Bruno Fernandes,42.0,Manchester Utd,Blocked,28,Right Foot,0,Daniel James,Pass (Live),Victor Lindelöf,Pass (Live),2021-08-14,Manchester Utd,Leeds United
Daniel James,45.0,Manchester Utd,Saved,17,Right Foot,0,Paul Pogba,Pass (Live),Mason Greenwood,Pass (Live),2021-08-14,Manchester Utd,Leeds United
Luke Ayling,49.0,Leeds United,Goal,26,Right Foot,0,Stuart Dallas,Pass (Live),Junior Firpo,Pass (Dead),2021-08-14,Manchester Utd,Leeds United
Mason Greenwood,52.0,Manchester Utd,Goal,15,Left Foot,0,Paul Pogba,Pass (Live),Luke Shaw,Pass (Live),2021-08-14,Manchester Utd,Leeds United
Bruno Fernandes,54.0,Manchester Utd,Goal,11,Left Foot,0,Paul Pogba,Pass (Live),Fred,Pass (Live),2021-08-14,Manchester Utd,Leeds United
Bruno Fernandes,60.0,Manchester Utd,Goal,13,Right Foot,Half volley,Victor Lindelöf,Pass (Live),Scott McTominay,Pass (Live),2021-08-14,Manchester Utd,Leeds United
Fred,68.0,Manchester Utd,Goal,14,Left Foot,0,Paul Pogba,Pass (Live),Mason Greenwood,Pass (Live),2021-08-14,Manchester Utd,Leeds United
Mason Greenwood,74.0,Manchester Utd,Off Target,26,Left Foot,0,0,0,0,0,2021-08-14,Manchester Utd,Leeds United
Tyler Roberts,79.0,Leeds United,Off Target,27,Right Foot,Half volley,0,0,0,0,2021-08-14,Manchester Utd,Leeds United
Hélder Costa,80.0,Leeds United,Off Target,22,Right Foot,Half volley,Liam Cooper,Pass (Live),0,0,2021-08-14,Manchester Utd,Leeds United
Raphael Dias Belloli,86.0,Leeds United,Off Target,16,Left Foot,0,Tyler Roberts,Pass (Live),Pascal Struijk,Pass (Live),2021-08-14,Manchester Utd,Leeds United
Luke Ayling,87.0,Leeds United,Off Target,17,Right Foot,Half volley,0,0,0,0,2021-08-14,Manchester Utd,Leeds United
Jamie Vardy,10.0,Leicester City,Saved,16,Left Foot,Half volley,Ayoze Pérez,Pass (Live),Wilfred Ndidi,Pass (Live),2021-08-14,Leicester City,Wolves
Jamie Vardy,16.0,Leicester City,Blocked,11,Right Foot,0,0,0,0,0,2021-08-14,Leicester City,Wolves
Adama Traoré,18.0,Wolves,Blocked,23,Right Foot,0,Adama Traoré,Dribble,Raúl Jiménez,Pass (Live),2021-08-14,Leicester City,Wolves
Rúben Neves,24.0,Wolves,Off Target,30,Right Foot,0,Raúl Jiménez,Pass (Live),Adama Traoré,Pass (Live),2021-08-14,Leicester City,Wolves
Jamie Vardy,26.0,Leicester City,Saved,22,Left Foot,0,Ayoze Pérez,Pass (Live),Daniel Amartey,Pass (Live),2021-08-14,Leicester City,Wolves
Jamie Vardy,34.0,Leicester City,Wayward,12,Right Foot,Back heel,James Maddison,Pass (Live),0,0,2021-08-14,Leicester City,Wolves
Adama Traoré,36.0,Wolves,Off Target,16,Right Foot,0,João Moutinho,Pass (Live),João Moutinho,Interception,2021-08-14,Leicester City,Wolves
Jamie Vardy,41.0,Leicester City,Goal,9,Left Foot,Volley,Ricardo Pereira,Pass (Live),Ricardo Pereira,Dribble,2021-08-14,Leicester City,Wolves
Harvey Barnes,45.1,Leicester City,Saved,15,Right Foot,0,Jamie Vardy,Pass (Live),Harvey Barnes,Pass (Live),2021-08-14,Leicester City,Wolves
Youri Tielemans,45.1,Leicester City,Saved,31,Right Foot,0,Ayoze Pérez,Pass (Live),James Maddison,Pass (Live),2021-08-14,Leicester City,Wolves
Adama Traoré,47.0,Wolves,Blocked,18,Left Foot,0,0,0,0,0,2021-08-14,Leicester City,Wolves
João Moutinho,47.0,Wolves,Off Target,26,Right Foot,0,0,0,0,0,2021-08-14,Leicester City,Wolves
Francisco Trincão,51.0,Wolves,Blocked,10,Left Foot,0,Rúben Neves,Pass (Live),Francisco Trincão,Pass (Live),2021-08-14,Leicester City,Wolves
Raúl Jiménez,53.0,Wolves,Saved off Target,9,Head,0,Fernando Marçal,Pass (Live),Adama Traoré,Pass (Live),2021-08-14,Leicester City,Wolves
Ki-Jana Hoever,57.0,Wolves,Off Target,22,Right Foot,0,Francisco Trincão,Pass (Live),Ki-Jana Hoever,Pass (Live),2021-08-14,Leicester City,Wolves
Adama Traoré,61.0,Wolves,Blocked,23,Right Foot,0,Francisco Trincão,Pass (Live),Francisco Trincão,Dribble,2021-08-14,Leicester City,Wolves
Raúl Jiménez,65.0,Wolves,Off Target,7,Head,0,Ki-Jana Hoever,Pass (Live),Rúben Neves,Pass (Live),2021-08-14,Leicester City,Wolves
Adama Traoré,67.0,Wolves,Saved,17,Right Foot,Half volley,Adama Traoré,Dribble,Romain Saïss,Pass (Live),2021-08-14,Leicester City,Wolves
Francisco Trincão,73.0,Wolves,Saved,26,Left Foot,0,Raúl Jiménez,Pass (Live),Francisco Trincão,Pass (Live),2021-08-14,Leicester City,Wolves
Jamie Vardy,77.0,Leicester City,Off Target,19,Right Foot,0,Youri Tielemans,Pass (Live),Kelechi Iheanacho,Pass (Live),2021-08-14,Leicester City,Wolves
Adama Traoré,79.0,Wolves,Blocked,18,Left Foot,0,Adama Traoré,Tackle,0,0,2021-08-14,Leicester City,Wolves
Max Kilman,87.0,Wolves,Blocked,8,Left Foot,0,Max Kilman,Dribble,Raúl Jiménez,Pass (Live),2021-08-14,Leicester City,Wolves
Max Kilman,87.0,Wolves,Saved,8,Head,0,Rúben Neves,Pass (Live),Ki-Jana Hoever,Pass (Live),2021-08-14,Leicester City,Wolves
Morgan Gibbs-White,88.0,Wolves,Blocked,16,Left Foot,0,Adama Traoré,Pass (Live),Fernando Marçal,Pass (Live),2021-08-14,Leicester City,Wolves
Raúl Jiménez,89.0,Wolves,Wayward,18,Right Foot,Volley,0,0,0,0,2021-08-14,Leicester City,Wolves
Kelechi Iheanacho,90.2,Leicester City,Blocked,19,Left Foot,0,Jamie Vardy,Pass (Live),Youri Tielemans,Pass (Live),2021-08-14,Leicester City,Wolves
James Tarkowski,2.0,Burnley,Goal,2,Head,0,Ashley Westwood,Pass (Dead),Charlie Taylor,Pass (Dead),2021-08-14,Burnley,Brighton
Solly March,16.0,Brighton,Saved,28,Left Foot,Free kick,Neal Maupay,Fouled,Steven Alzate,Pass (Live),2021-08-14,Burnley,Brighton
Jack Cork,19.0,Burnley,Off Target,19,Right Foot,Half volley,Ashley Westwood,Pass (Live),0,0,2021-08-14,Burnley,Brighton
Jóhann Berg Guðmundsson,19.0,Burnley,Woodwork,23,Right Foot,0,0,0,0,0,2021-08-14,Burnley,Brighton
Chris Wood,22.0,Burnley,Saved,26,Left Foot,0,Matthew Lowton,Pass (Live),Chris Wood,Pass (Live),2021-08-14,Burnley,Brighton
Jay Rodriguez,31.0,Burnley,Saved,16,Right Foot,0,Chris Wood,Dribble,Ashley Westwood,Pass (Live),2021-08-14,Burnley,Brighton
Shane Duffy,35.0,Brighton,Off Target,10,Head,0,Pascal Groß,Pass (Dead),0,0,2021-08-14,Burnley,Brighton
Ben Mee,36.0,Burnley,Woodwork,4,Head,0,0,0,0,0,2021-08-14,Burnley,Brighton
James Tarkowski,36.0,Burnley,Off Target,7,Right Foot,Volley,0,0,0,0,2021-08-14,Burnley,Brighton
Neal Maupay,38.0,Brighton,Saved,17,Right Foot,Overhead kick,Enock Mwepu,Pass (Live),Neal Maupay,Pass (Live),2021-08-14,Burnley,Brighton
Shane Duffy,41.0,Brighton,Blocked,11,Head,0,Solly March,Pass (Dead),0,0,2021-08-14,Burnley,Brighton
Pascal Groß,41.0,Brighton,Blocked,20,Right Foot,Half volley,Shane Duffy,Shot,0,0,2021-08-14,Burnley,Brighton
Neal Maupay,41.0,Brighton,Off Target,9,Head,0,Solly March,Pass (Live),Adam Webster,Pass (Live),2021-08-14,Burnley,Brighton
Neal Maupay,47.0,Brighton,Blocked,11,Right Foot,0,Steven Alzate,Pass (Live),Pascal Groß,Pass (Live),2021-08-14,Burnley,Brighton
Adam Webster,47.0,Brighton,Blocked,9,Head,0,Pascal Groß,Pass (Dead),Neal Maupay,Shot,2021-08-14,Burnley,Brighton
Jóhann Berg Guðmundsson,52.0,Burnley,Off Target,20,Left Foot,Free kick,Charlie Taylor,Fouled,Jay Rodriguez,Pass (Live),2021-08-14,Burnley,Brighton
James Tarkowski,54.0,Burnley,Off Target,4,Head,0,Dwight McNeil,Pass (Live),Ashley Westwood,Pass (Live),2021-08-14,Burnley,Brighton
Leandro Trossard,58.0,Brighton,Off Target,11,Left Foot,0,Steven Alzate,Pass (Live),Pascal Groß,Pass (Live),2021-08-14,Burnley,Brighton
Shane Duffy,67.0,Brighton,Saved,12,Head,0,Solly March,Pass (Dead),Leandro Trossard,Dribble,2021-08-14,Burnley,Brighton
Chris Wood,68.0,Burnley,Wayward,11,Head,0,Dwight McNeil,Pass (Live),Jóhann Berg Guðmundsson,Pass (Live),2021-08-14,Burnley,Brighton
Chris Wood,72.0,Burnley,Blocked,21,Right Foot,0,Ashley Barnes,Pass (Live),0,0,2021-08-14,Burnley,Brighton
Neal Maupay,73.0,Brighton,Goal,5,Right Foot,Deflected,Jakub Moder,Pass (Live),Yves Bissouma,Pass (Live),2021-08-14,Burnley,Brighton
Alexis Mac Allister,78.0,Brighton,Goal,10,Right Foot,0,Pascal Groß,Pass (Live),Adam Webster,Pass (Live),2021-08-14,Burnley,Brighton
Jack Cork,84.0,Burnley,Blocked,25,Right Foot,0,Josh Brownhill,Pass (Live),Matthew Lowton,Pass (Live),2021-08-14,Burnley,Brighton
Matěj Vydra,85.0,Burnley,Blocked,21,Left Foot,0,Chris Wood,Pass (Live),Matthew Lowton,Pass (Live),2021-08-14,Burnley,Brighton
Matěj Vydra,88.0,Burnley,Off Target,8,Head,0,Charlie Taylor,Pass (Live),Ben Mee,Pass (Live),2021-08-14,Burnley,Brighton
Jakub Moder,90.2,Brighton,Saved,22,Right Foot,Half volley,Robert Sánchez,Pass (Live),Lewis Dunk,Pass (Live),2021-08-14,Burnley,Brighton
Pascal Groß,90.2,Brighton,Blocked,28,Right Foot,Lob,Jakub Moder,Shot,0,0,2021-08-14,Burnley,Brighton
Emi Buendía,2.0,Aston Villa,Blocked,22,Right Foot,0,Ashley Young,Pass (Live),Danny Ings,Pass (Live),2021-08-14,Watford,Aston Villa
Ismaila Sarr,3.0,Watford,Off Target,19,Right Foot,Volley,0,0,0,0,2021-08-14,Watford,Aston Villa
Emmanuel Dennis,10.0,Watford,Blocked,12,Right Foot,0,Ismaila Sarr,Pass (Live),Tom Cleverley,Pass (Live),2021-08-14,Watford,Aston Villa
Emmanuel Dennis,10.0,Watford,Goal,11,Right Foot,0,Emmanuel Dennis,Shot,0,0,2021-08-14,Watford,Aston Villa
Ismaila Sarr,28.0,Watford,Saved,23,Right Foot,Half volley,Ismaila Sarr,Dribble,Emmanuel Dennis,Pass (Live),2021-08-14,Watford,Aston Villa
Emmanuel Dennis,29.0,Watford,Saved,12,Right Foot,0,Emmanuel Dennis,Dribble,Ismaila Sarr,Pass (Live),2021-08-14,Watford,Aston Villa
Juraj Kucka,32.0,Watford,Off Target,21,Right Foot,Half volley,Emmanuel Dennis,Pass (Live),Juraj Kucka,Pass (Live),2021-08-14,Watford,Aston Villa
Ashley Young,33.0,Aston Villa,Off Target,14,Head,0,Matt Targett,Pass (Live),Anwar El Ghazi,Pass (Dead),2021-08-14,Watford,Aston Villa
Christian Kabasele,40.0,Watford,Off Target,6,Head,0,Ken Sema,Pass (Dead),Ken Sema,Fouled,2021-08-14,Watford,Aston Villa
Ismaila Sarr,42.0,Watford,Goal,16,Right Foot,Deflected,Emmanuel Dennis,Pass (Live),Ismaila Sarr,Pass (Live),2021-08-14,Watford,Aston Villa
Juraj Kucka,43.0,Watford,Off Target,27,Left Foot,0,Emmanuel Dennis,Pass (Live),Emmanuel Dennis,Dribble,2021-08-14,Watford,Aston Villa
Jacob Ramsey,49.0,Aston Villa,Off Target,19,Left Foot,Half volley,0,0,0,0,2021-08-14,Watford,Aston Villa
John McGinn,50.0,Aston Villa,Off Target,23,Left Foot,0,0,0,0,0,2021-08-14,Watford,Aston Villa
Emmanuel Dennis,51.0,Watford,Saved,19,Right Foot,0,Ismaila Sarr,Pass (Live),Emmanuel Dennis,Pass (Live),2021-08-14,Watford,Aston Villa
Emmanuel Dennis,64.0,Watford,Blocked,15,Right Foot,0,Ken Sema,Pass (Live),Emmanuel Dennis,Pass (Live),2021-08-14,Watford,Aston Villa
Cucho,67.0,Watford,Goal,22,Right Foot,0,Tom Cleverley,Pass (Live),Juraj Kucka,Fouled,2021-08-14,Watford,Aston Villa
John McGinn,70.0,Aston Villa,Goal,19,Left Foot,Half volley,Leon Bailey,Pass (Live),Ashley Young,Pass (Live),2021-08-14,Watford,Aston Villa
Leon Bailey,83.0,Aston Villa,Blocked,15,Right Foot,0,Jacob Ramsey,Pass (Live),Bertrand Traoré,Pass (Live),2021-08-14,Watford,Aston Villa
Leon Bailey,88.0,Aston Villa,Off Target,28,Left Foot,Free kick,Jacob Ramsey,Fouled,Danny Ings,Dribble,2021-08-14,Watford,Aston Villa
Cucho,90.0,Watford,Saved,23,Right Foot,0,Oghenekaro Etebo,Pass (Live),0,0,2021-08-14,Watford,Aston Villa
John McGinn,90.0,Aston Villa,Wayward,23,Left Foot,Half volley,Ashley Young,Pass (Live),Marvelous Nakamba,Pass (Live),2021-08-14,Watford,Aston Villa
Danny Ings (pen),90.7,Aston Villa,Goal,12,Right Foot,0,Bertrand Traoré,Fouled,Bertrand Traoré,Dribble,2021-08-14,Watford,Aston Villa
Matty Cash,90.8,Aston Villa,Wayward,25,Right Foot,Volley,0,0,0,0,2021-08-14,Watford,Aston Villa
Bertrand Traoré,90.8,Aston Villa,Blocked,16,Left Foot,Half volley,Bertrand Traoré,Dribble,Matty Cash,Shot,2021-08-14,Watford,Aston Villa
César Azpilicueta,7.0,Chelsea,Off Target,22,Right Foot,0,0,0,0,0,2021-08-14,Chelsea,Crystal Palace
Christian Pulisic,10.0,Chelsea,Saved,11,Head,0,Marcos Alonso,Pass (Live),Mateo Kovačić,Pass (Live),2021-08-14,Chelsea,Crystal Palace
Mateo Kovačić,13.0,Chelsea,Blocked,23,Right Foot,0,Timo Werner,Pass (Live),Marcos Alonso,Pass (Dead),2021-08-14,Chelsea,Crystal Palace
Mason Mount,15.0,Chelsea,Saved,27,Right Foot,Free kick,Mason Mount,Fouled,Christian Pulisic,Pass (Live),2021-08-14,Chelsea,Crystal Palace
Mateo Kovačić,22.0,Chelsea,Wayward,26,Right Foot,Half volley,0,0,0,0,2021-08-14,Chelsea,Crystal Palace
Marcos Alonso,27.0,Chelsea,Goal,24,Left Foot,Free kick,Mason Mount,Fouled,César Azpilicueta,Pass (Live),2021-08-14,Chelsea,Crystal Palace
Mason Mount,34.0,Chelsea,Blocked,25,Right Foot,Free kick,Christian Pulisic,Fouled,Jorginho,Pass (Live),2021-08-14,Chelsea,Crystal Palace
Christian Pulisic,40.0,Chelsea,Goal,6,Left Foot,0,César Azpilicueta,Pass (Live),Mason Mount,Pass (Live),2021-08-14,Chelsea,Crystal Palace
Timo Werner,44.0,Chelsea,Off Target,9,Right Foot,0,Marcos Alonso,Pass (Live),Jorginho,Pass (Live),2021-08-14,Chelsea,Crystal Palace
Marcos Alonso,47.0,Chelsea,Saved,15,Left Foot,Volley,Jorginho,Pass (Live),Mason Mount,Pass (Live),2021-08-14,Chelsea,Crystal Palace
Marcos Alonso,48.0,Chelsea,Off Target,28,Left Foot,Free kick,Mason Mount,Fouled,0,0,2021-08-14,Chelsea,Crystal Palace
Wilfried Zaha,53.0,Crystal Palace,Blocked,12,Right Foot,0,Jordan Ayew,Pass (Live),0,0,2021-08-14,Chelsea,Crystal Palace
Jeffrey Schlupp,54.0,Crystal Palace,Off Target,10,Left Foot,Half volley,Marc Guéhi,Pass (Live),Jaïro Riedewald,Pass (Dead),2021-08-14,Chelsea,Crystal Palace
Trevoh Chalobah,58.0,Chelsea,Goal,27,Right Foot,0,Mateo Kovačić,Pass (Live),Jorginho,Pass (Live),2021-08-14,Chelsea,Crystal Palace
Jordan Ayew,63.0,Crystal Palace,Saved,8,Head,0,James McArthur,Pass (Live),0,0,2021-08-14,Chelsea,Crystal Palace
Mason Mount,68.0,Chelsea,Blocked,26,Right Foot,0,Mateo Kovačić,Pass (Live),Reece James,Pass (Live),2021-08-14,Chelsea,Crystal Palace
Christian Benteke,90.0,Crystal Palace,Off Target,14,Right Foot,Volley,Joachim Andersen,Pass (Live),Wilfried Zaha,Pass (Live),2021-08-14,Chelsea,Crystal Palace
Allan,3.0,Everton,Saved,21,Right Foot,0,Demarai Gray,Pass (Live),Allan,Pass (Live),2021-08-14,Everton,Southampton
Adam Armstrong,5.0,Southampton,Off Target,14,Head,0,James Ward-Prowse,Pass (Dead),Che Adams,Fouled,2021-08-14,Everton,Southampton
Dominic Calvert-Lewin,10.0,Everton,Off Target,4,Head,0,Demarai Gray,Pass (Live),Séamus Coleman,Pass (Live),2021-08-14,Everton,Southampton
Adam Armstrong,22.0,Southampton,Goal,15,Right Foot,0,Che Adams,Pass (Live),Che Adams,Tackle,2021-08-14,Everton,Southampton
Lucas Digne,34.0,Everton,Blocked,23,Left Foot,Free kick,Dominic Calvert-Lewin,Fouled,Demarai Gray,Pass (Live),2021-08-14,Everton,Southampton
Dominic Calvert-Lewin,35.0,Everton,Off Target,6,Head,0,Andros Townsend,Pass (Live),Abdoulaye Doucouré,Pass (Live),2021-08-14,Everton,Southampton
Adam Armstrong,41.0,Southampton,Saved,16,Left Foot,Half volley,0,0,0,0,2021-08-14,Everton,Southampton
Lucas Digne,44.0,Everton,Off Target,26,Left Foot,Half volley,0,0,0,0,2021-08-14,Everton,Southampton
Richarlison,47.0,Everton,Goal,5,Left Foot,Volley,Andros Townsend,Pass (Live),0,0,2021-08-14,Everton,Southampton
Michael Keane,51.0,Everton,Blocked,8,Left Foot,0,Richarlison,Pass (Live),Lucas Digne,Pass (Live),2021-08-14,Everton,Southampton
Dominic Calvert-Lewin,51.0,Everton,Saved,2,Right Foot,Half volley,Michael Keane,Shot,0,0,2021-08-14,Everton,Southampton
Abdoulaye Doucouré,54.0,Everton,Blocked,13,Head,0,Andros Townsend,Pass (Live),Abdoulaye Doucouré,Pass (Live),2021-08-14,Everton,Southampton
Mohammed Salisu,72.0,Southampton,Saved,16,Left Foot,Overhead kick,Romain Perraud,Pass (Live),0,0,2021-08-14,Everton,Southampton
Alex Iwobi,74.0,Everton,Wayward,9,Right Foot,Volley,Séamus Coleman,Pass (Live),Abdoulaye Doucouré,Pass (Live),2021-08-14,Everton,Southampton
Abdoulaye Doucouré,76.0,Everton,Goal,17,Right Foot,0,Alex Iwobi,Pass (Live),Séamus Coleman,Pass (Live),2021-08-14,Everton,Southampton
Oriol Romeu,78.0,Southampton,Blocked,25,Right Foot,Half volley,0,0,0,0,2021-08-14,Everton,Southampton
Dominic Calvert-Lewin,81.0,Everton,Goal,6,Head,Diving header,Richarlison,Pass (Live),Alex Iwobi,Pass (Live),2021-08-14,Everton,Southampton
Dominic Calvert-Lewin,85.0,Everton,Off Target,16,Right Foot,0,Lucas Digne,Pass (Live),0,0,2021-08-14,Everton,Southampton
Ibrahima Diallo,87.0,Southampton,Blocked,5,Head,0,James Ward-Prowse,Pass (Dead),Che Adams,Fouled,2021-08-14,Everton,Southampton
Alex Iwobi,88.0,Everton,Saved,16,Left Foot,0,Richarlison,Pass (Live),Lucas Digne,Pass (Live),2021-08-14,Everton,Southampton
Diogo Jota,11.0,Liverpool,Saved,9,Head,0,Naby Keïta,Pass (Live),0,0,2021-08-14,Norwich City,Liverpool
Mohamed Salah,18.0,Liverpool,Saved,13,Right Foot,0,Mohamed Salah,Dribble,Trent Alexander-Arnold,Pass (Live),2021-08-14,Norwich City,Liverpool
Alex Oxlade-Chamberlain,19.0,Liverpool,Off Target,24,Right Foot,Half volley,0,0,0,0,2021-08-14,Norwich City,Liverpool
Teemu Pukki,20.0,Norwich City,Saved,13,Right Foot,0,Todd Cantwell,Pass (Live),Max Aarons,Pass (Live),2021-08-14,Norwich City,Liverpool
Lukas Rupp,20.0,Norwich City,Off Target,25,Right Foot,Half volley,0,0,0,0,2021-08-14,Norwich City,Liverpool
