date,time,squad_h,squad_a,stadium,referee,attendance
2018-09-01,15:00 ,West Ham,Wolves,London Stadium,Chris Kavanagh,56947
2018-09-01,15:00 ,Everton,Huddersfield,Goodison Park,Stuart Attwell,38767
2018-09-01,17:30 ,Manchester City,Newcastle Utd,Etihad Stadium,Kevin Friend,53946
2018-09-02,13:30 ,Cardiff City,Arsenal,Cardiff City Stadium,Anthony Taylor,32316
2018-09-02,16:00 ,Watford,Tottenham,Vicarage Road Stadium,Andre Marriner,20141
2018-09-02,16:00 ,Burnley,Manchester Utd,Turf Moor,Jonathan Moss,21525
2018-09-15,12:30 ,Tottenham,Liverpool,Wembley Stadium,Michael Oliver,80188
2018-09-15,15:00 ,Manchester City,Fulham,Etihad Stadium,Stuart Attwell,53307
2018-09-15,15:00 ,Bournemouth,Leicester City,Vitality Stadium,Craig Pawson,10543
2018-09-15,15:00 ,Newcastle Utd,Arsenal,St. James' Park,Lee Probert,52165
2018-09-15,15:00 ,Chelsea,Cardiff City,Stamford Bridge,Jonathan Moss,40499
2018-09-15,15:00 ,Huddersfield,Crystal Palace,The John Smith's Stadium,Lee Mason,23696
2018-09-15,17:30 ,Watford,Manchester Utd,Vicarage Road Stadium,Mike Dean,20537
2018-09-16,13:30 ,Wolves,Burnley,Molineux Stadium,Andre Marriner,30406
2018-09-16,16:00 ,Everton,West Ham,Goodison Park,Martin Atkinson,39161
2018-09-17,20:00 ,Southampton,Brighton,St. Mary's Stadium,Anthony Taylor,28811
2018-09-22,12:30 ,Fulham,Watford,Craven Cottage,Martin Atkinson,23418
2018-09-22,15:00 ,Burnley,Bournemouth,Turf Moor,Anthony Taylor,18636
2018-09-22,15:00 ,Cardiff City,Manchester City,Cardiff City Stadium,Michael Oliver,32321
2018-09-22,15:00 ,Leicester City,Huddersfield,King Power Stadium,David Coote,31676
2018-09-22,15:00 ,Liverpool,Southampton,Anfield,Paul Tierney,50965
2018-09-22,15:00 ,Manchester Utd,Wolves,Old Trafford,Kevin Friend,74489
2018-09-22,15:00 ,Crystal Palace,Newcastle Utd,Selhurst Park,Andre Marriner,25679
2018-09-22,17:30 ,Brighton,Tottenham,The American Express Community Stadium,Chris Kavanagh,30531
2018-09-23,13:30 ,West Ham,Chelsea,London Stadium,Mike Dean,56875
2018-09-23,16:00 ,Arsenal,Everton,Emirates Stadium,Jonathan Moss,59964
2018-09-29,12:30 ,West Ham,Manchester Utd,London Stadium,Michael Oliver,56938
2018-09-29,15:00 ,Huddersfield,Tottenham,The John Smith's Stadium,Craig Pawson,23885
2018-09-29,15:00 ,Everton,Fulham,Goodison Park,Roger East,38788
2018-09-29,15:00 ,Newcastle Utd,Leicester City,St. James' Park,Simon Hooper,51523
2018-09-29,15:00 ,Arsenal,Watford,Emirates Stadium,Anthony Taylor,60019
2018-09-29,15:00 ,Manchester City,Brighton,Etihad Stadium,Lee Mason,54152
2018-09-29,15:00 ,Wolves,Southampton,Molineux Stadium,Stuart Attwell,31147
2018-09-29,17:30 ,Chelsea,Liverpool,Stamford Bridge,Andre Marriner,40625
2018-09-30,16:00 ,Cardiff City,Burnley,Cardiff City Stadium,Martin Atkinson,30411
2018-10-01,20:00 ,Bournemouth,Crystal Palace,Vitality Stadium,Mike Dean,10199
2018-10-05,20:00 ,Brighton,West Ham,The American Express Community Stadium,Kevin Friend,30544
2018-10-06,15:00 ,Watford,Bournemouth,Vicarage Road Stadium,Jonathan Moss,20139
2018-10-06,15:00 ,Crystal Palace,Wolves,Selhurst Park,Michael Oliver,25715
2018-10-06,15:00 ,Burnley,Huddersfield,Turf Moor,Chris Kavanagh,20533
2018-10-06,15:00 ,Leicester City,Everton,King Power Stadium,Andre Marriner,32007
2018-10-06,15:00 ,Tottenham,Cardiff City,Wembley Stadium,Mike Dean,43268
2018-10-06,17:30 ,Manchester Utd,Newcastle Utd,Old Trafford,Anthony Taylor,74519
2018-10-07,12:00 ,Fulham,Arsenal,Craven Cottage,Paul Tierney,25401
2018-10-07,14:15 ,Southampton,Chelsea,St. Mary's Stadium,Craig Pawson,27077
2018-10-07,16:30 ,Liverpool,Manchester City,Anfield,Martin Atkinson,52117
2018-10-20,12:30 ,Chelsea,Manchester Utd,Stamford Bridge,Mike Dean,40721
2018-10-20,15:00 ,West Ham,Tottenham,London Stadium,Martin Atkinson,56921
2018-10-20,15:00 ,Newcastle Utd,Brighton,St. James' Park,Andre Marriner,50329
2018-10-20,15:00 ,Wolves,Watford,Molineux Stadium,Lee Mason,31144
2018-10-20,15:00 ,Manchester City,Burnley,Etihad Stadium,Jonathan Moss,54094
2018-10-20,15:00 ,Bournemouth,Southampton,Vitality Stadium,Lee Probert,10986
2018-10-20,15:00 ,Cardiff City,Fulham,Cardiff City Stadium,Kevin Friend,29681
2018-10-20,17:30 ,Huddersfield,Liverpool,The John Smith's Stadium,Michael Oliver,24263
2018-10-21,16:00 ,Everton,Crystal Palace,Goodison Park,Anthony Taylor,38668
2018-10-22,20:00 ,Arsenal,Leicester City,Emirates Stadium,Chris Kavanagh,59886
2018-10-27,15:00 ,Fulham,Bournemouth,Craven Cottage,Andre Marriner,25071
2018-10-27,15:00 ,Liverpool,Cardiff City,Anfield,Stuart Attwell,53373
2018-10-27,15:00 ,Southampton,Newcastle Utd,St. Mary's Stadium,Chris Kavanagh,30736
2018-10-27,15:00 ,Brighton,Wolves,The American Express Community Stadium,Anthony Taylor,30654
2018-10-27,15:00 ,Watford,Huddersfield,Vicarage Road Stadium,Mike Dean,20457
2018-10-27,17:30 ,Leicester City,West Ham,King Power Stadium,Michael Oliver,31848
2018-10-28,13:30 ,Crystal Palace,Arsenal,Selhurst Park,Martin Atkinson,25718
2018-10-28,13:30 ,Burnley,Chelsea,Turf Moor,Craig Pawson,21430
2018-10-28,16:00 ,Manchester Utd,Everton,Old Trafford,Jonathan Moss,74525
2018-10-29,20:00 ,Tottenham,Manchester City,Wembley Stadium,Kevin Friend,56854
2018-11-03,12:30 ,Bournemouth,Manchester Utd,Vitality Stadium,Paul Tierney,10792
2018-11-03,15:00 ,West Ham,Burnley,London Stadium,Roger East,56862
2018-11-03,15:00 ,Cardiff City,Leicester City,Cardiff City Stadium,Lee Probert,30877
2018-11-03,15:00 ,Newcastle Utd,Watford,St. James' Park,Craig Pawson,49157
2018-11-03,15:00 ,Everton,Brighton,Goodison Park,David Coote,38966
2018-11-03,17:30 ,Arsenal,Liverpool,Emirates Stadium,Andre Marriner,59993
2018-11-03,19:45 ,Wolves,Tottenham,Molineux Stadium,Mike Dean,31185
2018-11-04,15:00 ,Manchester City,Southampton,Etihad Stadium,Lee Mason,53916
2018-11-04,16:00 ,Chelsea,Crystal Palace,Stamford Bridge,Michael Oliver,40407
2018-11-05,20:00 ,Huddersfield,Fulham,The John Smith's Stadium,Anthony Taylor,17082
2018-11-10,12:30 ,Cardiff City,Brighton,Cardiff City Stadium,Martin Atkinson,29402
2018-11-10,15:00 ,Newcastle Utd,Bournemouth,St. James' Park,Lee Probert,49266
2018-11-10,15:00 ,Leicester City,Burnley,King Power Stadium,Mike Dean,32184
2018-11-10,15:00 ,Huddersfield,West Ham,The John Smith's Stadium,Chris Kavanagh,24069
2018-11-10,15:00 ,Southampton,Watford,St. Mary's Stadium,Simon Hooper,28153
2018-11-10,17:30 ,Crystal Palace,Tottenham,Selhurst Park,Jonathan Moss,25685
2018-11-11,12:00 ,Liverpool,Fulham,Anfield,Paul Tierney,53128
2018-11-11,14:15 ,Chelsea,Everton,Stamford Bridge,Kevin Friend,40345
2018-11-11,16:30 ,Manchester City,Manchester Utd,Etihad Stadium,Anthony Taylor,54316
2018-11-11,16:30 ,Arsenal,Wolves,Emirates Stadium,Stuart Attwell,60030
2018-11-24,15:00 ,Fulham,Southampton,Craven Cottage,Michael Oliver,24603
2018-11-24,15:00 ,Everton,Cardiff City,Goodison Park,Paul Tierney,39139
2018-11-24,15:00 ,Manchester Utd,Crystal Palace,Old Trafford,Lee Mason,74516
2018-11-24,15:00 ,Brighton,Leicester City,The American Express Community Stadium,Chris Kavanagh,30553
2018-11-24,15:00 ,Watford,Liverpool,Vicarage Road Stadium,Jonathan Moss,20540
2018-11-24,15:00 ,West Ham,Manchester City,London Stadium,Andre Marriner,56886
2018-11-24,17:30 ,Tottenham,Chelsea,Wembley Stadium,Martin Atkinson,55465
2018-11-25,13:30 ,Bournemouth,Arsenal,Vitality Stadium,Craig Pawson,10792
2018-11-25,16:00 ,Wolves,Huddersfield,Molineux Stadium,Kevin Friend,30130
2018-11-26,20:30 ,Burnley,Newcastle Utd,Turf Moor,Anthony Taylor,20628
2018-11-30,20:00 ,Cardiff City,Wolves,Cardiff City Stadium,Andre Marriner,30213
2018-12-01,15:00 ,Manchester City,Bournemouth,Etihad Stadium,Stuart Attwell,54409
2018-12-01,15:00 ,Leicester City,Watford,King Power Stadium,Graham Scott,31353
2018-12-01,15:00 ,Huddersfield,Brighton,The John Smith's Stadium,Michael Oliver,22973
2018-12-01,15:00 ,Newcastle Utd,West Ham,St. James' Park,Paul Tierney,51853
2018-12-01,15:00 ,Crystal Palace,Burnley,Selhurst Park,Lee Probert,25098
2018-12-01,17:30 ,Southampton,Manchester Utd,St. Mary's Stadium,Kevin Friend,30187
2018-12-02,12:00 ,Chelsea,Fulham,Stamford Bridge,Craig Pawson,40551
2018-12-02,14:05 ,Arsenal,Tottenham,Emirates Stadium,Mike Dean,59973
2018-12-02,16:15 ,Liverpool,Everton,Anfield,Chris Kavanagh,51756
2018-12-04,19:45 ,West Ham,Cardiff City,London Stadium,Graham Scott,56811
2018-12-04,19:45 ,Bournemouth,Huddersfield,Vitality Stadium,Roger East,9980
2018-12-04,19:45 ,Brighton,Crystal Palace,The American Express Community Stadium,Kevin Friend,29663
2018-12-04,20:00 ,Watford,Manchester City,Vicarage Road Stadium,Paul Tierney,20389
2018-12-05,19:45 ,Fulham,Leicester City,Craven Cottage,David Coote,22881
2018-12-05,19:45 ,Wolves,Chelsea,Molineux Stadium,Jonathan Moss,31300
2018-12-05,19:45 ,Burnley,Liverpool,Turf Moor,Stuart Attwell,21741
2018-12-05,19:45 ,Everton,Newcastle Utd,Goodison Park,Lee Mason,39350
2018-12-05,20:00 ,Tottenham,Southampton,Wembley Stadium,Anthony Taylor,33012
2018-12-05,20:00 ,Manchester Utd,Arsenal,Old Trafford,Andre Marriner,74507
2018-12-08,12:30 ,Bournemouth,Liverpool,Vitality Stadium,Lee Mason,10752
2018-12-08,15:00 ,Cardiff City,Southampton,Cardiff City Stadium,Jonathan Moss,30067
2018-12-08,15:00 ,Burnley,Brighton,Turf Moor,Martin Atkinson,18497
2018-12-08,15:00 ,Manchester Utd,Fulham,Old Trafford,Lee Probert,74523
2018-12-08,15:00 ,Arsenal,Huddersfield,Emirates Stadium,Paul Tierney,59893
2018-12-08,15:00 ,West Ham,Crystal Palace,London Stadium,Anthony Taylor,56995
2018-12-08,17:30 ,Chelsea,Manchester City,Stamford Bridge,Michael Oliver,40571
2018-12-08,19:45 ,Leicester City,Tottenham,King Power Stadium,Craig Pawson,31957
2018-12-09,16:00 ,Newcastle Utd,Wolves,St. James' Park,Mike Dean,50223
2018-12-10,20:00 ,Everton,Watford,Goodison Park,Kevin Friend,38400
2018-12-15,12:30 ,Manchester City,Everton,Etihad Stadium,Craig Pawson,54173
2018-12-15,15:00 ,Huddersfield,Newcastle Utd,The John Smith's Stadium,Anthony Taylor,24036
2018-12-15,15:00 ,Wolves,Bournemouth,Molineux Stadium,Simon Hooper,30997
2018-12-15,15:00 ,Watford,Cardiff City,Vicarage Road Stadium,Andy Madley,20032
2018-12-15,15:00 ,Crystal Palace,Leicester City,Selhurst Park,Michael Oliver,24738
2018-12-15,15:00 ,Tottenham,Burnley,Wembley Stadium,Graham Scott,41645
2018-12-15,17:30 ,Fulham,West Ham,Craven Cottage,Mike Dean,24081
2018-12-16,13:30 ,Brighton,Chelsea,The American Express Community Stadium,Stuart Attwell,30645
2018-12-16,13:30 ,Southampton,Arsenal,St. Mary's Stadium,Chris Kavanagh,29497
2018-12-16,16:00 ,Liverpool,Manchester Utd,Anfield,Martin Atkinson,52908
2018-12-21,20:00 ,Wolves,Liverpool,Molineux Stadium,Craig Pawson,31358
2018-12-22,12:30 ,Arsenal,Burnley,Emirates Stadium,Kevin Friend,59493
2018-12-22,15:00 ,Manchester City,Crystal Palace,Etihad Stadium,Andre Marriner,54340
2018-12-22,15:00 ,West Ham,Watford,London Stadium,Lee Mason,56833
2018-12-22,15:00 ,Chelsea,Leicester City,Stamford Bridge,Lee Probert,40558
2018-12-22,15:00 ,Newcastle Utd,Fulham,St. James' Park,Martin Atkinson,51237
2018-12-22,15:00 ,Huddersfield,Southampton,The John Smith's Stadium,Stuart Attwell,22384
2018-12-22,15:00 ,Bournemouth,Brighton,Vitality Stadium,Mike Dean,10491
2018-12-22,17:30 ,Cardiff City,Manchester Utd,Cardiff City Stadium,Michael Oliver,33028
2018-12-23,16:00 ,Everton,Tottenham,Goodison Park,Paul Tierney,39319
2018-12-26,12:30 ,Fulham,Wolves,Craven Cottage,Andre Marriner,24382
2018-12-26,15:00 ,Crystal Palace,Cardiff City,Selhurst Park,Lee Probert,25206
2018-12-26,15:00 ,Leicester City,Manchester City,King Power Stadium,Mike Dean,32090
2018-12-26,15:00 ,Tottenham,Bournemouth,Wembley Stadium,Chris Kavanagh,45154
2018-12-26,15:00 ,Manchester Utd,Huddersfield,Old Trafford,Jonathan Moss,74523
2018-12-26,15:00 ,Burnley,Everton,Turf Moor,Michael Oliver,21484
2018-12-26,15:00 ,Liverpool,Newcastle Utd,Anfield,Graham Scott,53318
2018-12-26,17:15 ,Brighton,Arsenal,The American Express Community Stadium,Anthony Taylor,30608
2018-12-26,19:30 ,Watford,Chelsea,Vicarage Road Stadium,Martin Atkinson,20415
2018-12-27,19:45 ,Southampton,West Ham,St. Mary's Stadium,Craig Pawson,31654
2018-12-29,15:00 ,Brighton,Everton,The American Express Community Stadium,Andy Madley,30597
2018-12-29,15:00 ,Leicester City,Cardiff City,King Power Stadium,Simon Hooper,32047
2018-12-29,15:00 ,Tottenham,Wolves,Wembley Stadium,Stuart Attwell,46356
2018-12-29,15:00 ,Watford,Newcastle Utd,Vicarage Road Stadium,Roger East,20336
2018-12-29,15:00 ,Fulham,Huddersfield,Craven Cottage,Kevin Friend,24423
2018-12-29,17:30 ,Liverpool,Arsenal,Anfield,Michael Oliver,53326
2018-12-30,12:00 ,Crystal Palace,Chelsea,Selhurst Park,Craig Pawson,25781
2018-12-30,14:15 ,Burnley,West Ham,Turf Moor,David Coote,20933
2018-12-30,14:15 ,Southampton,Manchester City,St. Mary's Stadium,Paul Tierney,31381
2018-12-30,16:30 ,Manchester Utd,Bournemouth,Old Trafford,Lee Mason,74556
2019-01-01,12:30 ,Everton,Leicester City,Goodison Park,Martin Atkinson,39052
2019-01-01,15:00 ,Arsenal,Fulham,Emirates Stadium,Graham Scott,59887
2019-01-01,17:30 ,Cardiff City,Tottenham,Cardiff City Stadium,Kevin Friend,32485
2019-01-02,19:45 ,West Ham,Brighton,London Stadium,Chris Kavanagh,59870
2019-01-02,19:45 ,Chelsea,Southampton,Stamford Bridge,Jonathan Moss,40668
2019-01-02,19:45 ,Wolves,Crystal Palace,Molineux Stadium,Roger East,30666
2019-01-02,19:45 ,Huddersfield,Burnley,The John Smith's Stadium,Mike Dean,23715
2019-01-02,19:45 ,Bournemouth,Watford,Vitality Stadium,David Coote,10261
2019-01-02,20:00 ,Newcastle Utd,Manchester Utd,St. James' Park,Andre Marriner,52217
2019-01-03,20:00 ,Manchester City,Liverpool,Etihad Stadium,Anthony Taylor,54511
2019-01-12,12:30 ,West Ham,Arsenal,London Stadium,Jonathan Moss,59946
2019-01-12,15:00 ,Brighton,Liverpool,The American Express Community Stadium,Kevin Friend,30682
2019-01-12,15:00 ,Leicester City,Southampton,King Power Stadium,Michael Oliver,31491
2019-01-12,15:00 ,Burnley,Fulham,Turf Moor,Martin Atkinson,19316
2019-01-12,15:00 ,Cardiff City,Huddersfield,Cardiff City Stadium,Lee Mason,30725
2019-01-12,15:00 ,Crystal Palace,Watford,Selhurst Park,Paul Tierney,25010
2019-01-12,17:30 ,Chelsea,Newcastle Utd,Stamford Bridge,Chris Kavanagh,40491
2019-01-13,14:15 ,Everton,Bournemouth,Goodison Park,Anthony Taylor,38113
2019-01-13,16:30 ,Tottenham,Manchester Utd,Wembley Stadium,Mike Dean,80062
2019-01-14,20:00 ,Manchester City,Wolves,Etihad Stadium,Craig Pawson,54171
2019-01-19,12:30 ,Wolves,Leicester City,Molineux Stadium,Chris Kavanagh,31278
2019-01-19,15:00 ,Watford,Burnley,Vicarage Road Stadium,Michael Oliver,19510
2019-01-19,15:00 ,Southampton,Everton,St. Mary's Stadium,Graham Scott,29989
2019-01-19,15:00 ,Manchester Utd,Brighton,Old Trafford,Paul Tierney,74532
2019-01-19,15:00 ,Liverpool,Crystal Palace,Anfield,Jonathan Moss,53171
2019-01-19,15:00 ,Bournemouth,West Ham,Vitality Stadium,Simon Hooper,10495
2019-01-19,15:00 ,Newcastle Utd,Cardiff City,St. James' Park,Stuart Attwell,49864
2019-01-19,17:30 ,Arsenal,Chelsea,Emirates Stadium,Anthony Taylor,59979
2019-01-20,13:30 ,Huddersfield,Manchester City,The John Smith's Stadium,Andre Marriner,24190
2019-01-20,16:00 ,Fulham,Tottenham,Craven Cottage,Craig Pawson,24807
2019-01-29,19:45 ,Wolves,West Ham,Molineux Stadium,David Coote,31122
2019-01-29,19:45 ,Fulham,Brighton,Craven Cottage,Lee Probert,22008
2019-01-29,19:45 ,Huddersfield,Everton,The John Smith's Stadium,Stuart Attwell,23699
2019-01-29,19:45 ,Arsenal,Cardiff City,Emirates Stadium,Mike Dean,59933
2019-01-29,20:00 ,Newcastle Utd,Manchester City,St. James' Park,Paul Tierney,50861
2019-01-29,20:00 ,Manchester Utd,Burnley,Old Trafford,Jonathan Moss,74529
2019-01-30,19:45 ,Bournemouth,Chelsea,Vitality Stadium,Roger East,10227
2019-01-30,19:45 ,Southampton,Crystal Palace,St. Mary's Stadium,Andre Marriner,28339
2019-01-30,20:00 ,Tottenham,Watford,Wembley Stadium,Graham Scott,29164
2019-01-30,20:00 ,Liverpool,Leicester City,Anfield,Martin Atkinson,53092
2019-02-02,12:30 ,Tottenham,Newcastle Utd,Wembley Stadium,Andre Marriner,41219
2019-02-02,15:00 ,Burnley,Southampton,Turf Moor,Anthony Taylor,19787
2019-02-02,15:00 ,Brighton,Watford,The American Express Community Stadium,Simon Hooper,30414
2019-02-02,15:00 ,Crystal Palace,Fulham,Selhurst Park,Michael Oliver,25355
2019-02-02,15:00 ,Everton,Wolves,Goodison Park,Lee Mason,39380
2019-02-02,15:00 ,Chelsea,Huddersfield,Stamford Bridge,Paul Tierney,40626
2019-02-02,17:30 ,Cardiff City,Bournemouth,Cardiff City Stadium,Jonathan Moss,31939
2019-02-03,14:05 ,Leicester City,Manchester Utd,King Power Stadium,Mike Dean,32148
2019-02-03,16:30 ,Manchester City,Arsenal,Etihad Stadium,Martin Atkinson,54483
2019-02-04,20:00 ,West Ham,Liverpool,London Stadium,Kevin Friend,59903
2019-02-06,19:45 ,Everton,Manchester City,Goodison Park,Craig Pawson,39322
2019-02-09,12:30 ,Fulham,Manchester Utd,Craven Cottage,Paul Tierney,25001
2019-02-09,15:00 ,Huddersfield,Arsenal,The John Smith's Stadium,Jonathan Moss,24182
2019-02-09,15:00 ,Southampton,Cardiff City,St. Mary's Stadium,Martin Atkinson,31438
2019-02-09,15:00 ,Watford,Everton,Vicarage Road Stadium,Lee Probert,20333
2019-02-09,15:00 ,Liverpool,Bournemouth,Anfield,Anthony Taylor,53178
2019-02-09,15:00 ,Crystal Palace,West Ham,Selhurst Park,Craig Pawson,25552
2019-02-09,17:30 ,Brighton,Burnley,The American Express Community Stadium,Stuart Attwell,29323
2019-02-10,13:30 ,Tottenham,Leicester City,Wembley Stadium,Michael Oliver,44154
2019-02-10,16:00 ,Manchester City,Chelsea,Etihad Stadium,Mike Dean,54452
2019-02-11,20:00 ,Wolves,Newcastle Utd,Molineux Stadium,Graham Scott,30687
2019-02-22,19:45 ,Cardiff City,Watford,Cardiff City Stadium,Simon Hooper,30387
2019-02-22,19:45 ,West Ham,Fulham,London Stadium,Lee Mason,59950
2019-02-23,12:30 ,Burnley,Tottenham,Turf Moor,Mike Dean,21338
2019-02-23,15:00 ,Newcastle Utd,Huddersfield,St. James' Park,Kevin Friend,52174
2019-02-23,15:00 ,Bournemouth,Wolves,Vitality Stadium,Roger East,10671
2019-02-23,17:30 ,Leicester City,Crystal Palace,King Power Stadium,Anthony Taylor,31778
2019-02-24,14:05 ,Manchester Utd,Liverpool,Old Trafford,Michael Oliver,74519
2019-02-24,14:05 ,Arsenal,Southampton,Emirates Stadium,Graham Scott,59877
2019-02-26,19:45 ,Leicester City,Brighton,King Power Stadium,Lee Probert,30558
2019-02-26,19:45 ,Huddersfield,Wolves,The John Smith's Stadium,David Coote,22714
2019-02-26,19:45 ,Cardiff City,Everton,Cardiff City Stadium,Kevin Friend,31849
2019-02-26,20:00 ,Newcastle Utd,Burnley,St. James' Park,Craig Pawson,48323
2019-02-27,19:45 ,Southampton,Fulham,St. Mary's Stadium,Anthony Taylor,27597
2019-02-27,19:45 ,Arsenal,Bournemouth,Emirates Stadium,Chris Kavanagh,59618
2019-02-27,20:00 ,Crystal Palace,Manchester Utd,Selhurst Park,Martin Atkinson,25754
2019-02-27,20:00 ,Manchester City,West Ham,Etihad Stadium,Stuart Attwell,53528
2019-02-27,20:00 ,Chelsea,Tottenham,Stamford Bridge,Andre Marriner,40542
2019-02-27,20:00 ,Liverpool,Watford,Anfield,Graham Scott,53316
2019-03-02,12:30 ,Tottenham,Arsenal,Wembley Stadium,Anthony Taylor,81332
2019-03-02,15:00 ,Manchester Utd,Southampton,Old Trafford,Stuart Attwell,74459
2019-03-02,15:00 ,Bournemouth,Manchester City,Vitality Stadium,Kevin Friend,10699
2019-03-02,15:00 ,Wolves,Cardiff City,Molineux Stadium,Andre Marriner,31309
2019-03-02,15:00 ,Burnley,Crystal Palace,Turf Moor,Lee Probert,19223
2019-03-02,15:00 ,Brighton,Huddersfield,The American Express Community Stadium,Mike Dean,30182
2019-03-02,17:30 ,West Ham,Newcastle Utd,London Stadium,Chris Kavanagh,59910
2019-03-03,12:00 ,Watford,Leicester City,Vicarage Road Stadium,Jonathan Moss,20062
2019-03-03,14:05 ,Fulham,Chelsea,Craven Cottage,Graham Scott,24900
2019-03-03,16:15 ,Everton,Liverpool,Goodison Park,Martin Atkinson,39335
2019-03-09,12:30 ,Crystal Palace,Brighton,Selhurst Park,Craig Pawson,24972
2019-03-09,15:00 ,Newcastle Utd,Everton,St. James' Park,Lee Mason,52242
2019-03-09,15:00 ,Leicester City,Fulham,King Power Stadium,David Coote,32017
2019-03-09,15:00 ,Southampton,Tottenham,St. Mary's Stadium,Kevin Friend,31890
2019-03-09,15:00 ,Cardiff City,West Ham,Cardiff City Stadium,Graham Scott,32458
2019-03-09,15:00 ,Huddersfield,Bournemouth,The John Smith's Stadium,Anthony Taylor,22304
2019-03-09,17:30 ,Manchester City,Watford,Etihad Stadium,Paul Tierney,54104
2019-03-10,12:00 ,Liverpool,Burnley,Anfield,Andre Marriner,53310
2019-03-10,14:05 ,Chelsea,Wolves,Stamford Bridge,Michael Oliver,40692
2019-03-10,16:30 ,Arsenal,Manchester Utd,Emirates Stadium,Jonathan Moss,60000
2019-03-16,15:00 ,Burnley,Leicester City,Turf Moor,Michael Oliver,20719
2019-03-16,15:00 ,West Ham,Huddersfield,London Stadium,Jonathan Moss,59931
2019-03-16,15:00 ,Bournemouth,Newcastle Utd,Vitality Stadium,Mike Dean,10625
2019-03-17,14:15 ,Fulham,Liverpool,Craven Cottage,Craig Pawson,25043
2019-03-17,16:30 ,Everton,Chelsea,Goodison Park,Anthony Taylor,39356
2019-03-30,12:30 ,Fulham,Manchester City,Craven Cottage,Kevin Friend,25001
2019-03-30,15:00 ,Manchester Utd,Watford,Old Trafford,Stuart Attwell,74543
2019-03-30,15:00 ,Burnley,Wolves,Turf Moor,Chris Kavanagh,20990
2019-03-30,15:00 ,Crystal Palace,Huddersfield,Selhurst Park,Lee Probert,25193
2019-03-30,15:00 ,Brighton,Southampton,The American Express Community Stadium,Michael Oliver,30636
2019-03-30,15:00 ,Leicester City,Bournemouth,King Power Stadium,Lee Mason,31530
2019-03-30,17:30 ,West Ham,Everton,London Stadium,Paul Tierney,59988
2019-03-31,14:05 ,Cardiff City,Chelsea,Cardiff City Stadium,Craig Pawson,32657
