rank,prev_rank,name,league,off,def,spi
98,87.0,Young Boys,Swiss Raiffeisen Super League,2.04,1.36,60.41
99,100.0,Nantes,French Ligue 1,1.52,0.92,60.04
100,105.0,Alavés,Spanish Primera Division,1.58,0.98,59.94
101,93.0,Bologna,Italy Serie A,1.61,1.01,59.81
102,114.0,Club Brugge,Belgian Jupiler League,1.91,1.28,59.63
103,99.0,Watford,Barclays Premier League,1.61,1.03,59.33
104,113.0,Cagliari,Italy Serie A,1.67,1.1,58.99
105,102.0,Dynamo Kiev,UEFA Champions League,1.66,1.09,58.89
106,85.0,Kawasaki Frontale,Japanese J League,1.74,1.19,58.32
107,115.0,Genk,Belgian Jupiler League,1.8,1.24,58.22
108,103.0,Cruz Azul,Mexican Primera Division Torneo Clausura,1.6,1.07,58.06
109,107.0,Anderlecht,Belgian Jupiler League,1.67,1.14,57.87
110,98.0,Brest,French Ligue 1,1.59,1.08,57.59
111,121.0,Reims,French Ligue 1,1.38,0.9,57.56
112,123.0,FC Twente,Dutch Eredivisie,1.65,1.14,57.46
113,104.0,Granada,Spanish Primera Division,1.59,1.09,57.4
114,119.0,KAA Gent,Belgian Jupiler League,1.45,0.97,57.26
115,109.0,Union Saint Gilloise,Belgian Jupiler League,1.57,1.08,57.22
116,132.0,Dinamo Moscow,Russian Premier Liga,1.54,1.07,56.74
117,116.0,Hertha Berlin,German Bundesliga,1.69,1.21,56.62
118,120.0,Montpellier,French Ligue 1,1.58,1.12,56.56
119,106.0,Bodo/Glimt,Norwegian Tippeligaen,1.73,1.26,56.45
120,112.0,Sampdoria,Italy Serie A,1.58,1.12,56.42
121,126.0,Gil Vicente,Portuguese Liga,1.44,1.0,56.37
122,110.0,Sheffield United,English League Championship,1.43,0.98,56.33
123,111.0,Arminia Bielefeld,German Bundesliga,1.51,1.06,56.27
124,122.0,Boca Juniors,Argentina Primera Division,1.39,0.96,55.99
125,124.0,FC Krasnodar,Russian Premier Liga,1.6,1.16,55.75
126,143.0,CSKA Moscow,Russian Premier Liga,1.34,0.93,55.71
127,136.0,Empoli,Italy Serie A,1.75,1.32,55.44
128,125.0,Angers,French Ligue 1,1.38,0.98,55.29
129,128.0,Sparta Prague,UEFA Europa League,1.61,1.2,55.28
130,138.0,Toulouse,French Ligue 2,1.68,1.26,55.27
131,131.0,Red Star Belgrade,UEFA Europa League,1.63,1.22,55.08
132,130.0,São Paulo,Brasileiro Série A,1.37,0.98,55.06
133,140.0,AFC Bournemouth,English League Championship,1.52,1.12,54.97
134,134.0,Corinthians,Brasileiro Série A,1.37,0.98,54.95
135,135.0,FC Midtjylland,Danish SAS-Ligaen,1.66,1.28,54.51
136,137.0,Famalicao,Portuguese Liga,1.42,1.05,54.47
137,142.0,Ferencvaros,UEFA Europa League,1.62,1.25,54.15
138,127.0,Norwich City,Barclays Premier League,1.47,1.12,54.14
139,129.0,Club América,Mexican Primera Division Torneo Clausura,1.5,1.14,54.14
140,148.0,Pachuca,Mexican Primera Division Torneo Clausura,1.54,1.18,54.07
141,157.0,Cadiz,Spanish Primera Division,1.43,1.08,53.88
142,149.0,Vitesse,Dutch Eredivisie,1.63,1.29,53.54
143,151.0,Sochi,Russian Premier Liga,1.49,1.16,53.47
144,161.0,Lorient,French Ligue 1,1.38,1.06,53.11
145,147.0,Middlesbrough,English League Championship,1.4,1.1,52.78
146,163.0,Bragantino,Brasileiro Série A,1.46,1.16,52.72
147,144.0,New York City FC,Major League Soccer,1.54,1.24,52.67
148,141.0,Fluminense,Brasileiro Série A,1.32,1.03,52.6
149,153.0,Guimaraes,Portuguese Liga,1.51,1.22,52.49
150,158.0,Fenerbahce,Turkish Turkcell Super Lig,1.55,1.27,52.41
151,165.0,Los Angeles FC,Major League Soccer,1.69,1.4,52.32
152,155.0,Internacional,Brasileiro Série A,1.4,1.13,52.15
153,168.0,SK Sturm Graz,Austrian T-Mobile Bundesliga,1.68,1.4,52.05
154,152.0,Molde,Norwegian Tippeligaen,1.81,1.54,52.02
155,145.0,PAOK Salonika,Greek Super League,1.39,1.13,51.86
156,154.0,Clermont Foot,French Ligue 1,1.36,1.1,51.86
157,180.0,FC Zurich,Swiss Raiffeisen Super League,1.8,1.53,51.85
158,160.0,St Etienne,French Ligue 1,1.37,1.11,51.79
159,159.0,LASK Linz,Austrian T-Mobile Bundesliga,1.56,1.3,51.73
160,162.0,SpVgg Greuther Fürth,German Bundesliga,1.57,1.32,51.72
161,146.0,Basel,Swiss Raiffeisen Super League,1.83,1.59,51.32
162,150.0,Antwerp,Belgian Jupiler League,1.5,1.27,50.95
163,166.0,FK Partizan Belgrade,UEFA Europa Conference League,1.4,1.18,50.94
164,117.0,Yokohama F. Marinos,Japanese J League,1.64,1.42,50.79
165,173.0,Atlético Paranaense,Brasileiro Série A,1.3,1.09,50.59
166,169.0,Santos Laguna,Mexican Primera Division Torneo Clausura,1.47,1.26,50.53
167,156.0,Spartak Moscow,Russian Premier Liga,1.47,1.27,50.25
168,170.0,Maccabi Tel-Aviv,UEFA Europa Conference League,1.3,1.11,50.21
169,174.0,León,Mexican Primera Division Torneo Clausura,1.41,1.22,50.02
170,175.0,Legia Warsaw,UEFA Europa League,1.43,1.26,49.78
171,188.0,Troyes,French Ligue 1,1.33,1.16,49.69
172,179.0,Werder Bremen,German 2. Bundesliga,1.63,1.47,49.61
173,164.0,Kashima Antlers,Japanese J League,1.42,1.27,49.28
174,181.0,Defensa y Justicia,Argentina Primera Division,1.34,1.19,49.27
175,139.0,América Mineiro,Brasileiro Série A,1.3,1.15,49.25
176,183.0,Santa Clara,Portuguese Liga,1.34,1.2,49.09
177,186.0,Luton Town,English League Championship,1.24,1.1,48.87
178,205.0,Santos,Brasileiro Série A,1.22,1.08,48.8
179,167.0,Atlas,Mexican Primera Division Torneo Clausura,1.2,1.06,48.71
180,191.0,Genoa,Italy Serie A,1.33,1.21,48.55
181,184.0,Brondby,Danish SAS-Ligaen,1.34,1.22,48.51
182,182.0,New England Revolution,Major League Soccer,1.62,1.51,48.49
183,190.0,Heracles,Dutch Eredivisie,1.41,1.3,48.41
184,213.0,Nottingham Forest,English League Championship,1.23,1.12,48.13
185,193.0,FC Groningen,Dutch Eredivisie,1.31,1.21,48.08
186,172.0,Istanbul Basaksehir,Turkish Turkcell Super Lig,1.29,1.19,47.99
187,187.0,Guadalajara,Mexican Primera Division Torneo Clausura,1.39,1.3,47.86
188,189.0,Portimonense,Portuguese Liga,1.18,1.08,47.75
189,194.0,FC Sheriff Tiraspol,UEFA Europa League,1.49,1.41,47.71
190,176.0,Spezia,Italy Serie A,1.41,1.33,47.65
191,171.0,Fortaleza,Brasileiro Série A,1.24,1.15,47.64
192,177.0,West Bromwich Albion,English League Championship,1.17,1.08,47.56
193,199.0,FK Austria Vienna,Austrian T-Mobile Bundesliga,1.34,1.26,47.38
194,198.0,Boavista,Portuguese Liga,1.31,1.24,47.27
195,195.0,Stoke City,English League Championship,1.21,1.14,47.11
196,192.0,Schalke 04,German 2. Bundesliga,1.5,1.45,47.11
197,185.0,Seattle Sounders FC,Major League Soccer,1.32,1.26,47.09
198,217.0,Rapid Vienna,Austrian T-Mobile Bundesliga,1.45,1.4,47.0
199,201.0,Hamburg SV,German 2. Bundesliga,1.52,1.48,46.87
200,216.0,Besiktas,Turkish Turkcell Super Lig,1.51,1.47,46.84
201,204.0,Velez Sarsfield,Argentina Primera Division,1.15,1.09,46.64
202,203.0,Puebla,Mexican Primera Division Torneo Clausura,1.29,1.24,46.62
203,223.0,New York Red Bulls,Major League Soccer,1.32,1.29,46.53
204,202.0,KV Mechelen,Belgian Jupiler League,1.66,1.65,46.53
205,214.0,Preston North End,English League Championship,1.14,1.09,46.43
206,178.0,Ceará,Brasileiro Série A,1.24,1.2,46.41
207,220.0,Real Valladolid,Spanish Segunda Division,1.35,1.32,46.41
208,209.0,Lokomotiv Moscow,Russian Premier Liga,1.24,1.21,46.36
209,234.0,Malmo FF,Swedish Allsvenskan,1.45,1.43,46.31
210,259.0,Alanyaspor,Turkish Turkcell Super Lig,1.61,1.61,46.28
211,197.0,Estoril Praia,Portuguese Liga,1.21,1.17,46.26
212,206.0,F.B.C Unione Venezia,Italy Serie A,1.39,1.37,46.24
213,232.0,Rosenborg,Norwegian Tippeligaen,1.55,1.54,46.2
214,211.0,Blackburn,English League Championship,1.15,1.12,46.01
215,208.0,Coventry City,English League Championship,1.22,1.2,45.99
216,215.0,Anorthosis Famagusta,UEFA Europa Conference League,1.27,1.26,45.86
217,218.0,FK Qarabag,UEFA Europa Conference League,1.4,1.4,45.72
218,222.0,Bordeaux,French Ligue 1,1.46,1.48,45.49
219,196.0,Adana Demirspor,Turkish Turkcell Super Lig,1.25,1.25,45.45
220,236.0,Pacos Ferreira,Portuguese Liga,1.12,1.12,45.17
221,221.0,Metz,French Ligue 1,1.16,1.17,45.13
