id,first_name,second_name,team,name
529,Romelu,Lukaku,6,Romelu Lukaku
539,Emerson,Palmieri dos Santos,6,Emerson Palmieri dos Santos
592,Saúl,Ñíguez,6,Saúl Ñíguez
606,Marcus,Bettinelli,6,Marcus Bettinelli
144,Conor,Gallagher,7,Conor Gallagher
146,Vicente,Guaita,7,Vicente Guaita
147,James,Tomkins,7,James Tomkins
148,James,McArthur,7,James McArthur
149,Christian,Benteke,7,Christian Benteke
150,Cheikhou,Kouyaté,7,Cheikhou Kouyaté
151,Martin,Kelly,7,Martin Kelly
152,Luka,Milivojevic,7,Luka Milivojevic
153,Jordan,Ayew,7,Jordan Ayew
154,Wilfried,Zaha,7,Wilfried Zaha
155,Jeffrey,Schlupp,7,Jeffrey Schlupp
156,Jack,Butland,7,Jack Butland
157,Jairo,Riedewald,7,Jairo Riedewald
158,Jarosław,Jach,7,Jarosław Jach
159,Jean-Philippe,Mateta,7,Jean-Philippe Mateta
160,Eberechi,Eze,7,Eberechi Eze
161,Nathan,Ferguson,7,Nathan Ferguson
162,Tyrick,Mitchell,7,Tyrick Mitchell
386,Will,Hughes,7,Will Hughes
464,Michael,Olise,7,Michael Olise
474,Joel,Ward,7,Joel Ward
477,Marc,Guéhi,7,Marc Guéhi
488,Joachim,Andersen,7,Joachim Andersen
493,Nathaniel,Clyne,7,Nathaniel Clyne
540,Reece,Hannam,7,Reece Hannam
541,Jesurun,Rak-Sakyi,7,Jesurun Rak-Sakyi
542,Robert,Street,7,Robert Street
543,Scott,Banks,7,Scott Banks
561,Remi,Matthews,7,Remi Matthews
586,Odsonne,Edouard,7,Odsonne Edouard
163,Fabian,Delph,8,Fabian Delph
164,Gylfi,Sigurdsson,8,Gylfi Sigurdsson
165,Seamus,Coleman,8,Seamus Coleman
166,James,Rodríguez,8,James Rodríguez
167,Bernard,Anício Caldeira Duarte,8,Bernard Anício Caldeira Duarte
168,Lucas,Digne,8,Lucas Digne
169,Michael,Keane,8,Michael Keane
170,Jordan,Pickford,8,Jordan Pickford
171,Allan,Marques Loureiro,8,Allan Marques Loureiro
172,André Filipe,Tavares Gomes,8,André Filipe Tavares Gomes
173,Abdoulaye,Doucouré,8,Abdoulaye Doucouré
174,Alex,Iwobi,8,Alex Iwobi
175,Yerry,Mina,8,Yerry Mina
176,Tom,Davies,8,Tom Davies
177,Dominic,Calvert-Lewin,8,Dominic Calvert-Lewin
178,Mason,Holgate,8,Mason Holgate
179,Ben,Godfrey,8,Ben Godfrey
180,Richarlison,de Andrade,8,Richarlison de Andrade
181,João,Virgínia,8,João Virgínia
481,Asmir,Begović,8,Asmir Begović
482,Andros,Townsend,8,Andros Townsend
484,Demarai,Gray,8,Demarai Gray
502,Jonjoe,Kenny,8,Jonjoe Kenny
503,Anthony,Gordon,8,Anthony Gordon
504,Jean-Philippe,Gbamin,8,Jean-Philippe Gbamin
544,Jarrad,Branthwaite,8,Jarrad Branthwaite
545,Nathan,Broadhead,8,Nathan Broadhead
564,Moise,Kean,8,Moise Kean
570,Niels,Nkounkou,8,Niels Nkounkou
571,Andy,Lonergan,8,Andy Lonergan
591,Salomón,Rondón,8,Salomón Rondón
602,Ellis,Simms,8,Ellis Simms
607,Lewis,Dobbin,8,Lewis Dobbin
613,Charlie,Whitaker,8,Charlie Whitaker
616,Harry,Tyrer,8,Harry Tyrer
622,Cenk,Tosun,8,Cenk Tosun
623,Reece,Welch,8,Reece Welch
630,Tyler,Onyango,8,Tyler Onyango
200,Kasper,Schmeichel,9,Kasper Schmeichel
201,Jonny,Evans,9,Jonny Evans
202,Marc,Albrighton,9,Marc Albrighton
203,Nampalys,Mendy,9,Nampalys Mendy
204,Danny,Ward,9,Danny Ward
205,Jamie,Vardy,9,Jamie Vardy
206,Dennis,Praet,9,Dennis Praet
207,Ricardo Domingos,Barbosa Pereira,9,Ricardo Domingos Barbosa Pereira
208,Daniel,Amartey,9,Daniel Amartey
209,Timothy,Castagne,9,Timothy Castagne
210,Youri,Tielemans,9,Youri Tielemans
211,Ayoze,Pérez,9,Ayoze Pérez
212,James,Maddison,9,James Maddison
213,Kelechi,Iheanacho,9,Kelechi Iheanacho
214,Hamza,Choudhury,9,Hamza Choudhury
215,Harvey,Barnes,9,Harvey Barnes
216,Wilfred,Ndidi,9,Wilfred Ndidi
217,Çaglar,Söyüncü,9,Çaglar Söyüncü
218,James,Justin,9,James Justin
219,Luke,Thomas,9,Luke Thomas
220,Wesley,Fofana,9,Wesley Fofana
340,Jannik,Vestergaard,9,Jannik Vestergaard
455,Patson,Daka,9,Patson Daka
458,Boubakary,Soumaré,9,Boubakary Soumaré
473,Ryan,Bertrand,9,Ryan Bertrand
505,Kiernan,Dewsbury-Hall,9,Kiernan Dewsbury-Hall
573,Eldin,Jakupovic,9,Eldin Jakupovic
587,Ademola,Lookman,9,Ademola Lookman
182,Pablo,Hernández Domínguez,10,Pablo Hernández Domínguez
183,Francisco,Casilla Cortés,10,Francisco Casilla Cortés
184,Liam,Cooper,10,Liam Cooper
185,Luke,Ayling,10,Luke Ayling
186,Mateusz,Klich,10,Mateusz Klich
187,Rodrigo,Moreno,10,Rodrigo Moreno
188,Stuart,Dallas,10,Stuart Dallas
189,Patrick,Bamford,10,Patrick Bamford
190,Diego,Llorente,10,Diego Llorente
191,Kalvin,Phillips,10,Kalvin Phillips
192,Hélder Wander,Sousa de Azevedo e Costa,10,Hélder Wander Sousa de Azevedo e Costa
193,Tyler,Roberts,10,Tyler Roberts
194,Robin,Koch,10,Robin Koch
195,Ian Carlo,Poveda-Ocampo,10,Ian Carlo Poveda-Ocampo
196,Raphael,Dias Belloli,10,Raphael Dias Belloli
197,Jamie,Shackleton,10,Jamie Shackleton
198,Pascal,Struijk,10,Pascal Struijk
199,Illan,Meslier,10,Illan Meslier
267,Jack,Harrison,10,Jack Harrison
287,Daniel,James,10,Daniel James
463,Héctor Junior,Firpo Adames,10,Héctor Junior Firpo Adames
490,Kristoffer,Klaesson,10,Kristoffer Klaesson
550,Sam,Greenwood,10,Sam Greenwood
551,Crysencio,Summerville,10,Crysencio Summerville
552,Adam,Forshaw,10,Adam Forshaw
562,Cody,Drameh,10,Cody Drameh
563,Charlie,Cresswell,10,Charlie Cresswell
576,Liam,McCarron,10,Liam McCarron
577,Joe,Gelhardt,10,Joe Gelhardt
600,Nohan,Kenneh,10,Nohan Kenneh
601,Stuart,McKinstry,10,Stuart McKinstry
608,Leo Fuhr,Hjelde,10,Leo Fuhr Hjelde
624,Lewis,Bate,10,Lewis Bate
631,Jack,Jenkins,10,Jack Jenkins
221,James,Milner,11,James Milner
222,Jordan,Henderson,11,Jordan Henderson
223,Adrián,San Miguel del Castillo,11,Adrián San Miguel del Castillo
224,Joel,Matip,11,Joel Matip
225,Thiago,Alcántara do Nascimento,11,Thiago Alcántara do Nascimento
226,Xherdan,Shaqiri,11,Xherdan Shaqiri
227,Alex,Oxlade-Chamberlain,11,Alex Oxlade-Chamberlain
