rank,prev_rank,name,league,off,def,spi
92,92.0,Girona FC,Spanish Primera Division,1.69,1.02,61.29
93,91.0,Espanyol,Spanish Primera Division,1.69,1.03,61.03
94,95.0,Tigres UANL,Mexican Primera Division Torneo Apertura,1.57,0.93,60.71
95,96.0,Shakhtar Donetsk,UEFA Champions League,1.88,1.23,60.14
96,,Slovácko,UEFA Europa Conference League,1.83,1.21,59.58
97,93.0,Internacional,Brasileiro Série A,1.6,1.01,59.49
98,100.0,Red Star Belgrade,UEFA Europa League,1.76,1.18,58.99
99,99.0,Pachuca,Mexican Primera Division Torneo Apertura,1.5,0.96,58.43
100,104.0,FC Augsburg,German Bundesliga,1.71,1.18,58.01
101,110.0,Spartak Moscow,Russian Premier Liga,1.74,1.21,57.89
102,106.0,Almeria,Spanish Primera Division,1.53,1.02,57.72
103,107.0,Real Valladolid,Spanish Primera Division,1.57,1.06,57.67
104,114.0,Molde,Norwegian Tippeligaen,1.93,1.39,57.67
105,98.0,Fulham,Barclays Premier League,1.7,1.18,57.65
106,101.0,Norwich City,English League Championship,1.62,1.12,57.25
107,105.0,Verona,Italy Serie A,1.63,1.13,57.11
108,127.0,Reims,French Ligue 1,1.49,1.03,56.63
109,102.0,Fluminense,Brasileiro Série A,1.5,1.04,56.57
110,108.0,CSKA Moscow,Russian Premier Liga,1.54,1.08,56.51
111,125.0,Anderlecht,Belgian Jupiler League,1.63,1.17,56.41
112,121.0,Lorient,French Ligue 1,1.55,1.1,56.35
113,118.0,Philadelphia Union,Major League Soccer,1.75,1.29,56.24
114,109.0,FC Utrecht,Dutch Eredivisie,1.74,1.28,56.23
115,123.0,Bodo/Glimt,Norwegian Tippeligaen,1.89,1.42,56.14
116,120.0,Trabzonspor,Turkish Turkcell Super Lig,1.66,1.21,55.97
117,117.0,SK Sturm Graz,Austrian T-Mobile Bundesliga,1.59,1.16,55.65
118,128.0,AFC Bournemouth,Barclays Premier League,1.5,1.09,55.57
119,111.0,Cadiz,Spanish Primera Division,1.47,1.05,55.55
120,124.0,Antwerp,Belgian Jupiler League,1.59,1.18,55.13
121,103.0,Schalke 04,German Bundesliga,1.64,1.24,55.1
122,122.0,Corinthians,Brasileiro Série A,1.28,0.9,54.97
123,157.0,Burnley,English League Championship,1.45,1.07,54.87
124,131.0,Ferencvaros,UEFA Europa League,1.67,1.28,54.82
125,126.0,Union Saint Gilloise,Belgian Jupiler League,1.62,1.22,54.82
126,129.0,Troyes,French Ligue 1,1.61,1.22,54.79
127,116.0,River Plate,Argentina Primera Division,1.43,1.05,54.73
128,132.0,Toulouse,French Ligue 1,1.54,1.16,54.6
129,139.0,Viktoria Plzen,UEFA Champions League,1.73,1.35,54.54
130,137.0,Nottingham Forest,Barclays Premier League,1.51,1.14,54.47
131,141.0,Santos,Brasileiro Série A,1.31,0.95,54.46
132,,SC Dnipro-1,UEFA Europa Conference League,1.7,1.32,54.45
133,140.0,FC Midtjylland,Danish SAS-Ligaen,1.73,1.35,54.29
134,135.0,Los Angeles FC,Major League Soccer,1.74,1.37,54.14
135,112.0,Nantes,French Ligue 1,1.47,1.12,54.13
136,133.0,Montpellier,French Ligue 1,1.57,1.22,53.86
137,142.0,Bragantino,Brasileiro Série A,1.47,1.12,53.81
138,115.0,Sheffield United,English League Championship,1.52,1.19,53.61
139,149.0,VfL Bochum,German Bundesliga,1.66,1.32,53.5
140,166.0,KAA Gent,Belgian Jupiler League,1.55,1.21,53.49
141,150.0,FK Partizan Belgrade,UEFA Europa Conference League,1.49,1.16,53.41
142,113.0,Istanbul Basaksehir,Turkish Turkcell Super Lig,1.32,1.01,53.26
143,134.0,Watford,English League Championship,1.48,1.16,53.17
144,138.0,Dynamo Kiev,UEFA Europa League,1.5,1.18,53.13
145,146.0,Gil Vicente,Portuguese Liga,1.47,1.15,53.1
146,151.0,FC Copenhagen,Danish SAS-Ligaen,1.56,1.25,52.94
147,136.0,Olympiacos,Greek Super League,1.42,1.11,52.92
148,130.0,Steaua Bucuresti,UEFA Europa Conference League,1.5,1.21,52.48
149,144.0,West Bromwich Albion,English League Championship,1.4,1.12,52.41
150,179.0,Silkeborg,Danish SAS-Ligaen,1.68,1.4,52.27
151,153.0,Bologna,Italy Serie A,1.49,1.21,52.22
152,143.0,Guimaraes,Portuguese Liga,1.31,1.04,52.12
153,161.0,Besiktas,Turkish Turkcell Super Lig,1.57,1.3,52.11
154,172.0,América Mineiro,Brasileiro Série A,1.33,1.06,52.08
155,165.0,AC Ajaccio,French Ligue 1,1.34,1.07,51.96
156,148.0,Elche,Spanish Primera Division,1.47,1.21,51.9
157,145.0,Angers,French Ligue 1,1.49,1.23,51.89
158,154.0,FC Sheriff Tiraspol,UEFA Europa League,1.54,1.28,51.82
159,164.0,Fortaleza,Brasileiro Série A,1.27,1.01,51.8
160,156.0,Brest,French Ligue 1,1.47,1.21,51.79
161,163.0,Atlético Paranaense,Brasileiro Série A,1.33,1.08,51.76
162,162.0,Vitesse,Dutch Eredivisie,1.53,1.28,51.74
163,170.0,Kawasaki Frontale,Japanese J League,1.73,1.48,51.5
164,158.0,Monza,Italy Serie A,1.43,1.19,51.46
165,168.0,Guadalajara,Mexican Primera Division Torneo Apertura,1.34,1.1,51.4
166,155.0,Galatasaray,Turkish Turkcell Super Lig,1.4,1.17,51.3
167,159.0,Lecce,Italy Serie A,1.36,1.13,51.25
168,169.0,Clermont Foot,French Ligue 1,1.43,1.2,51.01
169,185.0,Adana Demirspor,Turkish Turkcell Super Lig,1.55,1.32,50.96
170,171.0,Sampdoria,Italy Serie A,1.44,1.22,50.88
171,147.0,FC Krasnodar,Russian Premier Liga,1.5,1.28,50.88
172,152.0,Yokohama F. Marinos,Japanese J League,1.58,1.37,50.76
173,160.0,Santos Laguna,Mexican Primera Division Torneo Apertura,1.65,1.44,50.75
174,207.0,Rosenborg,Norwegian Tippeligaen,1.9,1.69,50.62
175,174.0,New York City FC,Major League Soccer,1.53,1.32,50.59
176,167.0,Empoli,Italy Serie A,1.51,1.32,50.21
177,186.0,Montreal Impact,Major League Soccer,1.53,1.35,50.09
178,178.0,Dinamo Moscow,Russian Premier Liga,1.47,1.29,50.07
179,173.0,Heerenveen,Dutch Eredivisie,1.42,1.26,49.62
180,175.0,Cremonese,Italy Serie A,1.47,1.31,49.43
181,208.0,Sochi,Russian Premier Liga,1.49,1.34,49.24
182,183.0,Lech Poznan,UEFA Europa Conference League,1.34,1.21,48.87
183,196.0,Maccabi Haifa,UEFA Champions League,1.59,1.46,48.79
184,184.0,Portimonense,Portuguese Liga,1.26,1.12,48.78
185,177.0,Famalicao,Portuguese Liga,1.31,1.19,48.41
186,192.0,RKC,Dutch Eredivisie,1.57,1.47,48.39
187,201.0,Botafogo,Brasileiro Série A,1.19,1.07,48.32
188,181.0,NEC,Dutch Eredivisie,1.36,1.26,48.1
189,212.0,AEK Athens,Greek Super League,1.4,1.3,47.99
190,190.0,Estoril Praia,Portuguese Liga,1.23,1.13,47.94
191,213.0,Luton Town,English League Championship,1.29,1.19,47.85
192,205.0,Vizela,Portuguese Liga,1.31,1.22,47.83
193,197.0,Salernitana,Italy Serie A,1.5,1.42,47.78
194,188.0,Panathinaikos,Greek Super League,1.17,1.08,47.76
195,199.0,Ceará,Brasileiro Série A,1.12,1.03,47.55
196,202.0,Cruz Azul,Mexican Primera Division Torneo Apertura,1.35,1.27,47.47
197,200.0,Basel,Swiss Raiffeisen Super League,1.52,1.46,47.42
198,193.0,Hapoel Be'er,UEFA Europa Conference League,1.43,1.36,47.38
199,189.0,Rostov,Russian Premier Liga,1.5,1.44,47.35
200,211.0,Bordeaux,French Ligue 2,1.31,1.24,47.34
201,182.0,Konyaspor,Turkish Turkcell Super Lig,1.27,1.19,47.33
202,180.0,LASK Linz,Austrian T-Mobile Bundesliga,1.56,1.51,47.24
203,176.0,Rapid Vienna,Austrian T-Mobile Bundesliga,1.33,1.26,47.24
204,210.0,Parma,Italy Serie B,1.36,1.3,47.14
205,194.0,FK Qarabag,UEFA Europa League,1.41,1.35,47.12
206,204.0,Spezia,Italy Serie A,1.39,1.34,47.08
207,195.0,Auxerre,French Ligue 1,1.37,1.32,47.01
208,198.0,Urawa Red Diamonds,Japanese J League,1.33,1.28,46.8
209,254.0,Stoke City,English League Championship,1.28,1.23,46.78
210,187.0,Middlesbrough,English League Championship,1.22,1.18,46.49
211,216.0,Santa Clara,Portuguese Liga,1.18,1.13,46.49
212,214.0,Sparta,Dutch Eredivisie,1.36,1.33,46.35
213,245.0,Millwall,English League Championship,1.28,1.25,46.22
214,237.0,Los Angeles Galaxy,Major League Soccer,1.62,1.62,46.02
215,218.0,Chaves,Portuguese Liga,1.3,1.29,45.99
216,217.0,St Gallen,Swiss Raiffeisen Super League,1.67,1.68,45.98
217,219.0,Apollon Limassol,UEFA Europa Conference League,1.28,1.27,45.64
218,233.0,FK Austria Vienna,Austrian T-Mobile Bundesliga,1.42,1.44,45.64
219,267.0,FC Cincinnati,Major League Soccer,1.64,1.66,45.62
220,191.0,Levante,Spanish Segunda Division,1.26,1.26,45.57
221,215.0,Boavista,Portuguese Liga,1.24,1.24,45.46
222,242.0,Huracán,Argentina Primera Division,1.07,1.06,45.33
223,228.0,Argentinos Juniors,Argentina Primera Division,1.14,1.14,45.31
224,241.0,Go Ahead Eagles,Dutch Eredivisie,1.43,1.47,44.97
225,221.0,León,Mexican Primera Division Torneo Apertura,1.39,1.44,44.81
226,226.0,Rio Ave,Portuguese Liga,1.35,1.39,44.78
227,209.0,Valerenga,Norwegian Tippeligaen,1.49,1.56,44.46
228,244.0,Tigre,Argentina Primera Division,1.24,1.29,44.45
229,222.0,Atlanta United FC,Major League Soccer,1.48,1.55,44.44
230,238.0,Cuiaba,Brasileiro Série A,1.07,1.1,44.25
231,225.0,Casa Pia,Portuguese Liga,1.16,1.2,44.24
232,235.0,Atlas,Mexican Primera Division Torneo Apertura,1.23,1.29,44.16
233,236.0,Pumas Unam,Mexican Primera Division Torneo Apertura,1.29,1.36,44.15
234,240.0,Sochaux,French Ligue 2,1.14,1.19,44.1
235,239.0,Nashville SC,Major League Soccer,1.35,1.43,43.99
236,231.0,Boca Juniors,Argentina Primera Division,1.07,1.12,43.97
237,203.0,Hamburg SV,German 2. Bundesliga,1.39,1.48,43.96
238,224.0,Queens Park Rangers,English League Championship,1.22,1.29,43.86
239,253.0,Terek Grozny,Russian Premier Liga,1.29,1.37,43.81
240,255.0,Toluca,Mexican Primera Division Torneo Apertura,1.48,1.59,43.71
241,246.0,FC Nordsjaelland,Danish SAS-Ligaen,1.31,1.4,43.63
242,261.0,Racing Club,Argentina Primera Division,1.24,1.33,43.54
243,249.0,Genoa,Italy Serie B,1.19,1.27,43.44
244,206.0,Puebla,Mexican Primera Division Torneo Apertura,1.31,1.42,43.26
245,243.0,PAOK Salonika,Greek Super League,1.12,1.2,43.24
246,229.0,Wolfsberger AC,Austrian T-Mobile Bundesliga,1.62,1.77,43.1
247,230.0,Velez Sarsfield,Argentina Primera Division,1.09,1.18,43.06
248,227.0,Swansea City,English League Championship,1.27,1.39,42.99
249,282.0,Talleres de Córdoba,Argentina Primera Division,1.11,1.21,42.94
250,250.0,Emmen,Dutch Eredivisie,1.28,1.4,42.92
251,252.0,FC Groningen,Dutch Eredivisie,1.34,1.47,42.9
252,223.0,New York Red Bulls,Major League Soccer,1.17,1.29,42.85
253,220.0,St Etienne,French Ligue 2,1.43,1.58,42.79
254,265.0,Goiás,Brasileiro Série A,1.23,1.37,42.54
255,271.0,Granada,Spanish Segunda Division,1.11,1.23,42.46
256,247.0,Austin FC,Major League Soccer,1.44,1.61,42.37
257,259.0,CFR 1907 Cluj,UEFA Europa Conference League,1.24,1.38,42.37
258,234.0,Sporting de Charleroi,Belgian Jupiler League,1.41,1.57,42.35
259,274.0,FC Arouca,Portuguese Liga,1.15,1.28,42.32
260,251.0,AEK Larnaca,UEFA Europa League,1.11,1.23,42.32
261,232.0,Preston North End,English League Championship,1.07,1.19,42.27
262,290.0,Sheffield Wednesday,English League One,1.31,1.47,42.24
263,256.0,Atlético Goianiense,Brasileiro Série A,1.18,1.33,42.2
264,269.0,St. Truidense,Belgian Jupiler League,1.11,1.24,42.19
265,262.0,Coventry City,English League Championship,1.11,1.24,42.16
266,299.0,Hammarby,Swedish Allsvenskan,1.41,1.59,42.13
267,260.0,Sanfrecce Hiroshima,Japanese J League,1.33,1.5,42.0
268,266.0,Cagliari,Italy Serie B,1.19,1.34,41.99
269,248.0,Randers FC,Danish SAS-Ligaen,1.29,1.46,41.94
270,285.0,Gazisehir Gaziantep,Turkish Turkcell Super Lig,1.28,1.45,41.82
271,280.0,Kayserispor,Turkish Turkcell Super Lig,1.29,1.47,41.79
272,302.0,Blackburn,English League Championship,1.11,1.27,41.53
273,276.0,Ludogorets,UEFA Europa League,1.31,1.51,41.25
274,295.0,FC Volendam,Dutch Eredivisie,1.41,1.63,41.23
275,307.0,Brondby,Danish SAS-Ligaen,1.31,1.51,41.22
276,301.0,Las Palmas,Spanish Segunda Division,0.98,1.14,41.16
277,340.0,Frosinone,Italy Serie B,1.19,1.38,40.99
278,281.0,FC Dallas,Major League Soccer,1.24,1.44,40.97
279,294.0,Fortuna Sittard,Dutch Eredivisie,1.37,1.6,40.91
280,320.0,KVC Westerlo,Belgian Jupiler League,1.32,1.54,40.91
281,277.0,Tijuana,Mexican Primera Division Torneo Apertura,1.26,1.48,40.9
282,279.0,Orlando City SC,Major League Soccer,1.28,1.5,40.85
283,268.0,Cardiff City,English League Championship,1.02,1.2,40.84
284,272.0,CA Independiente,Argentina Primera Division,1.04,1.22,40.81
285,257.0,Metz,French Ligue 2,1.22,1.44,40.77
286,278.0,Sporting Kansas City,Major League Soccer,1.23,1.44,40.77
287,306.0,Standard Liege,Belgian Jupiler League,1.26,1.48,40.66
288,284.0,Columbus Crew,Major League Soccer,1.24,1.47,40.66
289,273.0,Djurgardens IF,Swedish Allsvenskan,1.25,1.47,40.6
290,327.0,Birmingham,English League Championship,1.12,1.33,40.52
291,289.0,Sunderland,English League Championship,1.11,1.31,40.44
292,334.0,Blackpool,English League Championship,1.21,1.44,40.41
293,286.0,Necaxa,Mexican Primera Division Torneo Apertura,1.17,1.39,40.38
294,296.0,SV Darmstadt 98,German 2. Bundesliga,1.36,1.61,40.33
295,377.0,Fatih Karagümrük,Turkish Turkcell Super Lig,1.34,1.59,40.28
296,345.0,Cercle Brugge,Belgian Jupiler League,1.33,1.59,40.22
297,370.0,FC Tokyo,Japanese J League,1.21,1.46,40.07
298,293.0,Alanyaspor,Turkish Turkcell Super Lig,1.4,1.67,40.04
299,309.0,San Lorenzo,Argentina Primera Division,0.9,1.09,40.03
300,264.0,Kasimpasa,Turkish Turkcell Super Lig,1.37,1.64,40.02
301,283.0,Portland Timbers,Major League Soccer,1.48,1.77,39.97
302,310.0,Vissel Kobe,Japanese J League,1.09,1.32,39.92
303,313.0,Eibar,Spanish Segunda Division,0.99,1.21,39.83
304,349.0,Lillestrom,Norwegian Tippeligaen,1.28,1.55,39.83
305,343.0,Le Havre,French Ligue 2,1.04,1.27,39.75
306,298.0,Seattle Sounders FC,Major League Soccer,1.25,1.52,39.74
307,337.0,SC Paderborn,German 2. Bundesliga,1.34,1.63,39.65
308,270.0,Hibernian,Scottish Premiership,1.07,1.31,39.62
309,322.0,Excelsior,Dutch Eredivisie,1.3,1.59,39.57
310,291.0,Krylia Sovetov,Russian Premier Liga,1.1,1.34,39.53
311,338.0,Pacos Ferreira,Portuguese Liga,1.11,1.36,39.5
312,321.0,Real Salt Lake,Major League Soccer,1.19,1.46,39.48
313,275.0,Lokomotiv Moscow,Russian Premier Liga,1.25,1.53,39.46
314,258.0,Bristol City,English League Championship,1.26,1.55,39.39
315,361.0,Newell's Old Boys,Argentina Primera Division,0.97,1.2,39.32
316,311.0,Viborg,Danish SAS-Ligaen,1.17,1.45,39.24
317,318.0,Charlotte FC,Major League Soccer,1.29,1.59,39.23
318,308.0,Antalyaspor,Turkish Turkcell Super Lig,1.29,1.6,39.13
319,328.0,Maritimo,Portuguese Liga,1.23,1.52,39.11
320,333.0,Wigan,English League Championship,1.06,1.33,39.01
321,348.0,OH Leuven,Belgian Jupiler League,1.36,1.69,38.96
322,304.0,FC Zurich,Swiss Raiffeisen Super League,1.35,1.68,38.8
323,314.0,Coritiba,Brasileiro Série A,1.13,1.42,38.8
324,329.0,New England Revolution,Major League Soccer,1.34,1.67,38.77
325,323.0,Kashima Antlers,Japanese J League,1.25,1.57,38.67
326,347.0,BK Hacken,Swedish Allsvenskan,1.44,1.8,38.65
327,316.0,Chicago Fire,Major League Soccer,1.28,1.61,38.63
328,336.0,Minnesota United FC,Major League Soccer,1.36,1.71,38.51
329,312.0,Hearts,Scottish Premiership,1.27,1.6,38.5
330,326.0,Rosario Central,Argentina Primera Division,1.04,1.32,38.47
331,332.0,Estudiantes,Argentina Primera Division,1.16,1.48,38.38
332,331.0,Querétaro,Mexican Primera Division Torneo Apertura,1.17,1.49,38.36
333,263.0,Aberdeen,Scottish Premiership,1.25,1.59,38.31
334,350.0,Colorado Rapids,Major League Soccer,1.32,1.68,38.3
335,354.0,FC St. Pauli,German 2. Bundesliga,1.26,1.61,38.17
336,317.0,SK Austria Klagenfurt,Austrian T-Mobile Bundesliga,1.38,1.76,38.1
337,342.0,Karlsruher SC,German 2. Bundesliga,1.29,1.65,38.1
338,292.0,Ipswich Town,English League One,1.1,1.43,37.79
339,346.0,FC Juárez,Mexican Primera Division Torneo Apertura,0.96,1.26,37.79
340,303.0,Cambuur Leeuwarden,Dutch Eredivisie,1.3,1.69,37.67
341,330.0,Omonia Nicosia,UEFA Europa League,1.23,1.6,37.66
342,344.0,Slovan Bratislava,UEFA Europa Conference League,1.08,1.42,37.61
343,305.0,Alavés,Spanish Segunda Division,1.01,1.35,37.36
344,400.0,Sivasspor,Turkish Turkcell Super Lig,1.17,1.54,37.35
345,297.0,F.B.C Unione Venezia,Italy Serie B,1.18,1.56,37.29
346,357.0,Reading,English League Championship,1.06,1.41,37.24
347,362.0,Paris FC,French Ligue 2,1.01,1.35,37.18
348,325.0,Amiens,French Ligue 2,0.98,1.31,37.18
349,339.0,KV Mechelen,Belgian Jupiler League,1.42,1.85,37.17
350,315.0,Aris Salonika,Greek Super League,0.98,1.31,37.16
351,383.0,AaB,Danish SAS-Ligaen,1.1,1.47,37.14
352,355.0,Mamelodi Sundowns,South African ABSA Premier League,1.09,1.45,37.11
353,403.0,Ternana,Italy Serie B,1.28,1.69,37.05
354,358.0,Union Santa Fe,Argentina Primera Division,0.94,1.28,36.94
355,300.0,IF Elfsborg,Swedish Allsvenskan,1.31,1.73,36.9
356,319.0,Fortuna Düsseldorf,German 2. Bundesliga,1.15,1.54,36.88
357,335.0,Inter Miami CF,Major League Soccer,1.29,1.71,36.77
358,359.0,Malmo FF,Swedish Allsvenskan,1.05,1.42,36.75
359,341.0,FC Luzern,Swiss Raiffeisen Super League,1.23,1.65,36.7
360,287.0,Cerezo Osaka,Japanese J League,1.11,1.52,36.38
361,365.0,Derby County,English League One,1.14,1.55,36.37
362,384.0,FC Lugano,Swiss Raiffeisen Super League,1.22,1.65,36.32
363,356.0,AGF Aarhus,Danish SAS-Ligaen,1.02,1.41,36.27
364,369.0,Mazatlán FC,Mexican Primera Division Torneo Apertura,1.03,1.42,36.26
365,387.0,WSG Swarovski Wattens,Austrian T-Mobile Bundesliga,1.38,1.86,36.22
366,352.0,Benevento,Italy Serie B,1.01,1.4,36.19
367,351.0,FC Cartagena,Spanish Segunda Division,1.03,1.43,36.14
368,363.0,Motherwell,Scottish Premiership,1.11,1.53,36.1
369,391.0,Gazovik Orenburg,Russian Premier Liga,1.23,1.68,36.02
370,372.0,Huddersfield Town,English League Championship,1.06,1.47,35.97
371,381.0,Melbourne City,Australian A-League,1.25,1.71,35.93
372,360.0,Juventude,Brasileiro Série A,1.05,1.46,35.89
373,353.0,Lanus,Argentina Primera Division,1.05,1.46,35.82
374,373.0,Servette,Swiss Raiffeisen Super League,1.14,1.59,35.74
375,364.0,Brescia,Italy Serie B,1.11,1.54,35.74
376,374.0,Gimnasia La Plata,Argentina Primera Division,0.87,1.24,35.73
377,386.0,FK Nizhny Novgorod,Russian Premier Liga,1.01,1.43,35.64
378,380.0,Defensa y Justicia,Argentina Primera Division,0.99,1.4,35.62
379,429.0,Hartberg,Austrian T-Mobile Bundesliga,1.18,1.64,35.56
380,324.0,Caen,French Ligue 2,1.05,1.49,35.53
381,385.0,Atlético San Luis,Mexican Primera Division Torneo Apertura,1.03,1.46,35.51
382,390.0,Platense,Argentina Primera Division,0.87,1.26,35.37
383,366.0,Bari,Italy Serie B,1.17,1.64,35.35
384,288.0,Guingamp,French Ligue 2,1.08,1.53,35.25
385,378.0,Real Oviedo,Spanish Segunda Division,0.85,1.24,35.19
386,388.0,Vancouver Whitecaps,Major League Soccer,1.15,1.62,35.19
387,375.0,Toronto FC,Major League Soccer,1.31,1.83,35.17
388,371.0,Real Zaragoza,Spanish Segunda Division,0.88,1.28,35.12
389,395.0,San Jose Earthquakes,Major League Soccer,1.3,1.82,35.06
390,382.0,Avaí,Brasileiro Série A,1.02,1.46,35.06
391,392.0,Sagan Tosu,Japanese J League,1.05,1.5,35.04
392,414.0,Ural Sverdlovsk Oblast,Russian Premier Liga,0.97,1.4,34.98
393,399.0,Odense BK,Danish SAS-Ligaen,1.1,1.59,34.54
394,379.0,Sarmiento,Argentina Primera Division,0.96,1.42,34.46
